SN,title,color,imageUrl,price_usd,material,gender,brand,care,rayon,nylon,spandex,acrylic,polyester,cupro,modal,lyocell,cotton
22,NO HUMAN IS ILLEGAL VOL. 2 (BLACK),black,https://cdn.shopify.com/s/files/1/2380/6877/products/47.jpg?v=1616522819,35.00,100% GOTS Certified Organic Cotton,NA,Chnge,cold water wash and tumble dry low,0,0,0,0,0,0,0,0,1
23,MORE FLOWERS FEWER ASSHOLES (CHALK),chalk,https://cdn.shopify.com/s/files/1/2380/6877/products/1_a6a5a26e-d7e4-43b3-ba94-d5b2af70e3d4.jpg?v=1615303617,35.00,100% GOTS Certified Organic Cotton,NA,Chnge,cold water wash and tumble dry low,0,0,0,0,0,0,0,0,1
24,MORE PLANTS LESS ASSHOLES,black,https://cdn.shopify.com/s/files/1/2380/6877/products/MorePlants-Front-2.jpg?v=1629312188,35.00,100% GOTS Certified Organic Cotton,NA,Chnge,cold water wash and tumble dry low,0,0,0,0,0,0,0,0,1
25,POWER OF LOVE (MINT),mint,https://cdn.shopify.com/s/files/1/2380/6877/products/37.jpg?v=1616522181,35.00,100% GOTS Certified Organic Cotton,NA,Chnge,cold water wash and tumble dry low,0,0,0,0,0,0,0,0,1
26,POWER OF LOVE (BLACK),black,https://cdn.shopify.com/s/files/1/2380/6877/products/000134480024_2.jpg?v=1581364320,35.00,100% GOTS Certified Organic Cotton,NA,Chnge,cold water wash and tumble dry low,0,0,0,0,0,0,0,0,1
27,POWER OF LOVE (BLACK),white,https://cdn.shopify.com/s/files/1/2380/6877/products/45.jpg?v=1629312166,35.00,100% GOTS Certified Organic Cotton,NA,Chnge,cold water wash and tumble dry low,0,0,0,0,0,0,0,0,1
28,KISS WHOEVER (BLACK),black,https://cdn.shopify.com/s/files/1/2380/6877/products/kisswhoeverblack.jpg?v=1583180161,35.00,100% GOTS Certified Organic Cotton,NA,Chnge,cold water wash and tumble dry low,0,0,0,0,0,0,0,0,1
29,KISS WHOEVER,white,https://cdn.shopify.com/s/files/1/2380/6877/products/000092890011.jpg?v=1581463861,35.00,100% GOTS Certified Organic Cotton,NA,Chnge,cold water wash and tumble dry low,0,0,0,0,0,0,0,0,1
30,POWER OF A WOMAN V2 (BLACK),black,https://cdn.shopify.com/s/files/1/2380/6877/products/never_underestimate_front.jpg?v=1629312461,35.00,100% GOTS Certified Organic Cotton,NA,Chnge,cold water wash and tumble dry low,0,0,0,0,0,0,0,0,1
31,BHM MIXED STATEMENTS S/S T-SHIRT (BLACK),black,https://cdn.shopify.com/s/files/1/2380/6877/products/BHMMixstate.jpg?v=1611853417,37.00,100% GOTS Certified Organic Cotton,NA,Chnge,cold water wash and tumble dry low,0,0,0,0,0,0,0,0,1
32,YOU ARE ALL YOU NEED S/S T-SHIRT,green,https://cdn.shopify.com/s/files/1/2380/6877/products/000217760004.jpg?v=1620159648,39.00,100% GOTS Certified Organic Cotton,NA,Chnge,cold water wash and tumble dry low,0,0,0,0,0,0,0,0,1
33,BHM MIXED STATEMENTS S/S T-SHIRT (BLACK),black,https://cdn.shopify.com/s/files/1/2380/6877/products/moreselfloveblackback_c48dbf25-a80d-4906-b9b9-97fca2aa825e.jpg?v=1619213663,39.00,100% GOTS Certified Organic Cotton,NA,Chnge,cold water wash and tumble dry low,0,0,0,0,0,0,0,0,1
34,MHA BLACK/CHALK PIECED S/S T-SHIRT,black/chalk,https://cdn.shopify.com/s/files/1/2380/6877/products/000217610005_200x.jpg?v=1626297832,39.00,100% GOTS Certified Organic Cotton,NA,Chnge,cold water wash and tumble dry low,0,0,0,0,0,0,0,0,1
35,MHA CHALK/GREEN PIECED S/S T-SHIRT,chalk/green,https://cdn.shopify.com/s/files/1/2380/6877/products/000217430010_963a0ac8-1209-4473-a7fd-f6d699303ca0.jpg?v=1626297904,42.00,100% GOTS Certified Organic Cotton,NA,Chnge,cold water wash and tumble dry low,0,0,0,0,0,0,0,0,1
36,TIE DYE CONNECT W YOURSELF S/S T-SHIRT,chalk,https://cdn.shopify.com/s/files/1/2380/6877/products/000217730005.jpg?v=1626298125,41.00,100% GOTS Certified Organic Cotton,NA,Chnge,cold water wash and tumble dry low,0,0,0,0,0,0,0,0,1
37,MORE SELF LOVE S/S T-SHIRT (BLACK),black,https://cdn.shopify.com/s/files/1/2380/6877/products/moreselfloveblackback_c48dbf25-a80d-4906-b9b9-97fca2aa825e.jpg?v=1619213663,39.00,100% GOTS Certified Organic Cotton,NA,Chnge,cold water wash and tumble dry low,0,0,0,0,0,0,0,0,1
38,TIE DYE MAKE SPACE FOR YOURSELF S/S T-SHIRT,chalk,https://cdn.shopify.com/s/files/1/2380/6877/products/000217590002.jpg?v=1620158404,41.00,100% GOTS Certified Organic Cotton,NA,Chnge,cold water wash and tumble dry low,0,0,0,0,0,0,0,0,1
39,TAKE IT SLOW S/S T-SHIRT (BLACK),black,https://cdn.shopify.com/s/files/1/2380/6877/products/000217420010.jpg?v=1626298089,39.00,100% GOTS Certified Organic Cotton,NA,Chnge,cold water wash and tumble dry low,0,0,0,0,0,0,0,0,1
40,TAKE IT SLOW S/S T-SHIRT (CHALK),chalk,https://cdn.shopify.com/s/files/1/2380/6877/products/Takeitslowchalkback.jpg?v=1619214943,39.00,100% GOTS Certified Organic Cotton,NA,Chnge,cold water wash and tumble dry low,0,0,0,0,0,0,0,0,1
41,MORE SELF LOVE S/S T-SHIRT (CHALK),chalk,https://cdn.shopify.com/s/files/1/2380/6877/products/000217520007.jpg?v=1620156678,39.00,100% GOTS Certified Organic Cotton,NA,Chnge,cold water wash and tumble dry low,0,0,0,0,0,0,0,0,1
42,LOVE MORE ALWAYS BE KIND S/S T-SHIRT (BLACK),black,https://cdn.shopify.com/s/files/1/2380/6877/products/000217440002.jpg?v=1620148382,39.00,100% GOTS Certified Organic Cotton,NA,Chnge,cold water wash and tumble dry low,0,0,0,0,0,0,0,0,1
43,LOVE MORE ALWAYS BE KIND S/S T-SHIRT (CHALK),white,https://cdn.shopify.com/s/files/1/2380/6877/products/000217510010.jpg?v=1626297579,39.00,100% GOTS Certified Organic Cotton,NA,Chnge,cold water wash and tumble dry low,0,0,0,0,0,0,0,0,1
44,EVERY DAY EARTH DAY S/S T-SHIRT (BLACK),black,https://cdn.shopify.com/s/files/1/2380/6877/products/blackBack_74a3e992-753c-420e-bc37-2a2a1e297422.jpg?v=1618249958,39.00,100% GOTS Certified Organic Cotton,NA,Chnge,cold water wash and tumble dry low,0,0,0,0,0,0,0,0,1
45,EVERY DAY EARTH DAY S/S T-SHIRT (CHALK),chalk,https://cdn.shopify.com/s/files/1/2380/6877/products/chalkback_67e2013e-95d9-407b-b71c-7fd8c124d6b6.jpg?v=1618249971,39.00,100% GOTS Certified Organic Cotton,NA,Chnge,cold water wash and tumble dry low,0,0,0,0,0,0,0,0,1
46,BUTTERFLY QUOTE SPLIT TEE (CHALK/BLACK),black/chalk,https://cdn.shopify.com/s/files/1/2380/6877/products/CopyofCopyof213420033.jpg?v=1631044711,35.00,100% GOTS Certified Organic Cotton,NA,Chnge,cold water wash and tumble dry low,0,0,0,0,0,0,0,0,1
47,POWER OF LOVE TEE (CHALK),chalk,https://cdn.shopify.com/s/files/1/2380/6877/products/poweroflovechalktshirt.jpg?v=1586802068,35.00,100% GOTS Certified Organic Cotton,NA,Chnge,cold water wash and tumble dry low,0,0,0,0,0,0,0,0,1
48,POWER OF LOVE TEE (CHALK),black,https://cdn.shopify.com/s/files/1/2380/6877/products/BLM_CHNGE_SHIRT_2_V5_SS_BLACK_BACK_1.jpg?v=1629390337,35.00,100% GOTS Certified Organic Cotton,NA,Chnge,cold water wash and tumble dry low,0,0,0,0,0,0,0,0,1
49,NO JUSTICE (CHALK),chalk,https://cdn.shopify.com/s/files/1/2380/6877/products/BLM_CHNGE_SHIRT_2_V5_SS_CHALK_BACK_1.jpg?v=1629390397,35.00,100% GOTS Certified Organic Cotton,NA,Chnge,cold water wash and tumble dry low,0,0,0,0,0,0,0,0,1
50,BLM ACTION TOUR TEE (BLACK),black,https://cdn.shopify.com/s/files/1/2380/6877/products/BLM_CHNGE_SHIRT_4_V5_BACK.jpg?v=1592348938,35.00,100% GOTS Certified Organic Cotton,NA,Chnge,cold water wash and tumble dry low,0,0,0,0,0,0,0,0,1
51,NO JUSTICE NO PEACE (CHALK),chalk,https://cdn.shopify.com/s/files/1/2380/6877/products/BLM_CHNGE_SHIRT_8_V5_SS_CHALK_FRONT.jpg?v=1592349752,35.00,100% GOTS Certified Organic Cotton,NA,Chnge,cold water wash and tumble dry low,0,0,0,0,0,0,0,0,1
52,WDOYS T-SHIRT DRESS (BLACK),black,https://cdn.shopify.com/s/files/1/2380/6877/products/womendontoweyoushittshirtdressblackback.jpg?v=1600701603,44.00,100% GOTS Certified Organic Cotton,NA,Chnge,cold water wash and tumble dry low,0,0,0,0,0,0,0,0,1
53,WOMEN ARE NOT YOUR PROPERTY T-SHIRT DRESS,chalk,https://cdn.shopify.com/s/files/1/2380/6877/products/Copyof000095070003.jpg?v=1585334508,44.00,100% GOTS Certified Organic Cotton,NA,Chnge,cold water wash and tumble dry low,0,0,0,0,0,0,0,0,1
54,ZERO TOLERANCE T-SHIRT DRESS (BLACK),black,https://cdn.shopify.com/s/files/1/2380/6877/products/zerotolerance.jpg?v=1586818580,44.00,100% GOTS Certified Organic Cotton,NA,Chnge,cold water wash and tumble dry low,0,0,0,0,0,0,0,0,1
55,PIECED BUTTERFLY T-SHIRT DRESS,black/chalk,https://cdn.shopify.com/s/files/1/2380/6877/products/bfsplitdressredo.jpg?v=1606840360,49.00,100% GOTS Certified Organic Cotton,NA,Chnge,cold water wash and tumble dry low,0,0,0,0,0,0,0,0,1
56,TIE DYE POWER OF LOVE S/S T-SHIRT (BLACK MARBLE),black marble,https://cdn.shopify.com/s/files/1/2380/6877/products/marblepeacefronnt.jpg?v=1617635050,37.00,100% GOTS Certified Organic Cotton,NA,Chnge,cold water wash and tumble dry low,0,0,0,0,0,0,0,0,1
57,TIE DYE BUTTERFLY LOGO S/S T-SHIRT (LIME/BLACK),lime/black,https://cdn.shopify.com/s/files/1/2380/6877/products/DSC00071.jpg?v=1617633376,35.00,100% GOTS Certified Organic Cotton,NA,Chnge,cold water wash and tumble dry low,0,0,0,0,0,0,0,0,1
58,TIE DYE POWER OF LOVE S/S T-SHIRT (MAUVE/BLACK),mauve/black,https://cdn.shopify.com/s/files/1/2380/6877/products/14_2ffe5591-0787-43c4-aa24-7fe6ca81e577.jpg?v=1617207121,35.00,100% GOTS Certified Organic Cotton,NA,Chnge,cold water wash and tumble dry low,0,0,0,0,0,0,0,0,1
59,ACAB S/S T-SHIRT (BLACK),black,https://cdn.shopify.com/s/files/1/2380/6877/products/ACABFront.jpg?v=1611853104,42.00,100% GOTS Certified Organic Cotton,NA,Chnge,cold water wash and tumble dry low,0,0,0,0,0,0,0,0,1
60,NELSON MANDELA S/S T-SHIRT (CHALK),chalk,https://cdn.shopify.com/s/files/1/2380/6877/products/bhmnelsonchalk.jpg?v=1611852482,37.00,100% GOTS Certified Organic Cotton,NA,Chnge,cold water wash and tumble dry low,0,0,0,0,0,0,0,0,1
61,NELSON MANDELA S/S T-SHIRT (BLACK),black,https://cdn.shopify.com/s/files/1/2380/6877/products/BHMNelson.jpg?v=1611852280,37.00,100% GOTS Certified Organic Cotton,NA,Chnge,cold water wash and tumble dry low,0,0,0,0,0,0,0,0,1
62,BUTTERFLOWER T-SHIRT DRESS,chalk,https://cdn.shopify.com/s/files/1/2380/6877/products/3_a7a8816b-00ae-4883-bd8c-291392ca870b.jpg?v=1617207554,44.00,100% GOTS Certified Organic Cotton,NA,Chnge,cold water wash and tumble dry low,0,0,0,0,0,0,0,0,1
63,SAVE THE EARTH ALIEN S/S T-SHIRT (WHITE),white,https://cdn.shopify.com/s/files/1/2380/6877/products/stealien.jpg?v=1621526820,35.00,100% GOTS Certified Organic Cotton,NA,Chnge,cold water wash and tumble dry low,0,0,0,0,0,0,0,0,1
64,ALWAYS BE KIND S/S T-SHIRT,black,https://cdn.shopify.com/s/files/1/2380/6877/products/alwasybekind.jpg?v=1605046708,35.00,100% GOTS Certified Organic Cotton,NA,Chnge,cold water wash and tumble dry low,0,0,0,0,0,0,0,0,1
65,POWER OF LOVE S/S T-SHIRT (MAUVE),mauve,https://cdn.shopify.com/s/files/1/2380/6877/products/poweroflovemaueback.jpg?v=1609889350,35.00,100% GOTS Certified Organic Cotton,NA,Chnge,cold water wash and tumble dry low,0,0,0,0,0,0,0,0,1
66,BUTTERFLY FEELINGS S/S T-SHIRT (VIOLET),violet,https://cdn.shopify.com/s/files/1/2380/6877/products/butterflyfeelsviolet.jpg?v=1605049903,35.00,100% GOTS Certified Organic Cotton,NA,Chnge,cold water wash and tumble dry low,0,0,0,0,0,0,0,0,1
67,CHNGE DOLPHIN S/S T-SHIRT (CHALK),chalk,https://cdn.shopify.com/s/files/1/2380/6877/products/chalkdolphintee.jpg?v=1605049988,35.00,100% GOTS Certified Organic Cotton,NA,Chnge,cold water wash and tumble dry low,0,0,0,0,0,0,0,0,1
68,LOGO BUTTERFLY S/S T-SHIRT (BLACK),black,https://cdn.shopify.com/s/files/1/2380/6877/products/blackbflogo.jpg?v=1605049657,35.00,100% GOTS Certified Organic Cotton,NA,Chnge,cold water wash and tumble dry low,0,0,0,0,0,0,0,0,1
69,LOGO BUTTERFLY S/S T-SHIRT (MINT),mint,https://cdn.shopify.com/s/files/1/2380/6877/products/minntbflogo.jpg?v=1605049715,35.00,100% GOTS Certified Organic Cotton,NA,Chnge,cold water wash and tumble dry low,0,0,0,0,0,0,0,0,1
70,LOGO BUTTERFLY S/S T-SHIRT (VIOLET),violet,https://cdn.shopify.com/s/files/1/2380/6877/products/violetbflogo.jpg?v=1605049801,35.00,100% GOTS Certified Organic Cotton,NA,Chnge,cold water wash and tumble dry low,0,0,0,0,0,0,0,0,1
71,BUTTERFLY LOGO S/S T-SHIRT (MAUVE),mauve,https://cdn.shopify.com/s/files/1/2380/6877/products/chngemauvedarwinBF.jpg?v=1605049933,35.00,100% GOTS Certified Organic Cotton,NA,Chnge,cold water wash and tumble dry low,0,0,0,0,0,0,0,0,1
72,SAVE THE PLANET S/S T-SHIRT (BLACK),black,https://cdn.shopify.com/s/files/1/2380/6877/products/savetheplanetblack.jpg?v=1605049858,35.00,100% GOTS Certified Organic Cotton,NA,Chnge,cold water wash and tumble dry low,0,0,0,0,0,0,0,0,1
73,GOD SAVE THE PLANET S/S T-SHIRT (CHALK),chalk,https://cdn.shopify.com/s/files/1/2380/6877/products/gsavetheplanetchalk.jpg?v=1605213897,35.00,100% GOTS Certified Organic Cotton,NA,Chnge,cold water wash and tumble dry low,0,0,0,0,0,0,0,0,1
74,ONLY RESPECTING WOMEN T-SHIRT DRESS,black,https://cdn.shopify.com/s/files/1/2380/6877/products/orwtshirtdress.jpg?v=1605214007,44.00,100% GOTS Certified Organic Cotton,NA,Chnge,cold water wash and tumble dry low,0,0,0,0,0,0,0,0,1
75,FEELINGS OF BUTTERFLIES T-SHIRT DRESS,chalk,https://cdn.shopify.com/s/files/1/2380/6877/products/butterflyfeels.jpg?v=1605213639,44.00,100% GOTS Certified Organic Cotton,NA,Chnge,cold water wash and tumble dry low,0,0,0,0,0,0,0,0,1
76,CHNGE SMILEY FLOWER T-SHIRT DRESS,black,https://cdn.shopify.com/s/files/1/2380/6877/products/chgnesmileyflower.jpg?v=1605213553,44.00,100% GOTS Certified Organic Cotton,NA,Chnge,cold water wash and tumble dry low,0,0,0,0,0,0,0,0,1
77,I'M WITH HER T-SHIRT DRESS,black,https://cdn.shopify.com/s/files/1/2380/6877/products/000275710004.jpg?v=1584384993,44.00,100% GOTS Certified Organic Cotton,NA,Chnge,cold water wash and tumble dry low,0,0,0,0,0,0,0,0,1
78,ONE RACE TEE (CHALK),chalk,https://cdn.shopify.com/s/files/1/2380/6877/products/CopyofCopyof213440005.jpg?v=1599858153,35.00,100% GOTS Certified Organic Cotton,NA,Chnge,cold water wash and tumble dry low,0,0,0,0,0,0,0,0,1
79,POWER OF LOVE T-SHIRT DRESS (MAUVE),mauve,https://cdn.shopify.com/s/files/1/2380/6877/products/peaceteemauve.jpg?v=1586880549,44.00,100% GOTS Certified Organic Cotton,NA,Chnge,cold water wash and tumble dry low,0,0,0,0,0,0,0,0,1
80,POWER OF LOVE T-SHIRT DRESS (CHALK),chalk,https://cdn.shopify.com/s/files/1/2380/6877/products/fhtVW.jpg?v=1599927786,44.00,100% GOTS Certified Organic Cotton,NA,Chnge,cold water wash and tumble dry low,0,0,0,0,0,0,0,0,1
81,ALWAYS BE KIND T-SHIRT DRESS (MAUVE),mauve,https://cdn.shopify.com/s/files/1/2380/6877/products/CopyofCopyof213400009.jpg?v=1599858342,44.00,100% GOTS Certified Organic Cotton,NA,Chnge,cold water wash and tumble dry low,0,0,0,0,0,0,0,0,1
82,NO HUMAN IS ILLEGAL T-SHIRT DRESS (BLACK),black,https://cdn.shopify.com/s/files/1/2380/6877/products/nohumanisillegal.jpg?v=1586818385,44.00,100% GOTS Certified Organic Cotton,NA,Chnge,cold water wash and tumble dry low,0,0,0,0,0,0,0,0,1
83,NYC 2020 (BLACK),black,https://cdn.shopify.com/s/files/1/2380/6877/products/BLM_CHNGE_SHIRT_5_V5_SS_BLACK_FRONT.jpg?v=1604096055,35.00,100% GOTS Certified Organic Cotton,NA,Chnge,cold water wash and tumble dry low,0,0,0,0,0,0,0,0,1
84,TAKE ACTION (CHALK),chalk,https://cdn.shopify.com/s/files/1/2380/6877/products/CHNGE_BLM_C2_SHIRT_2_FRONT.jpg?v=1592077076,35.00,100% GOTS Certified Organic Cotton,NA,Chnge,cold water wash and tumble dry low,0,0,0,0,0,0,0,0,1
85,KIDS NOT GUNS (BLACK),black,https://cdn.shopify.com/s/files/1/2380/6877/products/ProtectKidsNotGuns2-Front.jpg?v=1572465210,35.00,100% GOTS Certified Organic Cotton,NA,Chnge,cold water wash and tumble dry low,0,0,0,0,0,0,0,0,1
86,ABORTION IS HEALTHCARE (PALE PINK),pale pink,https://cdn.shopify.com/s/files/1/2380/6877/products/000089700028.jpg?v=1638547007,41.00,100% GOTS Certified Organic Cotton,NA,Chnge,cold water wash and tumble dry low,0,0,0,0,0,0,0,0,1
87,HAVE A VASECTOMY (BLACK),black,https://cdn.shopify.com/s/files/1/2380/6877/products/Vasectomy-Front.jpg?v=1616522676,37.00,100% GOTS Certified Organic Cotton,NA,Chnge,cold water wash and tumble dry low,0,0,0,0,0,0,0,0,1
88,ABORTION IS HEALTHCARE (CHALK),chalk,https://cdn.shopify.com/s/files/1/2380/6877/products/against_abortion_back.jpg?v=1621547920,37.00,100% GOTS Certified Organic Cotton,NA,Chnge,cold water wash and tumble dry low,0,0,0,0,0,0,0,0,1
89,GURL'S WORLD (BLACK),black,https://cdn.shopify.com/s/files/1/2380/6877/products/GurlsTalkBlack-SS-Front.jpg?v=1572638493,37.00,100% GOTS Certified Organic Cotton,NA,Chnge,cold water wash and tumble dry low,0,0,0,0,0,0,0,0,1
90,CHNGE WORLDWIDE CONTRAST STITCH TEE (DUSTY ROSE),dusty rose,https://cdn.shopify.com/s/files/1/2380/6877/products/DSC00037.jpg?v=1600120452,35.00,100% GOTS Certified Organic Cotton,NA,Chnge,cold water wash and tumble dry low,0,0,0,0,0,0,0,0,1
91,CHNGE WORLDWIDE CONTRAST STITCH TEE (CORAL),coral,https://cdn.shopify.com/s/files/1/2380/6877/products/coral_8a56c3a2-e788-4bb3-90d9-14a91f3a6636.jpg?v=1601676748,35.00,100% GOTS Certified Organic Cotton,NA,Chnge,cold water wash and tumble dry low,0,0,0,0,0,0,0,0,1
92,PEACE BUTTERFLY T-SHIRT DRESS (BLACK),black,https://cdn.shopify.com/s/files/1/2380/6877/products/blackpeacetshirtdress.jpg?v=1605214462,41.00,100% GOTS Certified Organic Cotton,NA,Chnge,cold water wash and tumble dry low,0,0,0,0,0,0,0,0,1
93,PEACE BUTTERFLY T-SHIRT DRESS (MAUVE),mauve,https://cdn.shopify.com/s/files/1/2380/6877/products/mauvetshirtdress.jpg?v=1605214446,44.00,100% GOTS Certified Organic Cotton,NA,Chnge,cold water wash and tumble dry low,0,0,0,0,0,0,0,0,1
94,PEACE BUTTERFLY T-SHIRT DRESS (VIOLET),violet,https://cdn.shopify.com/s/files/1/2380/6877/products/violetpeacetshirtdress.jpg?v=1605214430,41.00,100% GOTS Certified Organic Cotton,NA,Chnge,cold water wash and tumble dry low,0,0,0,0,0,0,0,0,1
95,POWER TO THE PEOPLE T-SHIRT DRESS,chalk,https://cdn.shopify.com/s/files/1/2380/6877/products/apttpdress.jpg?v=1605214384,41.00,100% GOTS Certified Organic Cotton,NA,Chnge,cold water wash and tumble dry low,0,0,0,0,0,0,0,0,1
96,CHNGE DOLPHIN T-SHIRT DRESS,chalk,https://cdn.shopify.com/s/files/1/2380/6877/products/chngedolphin.jpg?v=1605213376,44.00,100% GOTS Certified Organic Cotton,NA,Chnge,cold water wash and tumble dry low,0,0,0,0,0,0,0,0,1
97,SAVE THE PLANET T-SHIRT DRESS,black,https://cdn.shopify.com/s/files/1/2380/6877/products/savetheplanert.jpg?v=1605214173,41.00,100% GOTS Certified Organic Cotton,NA,Chnge,cold water wash and tumble dry low,0,0,0,0,0,0,0,0,1
98,NOTORIOUS AOC (BLACK),black,https://cdn.shopify.com/s/files/1/2380/6877/products/aocfront_42a375e1-b943-42ef-ab2d-9ddf6a682b31.jpg?v=1603659225,35.00,100% GOTS Certified Organic Cotton,NA,Chnge,cold water wash and tumble dry low,0,0,0,0,0,0,0,0,1
99,NOTORIOUS AOC (CHALK),chalk,https://cdn.shopify.com/s/files/1/2380/6877/products/chalkaoc.jpg?v=1603659507,35.00,100% GOTS Certified Organic Cotton,NA,Chnge,cold water wash and tumble dry low,0,0,0,0,0,0,0,0,1
