,title,link,supplier,rating,reviews,price,imageUrl,description,length,sleeve_length,fit,neckline,composition,color,imported,article_number,sustainability,gender
10,Regular Fit Crew-neck T-shirt,https://www2.hm.com/en_us/productpage.0685816023.html,[],,[reviewsLabel],$6.99,"//lp2.hm.com/hmgoepprod?set=source[/80/c2/80c28d106435da5867a93581206acbb9573678d0.jpg],origin[dam],category[men_tshirtstanks_shortsleeve],type[DESCRIPTIVESTILLLIFE],res[m],hmver[2]&call=url[file:/product/style]",Crew-neck T-shirt in soft cotton jersey.,Regular length,Short sleeve,Regular fit,Round Neck,Cotton 100%,Dark gray,Yes,0685816023,,men
11,Long Fit T-shirt,https://www2.hm.com/en_us/productpage.0598755066.html,[],,[reviewsLabel],$9.99,"//lp2.hm.com/hmgoepprod?set=source[/63/23/6323ee6f7b067a44abf0ff052830412242541c2c.jpg],origin[dam],category[],type[DESCRIPTIVESTILLLIFE],res[m],hmver[2]&call=url[file:/product/style]","Long, crew-neck T-shirt in soft jersey with a rounded hem.",Long,Short sleeve,,Round Neck,Cotton 100%,Taupe,Yes,0598755066,,men
12,Relaxed Fit T-shirt,https://www2.hm.com/en_us/productpage.0967955006.html,[],,[reviewsLabel],$12.99,"//lp2.hm.com/hmgoepprod?set=source[/28/43/2843e5821aa771c7fa8320cec2664001f9662aa0.jpg],origin[dam],category[],type[DESCRIPTIVESTILLLIFE],res[m],hmver[2]&call=url[file:/product/style]","Relaxed-fit, crew-neck T-shirt in soft cotton jersey with a printed design.",,Short sleeve,Relaxed fit,Round Neck,Cotton 100%,Green/black,Yes,0967955006,,men
13,5-pack Slim Fit T-shirts,https://www2.hm.com/en_us/productpage.0624684001.html,[],,[reviewsLabel],$34.99,"//lp2.hm.com/hmgoepprod?set=source[/06/73/0673d171368cb242c9d35348d6b1c53e21b5b1a1.jpg],origin[dam],category[men_tshirtstanks_shortsleeve],type[DESCRIPTIVESTILLLIFE],res[m],hmver[2]&call=url[file:/product/style]",Crew-neck T-shirts in soft cotton jersey.,Regular length,Short sleeve,Slim fit,Round Neck,"Cotton 95%, Elastane 5%",White,Yes,0624684001,,men
14,3-pack Slim Fit T-shirts,https://www2.hm.com/en_us/productpage.0578630003.html,[],,[reviewsLabel],$24.99,"//lp2.hm.com/hmgoepprod?set=source[/4d/04/4d044054898e31c3ed288d892f66a68b5e908372.jpg],origin[dam],category[men_tshirtstanks_shortsleeve],type[DESCRIPTIVESTILLLIFE],res[m],hmver[2]&call=url[file:/product/style]",Crew-neck T-shirts in soft jersey.,Regular length,Short sleeve,Slim fit,Round Neck,"Cotton 95%, Elastane 5%",Black,Yes,0578630003,,men
15,Slim Fit Round-neck T-shirt,https://www2.hm.com/en_us/productpage.0570002001.html,[],,[reviewsLabel],$9.99,"//lp2.hm.com/hmgoepprod?set=source[/76/b9/76b9766522a63ae801ea85945b18ec9289e743de.jpg],origin[dam],category[men_tshirtstanks_shortsleeve],type[DESCRIPTIVESTILLLIFE],res[m],hmver[2]&call=url[file:/product/style]",Crew-neck T-shirt in soft jersey.,Regular length,Short sleeve,Slim fit,Round Neck,"Cotton 95%, Elastane 5%",Black,Yes,0570002001,,men
16,3-pack Slim Fit T-shirts,https://www2.hm.com/en_us/productpage.0578630002.html,[],,[reviewsLabel],$24.99,"//lp2.hm.com/hmgoepprod?set=source[/e0/bb/e0bbadfa8b7f588feffeb03a0094f7f42296acb5.jpg],origin[dam],category[men_tshirtstanks_shortsleeve],type[DESCRIPTIVESTILLLIFE],res[m],hmver[2]&call=url[file:/product/style]",Crew-neck T-shirts in soft jersey.,Regular length,Short sleeve,Slim fit,Round Neck,"Cotton 95%, Elastane 5%",White,Yes,0578630002,,men
17,Premium Cotton T-shirt,https://www2.hm.com/en_us/productpage.0702932001.html,[],,[reviewsLabel],$17.99,"//lp2.hm.com/hmgoepprod?set=source[/f5/3a/f53aa4121986e8f5cc2ca9847cbc83182d4c6c42.jpg],origin[dam],category[men_tshirtstanks_shortsleeve],type[DESCRIPTIVESTILLLIFE],res[m],hmver[1]&call=url[file:/product/style]",Crew-neck T-shirt in premium cotton jersey.,Regular length,Short sleeve,Slim fit,Round Neck,Cotton 100%,Black,Yes,0702932001,Premium Selection,men
18,Regular Fit Crew-neck T-shirt,https://www2.hm.com/en_us/productpage.0685816099.html,[],,[reviewsLabel],$6.99,"//lp2.hm.com/hmgoepprod?set=source[/ca/71/ca718dbfc268977935d4ac9529c365c75b954aed.jpg],origin[dam],category[],type[DESCRIPTIVESTILLLIFE],res[m],hmver[2]&call=url[file:/product/style]",Crew-neck T-shirt in soft cotton jersey.,Regular length,Short sleeve,Regular fit,Round Neck,Cotton 100%,Dark beige,Yes,0685816099,,men
19,Regular Fit Crew-neck T-shirt,https://www2.hm.com/en_us/productpage.0685816115.html,[],,[reviewsLabel],$6.99,"//lp2.hm.com/hmgoepprod?set=source[/5c/3c/5c3c26d927b5546f8ef0a0648da0ab5fe2c317ec.jpg],origin[dam],category[],type[DESCRIPTIVESTILLLIFE],res[m],hmver[2]&call=url[file:/product/style]",Crew-neck T-shirt in soft cotton jersey.,Regular length,Short sleeve,Regular fit,Round Neck,Cotton 100%,Brown,Yes,0685816115,,men
20,5-pack Slim Fit T-shirts,https://www2.hm.com/en_us/productpage.0945059001.html,[],,[reviewsLabel],$34.99,"//lp2.hm.com/hmgoepprod?set=source[/18/55/1855d9929c1cb01d6b447d2315c2fc3384ba9c24.jpg],origin[dam],category[],type[DESCRIPTIVESTILLLIFE],res[m],hmver[2]&call=url[file:/product/style]",V-neck T-shirts in cotton jersey. Slim Fit.,,Short sleeve,Slim fit,V-neck,"Cotton 95%, Elastane 5%",Black/white,Yes,0945059001,,men
21,Long Fit T-shirt,https://www2.hm.com/en_us/productpage.0598755063.html,[],,[reviewsLabel],$9.99,"//lp2.hm.com/hmgoepprod?set=source[/bf/de/bfde81866cfd644adcef2c94105d786be727bb7c.jpg],origin[dam],category[],type[DESCRIPTIVESTILLLIFE],res[m],hmver[2]&call=url[file:/product/style]","Long, crew-neck T-shirt in soft jersey with a rounded hem.",Long,Short sleeve,,Round Neck,Cotton 100%,Dark gray,Yes,0598755063,,men
22,Regular Fit Crew-neck T-shirt,https://www2.hm.com/en_us/productpage.0685816078.html,[],,[reviewsLabel],$6.99,"//lp2.hm.com/hmgoepprod?set=source[/74/e7/74e727a2840be2e6f0a682425d0ca46e7930016b.jpg],origin[dam],category[men_tshirtstanks_shortsleeve],type[DESCRIPTIVESTILLLIFE],res[m],hmver[2]&call=url[file:/product/style]",Crew-neck T-shirt in soft cotton jersey.,Regular length,Short sleeve,Regular fit,Round Neck,Cotton 100%,Dark blue,Yes,0685816078,,men
23,Relaxed Fit T-shirt,https://www2.hm.com/en_us/productpage.0967955004.html,[],,[reviewsLabel],$12.99,"//lp2.hm.com/hmgoepprod?set=source[/cb/43/cb43088d9ac13127e09d9724676162e68d44b898.jpg],origin[dam],category[],type[DESCRIPTIVESTILLLIFE],res[m],hmver[2]&call=url[file:/product/style]","Relaxed-fit, crew-neck T-shirt in soft cotton jersey with a printed design.",,Short sleeve,Relaxed fit,Round Neck,Cotton 100%,Beige/white/orange,Yes,0967955004,,men
24,3-pack Slim Fit T-shirts,https://www2.hm.com/en_us/productpage.0578630041.html,[],,[reviewsLabel],$24.99,"//lp2.hm.com/hmgoepprod?set=source[/43/0a/430a347ebf03bbf8051d2234f7d3d52bb1ecabdd.jpg],origin[dam],category[],type[DESCRIPTIVESTILLLIFE],res[m],hmver[2]&call=url[file:/product/style]",Crew-neck T-shirts in soft jersey.,Regular length,Short sleeve,Slim fit,Round Neck,"Cotton 95%, Elastane 5%",Burgundy/navy blue/gray melange,Yes,0578630041,,men
25,Regular Fit T-shirt,https://www2.hm.com/en_us/productpage.0846973103.html,[],,[reviewsLabel],$17.99,"//lp2.hm.com/hmgoepprod?set=source[/26/cf/26cff9aaca36a70d857d662de7f29bbd5ea88d8c.jpg],origin[dam],category[men_tshirtstanks_shortsleeve],type[DESCRIPTIVESTILLLIFE],res[m],hmver[2]&call=url[file:/product/style]",T-shirt in soft cotton jersey with a printed design. Ribbed crew neck.,,Short sleeve,Regular fit,Round Neck,Cotton 100%,Black/pink/light blue/green,Yes,0846973103,,men
26,Long Fit T-shirt,https://www2.hm.com/en_us/productpage.0598755069.html,[],,[reviewsLabel],$9.99,"//lp2.hm.com/hmgoepprod?set=source[/f4/4e/f44e6ad74e2f6822a66a0b8172961031264f4a99.jpg],origin[dam],category[],type[DESCRIPTIVESTILLLIFE],res[m],hmver[2]&call=url[file:/product/style]","Long, crew-neck T-shirt in soft jersey with a rounded hem.",Long,Short sleeve,,Round Neck,Cotton 100%,Burgundy,Yes,0598755069,,men
27,Raw-edge T-shirt,https://www2.hm.com/en_us/productpage.0793104002.html,[],,[reviewsLabel],$12.99,"//lp2.hm.com/hmgoepprod?set=source[/85/9f/859fd6f4e230b9bfe68d8ec8a0ce5bb197bf5e1c.jpg],origin[dam],category[men_tshirtstanks_shortsleeve],type[DESCRIPTIVESTILLLIFE],res[m],hmver[2]&call=url[file:/product/style]","T-shirt in soft cotton slub jersey. Slightly wider neckline, seam at center back, and slightly longer, rounded back section. Raw, rolled edges at neckline and cuffs.",,Short sleeve,,Round Neck,Cotton 100%,Black,Yes,0793104002,,men
28,3-pack Slim Fit T-shirts,https://www2.hm.com/en_us/productpage.0542533001.html,[],,[reviewsLabel],$24.99,"//lp2.hm.com/hmgoepprod?set=source[/f7/ff/f7ff228cbc644354f90d7a91548f20d8cfd8ac55.jpg],origin[dam],category[men_tshirtstanks_shortsleeve],type[DESCRIPTIVESTILLLIFE],res[m],hmver[2]&call=url[file:/product/style]",V-neck T-shirts in soft jersey.,Regular length,Short sleeve,Slim fit,V-neck,"Cotton 95%, Elastane 5%",White,Yes,0542533001,,men
29,Relaxed Fit Cotton T-shirt,https://www2.hm.com/en_us/productpage.1010193002.html,[],,[reviewsLabel],$24.99,"//lp2.hm.com/hmgoepprod?set=source[/f8/77/f877ad16fd3e9a9282e10e7c22436e90a87895dd.jpg],origin[dam],category[],type[DESCRIPTIVESTILLLIFE],res[m],hmver[2]&call=url[file:/product/style]",Relaxed-fit T-shirt in soft cotton jersey. Ribbed crew neck and dropped shoulders.,,Short sleeve,Relaxed fit,Round Neck,Cotton 100%,Black/white,Yes,1010193002,environmentalMarker,men
30,3-pack Slim Fit T-shirts,https://www2.hm.com/en_us/productpage.0542533002.html,[],,[reviewsLabel],$24.99,"//lp2.hm.com/hmgoepprod?set=source[/7f/2f/7f2f8789b07c1d4a054e08c7641a91caf9a8cd15.jpg],origin[dam],category[men_tshirtstanks_shortsleeve],type[DESCRIPTIVESTILLLIFE],res[m],hmver[1]&call=url[file:/product/style]",V-neck T-shirts in soft jersey.,Regular length,Short sleeve,Slim fit,V-neck,"Cotton 95%, Elastane 5%",Black,Yes,0542533002,,men
31,Regular Fit T-shirt,https://www2.hm.com/en_us/productpage.0846973126.html,[],,[reviewsLabel],$17.99,"//lp2.hm.com/hmgoepprod?set=source[/8d/6f/8d6fffd5ea969fc5d42b31bb0a42a3dce3db538d.jpg],origin[dam],category[men_tshirtstanks_shortsleeve],type[DESCRIPTIVESTILLLIFE],res[m],hmver[2]&call=url[file:/product/style]",T-shirt in soft cotton jersey with a printed design. Ribbed crew neck.,,Short sleeve,Regular fit,Round Neck,Cotton 100%,Black/white/red/blue,Yes,0846973126,,men
32,Premium Cotton T-shirt,https://www2.hm.com/en_us/productpage.0702932009.html,[],,[reviewsLabel],$17.99,"//lp2.hm.com/hmgoepprod?set=source[/bd/42/bd424d1fb63d131275337f0889e853d3a08ec40e.jpg],origin[dam],category[men_tshirtstanks_shortsleeve],type[DESCRIPTIVESTILLLIFE],res[m],hmver[2]&call=url[file:/product/style]",Crew-neck T-shirt in premium cotton jersey.,Regular length,Short sleeve,Slim fit,Round Neck,Cotton 100%,Light beige melange,Yes,0702932009,Premium Selection,men
33,Relaxed Fit T-shirt,https://www2.hm.com/en_us/productpage.0608945008.html,[],,[reviewsLabel],$12.99,"//lp2.hm.com/hmgoepprod?set=source[/1e/86/1e86c77fb86afc19daad9acb5b39470e7bc5ca1f.jpg],origin[dam],category[men_tshirtstanks_shortsleeve],type[DESCRIPTIVESTILLLIFE],res[m],hmver[2]&call=url[file:/product/style]",Crew-neck T-shirt in thick cotton jersey.,Regular length,Short sleeve,Relaxed fit,Round Neck,Cotton 100%,Black,Yes,0608945008,,men
34,Regular Fit Crew-neck T-shirt,https://www2.hm.com/en_us/productpage.0685816053.html,[],,[reviewsLabel],$6.99,"//lp2.hm.com/hmgoepprod?set=source[/2d/e7/2de7cd103b2745071f0d2d20ab9cd610a5a478a7.jpg],origin[dam],category[men_tshirtstanks_shortsleeve],type[DESCRIPTIVESTILLLIFE],res[m],hmver[2]&call=url[file:/product/style]",Crew-neck T-shirt in soft cotton jersey.,Regular length,Short sleeve,Regular fit,Round Neck,"Cotton 95%, Viscose 5%",Gray melange,Yes,0685816053,,men
35,Printed T-shirt,https://www2.hm.com/en_us/productpage.0684021140.html,[],,[reviewsLabel],$7.99,"//lp2.hm.com/hmgoepprod?set=source[/7a/1a/7a1a1b2eab29d6c358db790c46faa3cf590a5928.jpg],origin[dam],category[],type[DESCRIPTIVESTILLLIFE],res[m],hmver[2]&call=url[file:/product/style]",T-shirt in soft cotton jersey with a printed graphic design and crew neck.,Regular length,Short sleeve,,,Cotton 100%,White/black/light purple/light green,Yes,0684021140,,men
36,Regular Fit Crew-neck T-shirt,https://www2.hm.com/en_us/productpage.0685816048.html,[],,[reviewsLabel],$6.99,"//lp2.hm.com/hmgoepprod?set=source[/e0/2c/e02cf212ec734a65a22c9429e64cd6e0291a343e.jpg],origin[dam],category[men_tshirtstanks_shortsleeve],type[DESCRIPTIVESTILLLIFE],res[m],hmver[2]&call=url[file:/product/style]",Crew-neck T-shirt in soft cotton jersey.,Regular length,Short sleeve,Regular fit,Round Neck,Cotton 100%,Light khaki green,Yes,0685816048,,men
37,Raw-edge T-shirt,https://www2.hm.com/en_us/productpage.0793104001.html,[],,[reviewsLabel],$12.99,"//lp2.hm.com/hmgoepprod?set=source[/9c/fa/9cfa6e7976d9471783681fb920702038de692305.jpg],origin[dam],category[men_tshirtstanks_shortsleeve],type[DESCRIPTIVESTILLLIFE],res[m],hmver[2]&call=url[file:/product/style]","T-shirt in soft cotton slub jersey. Slightly wider neckline, seam at center back, and slightly longer, rounded back section. Raw, rolled edges at neckline and cuffs.",,Short sleeve,,Round Neck,Cotton 100%,White,Yes,0793104001,,men
38,Printed T-shirt,https://www2.hm.com/en_us/productpage.0684021143.html,[],,[reviewsLabel],$7.99,"//lp2.hm.com/hmgoepprod?set=source[/76/ff/76ffcd0b81e966b36bd0c70435b439a59b918ef4.jpg],origin[dam],category[],type[DESCRIPTIVESTILLLIFE],res[m],hmver[2]&call=url[file:/product/style]",T-shirt in soft cotton jersey with a printed graphic design and crew neck.,Regular length,Short sleeve,,,Cotton 100%,Light turquoise/light pink/white,Yes,0684021143,,men
39,Printed T-shirt,https://www2.hm.com/en_us/productpage.0684021113.html,[],,[reviewsLabel],$7.99,"//lp2.hm.com/hmgoepprod?set=source[/fc/ab/fcab15ef79efde652db3f5951a2dd575c7b7ba0b.jpg],origin[dam],category[men_tshirtstanks_shortsleeve],type[DESCRIPTIVESTILLLIFE],res[m],hmver[2]&call=url[file:/product/style]",T-shirt in soft cotton jersey with a printed graphic design and crew neck.,Regular length,Short sleeve,,,Cotton 100%,Beige/black,Yes,0684021113,,men
40,Premium Cotton T-shirt,https://www2.hm.com/en_us/productpage.0702932030.html,[],,[reviewsLabel],$17.99,"//lp2.hm.com/hmgoepprod?set=source[/73/cd/73cdfe1a7db8961f3221531e55b2f5bd8d7a6aa7.jpg],origin[dam],category[men_tshirtstanks_shortsleeve],type[DESCRIPTIVESTILLLIFE],res[m],hmver[2]&call=url[file:/product/style]",Crew-neck T-shirt in premium cotton jersey.,Regular length,Short sleeve,Slim fit,Round Neck,Cotton 100%,Dark burgundy,Yes,0702932030,Premium Selection,men
41,3-pack Regular Fit T-shirts,https://www2.hm.com/en_us/productpage.0945531001.html,[],,[reviewsLabel],$17.99,"//lp2.hm.com/hmgoepprod?set=source[/51/19/51198a3b3a436357fbfbfeff3f2ab10d2dd5e8ba.jpg],origin[dam],category[],type[DESCRIPTIVESTILLLIFE],res[m],hmver[2]&call=url[file:/product/style]",Crew-neck T-shirts in soft cotton jersey.,,Short sleeve,Regular fit,Round Neck,Cotton 100%,White,Yes,0945531001,,men
42,Raw-edge T-shirt,https://www2.hm.com/en_us/productpage.0793104007.html,[],,[reviewsLabel],$12.99,"//lp2.hm.com/hmgoepprod?set=source[/1d/5e/1d5ef7b08352db01eada54f57b574cdd166fbf9d.jpg],origin[dam],category[men_tshirtstanks_shortsleeve],type[DESCRIPTIVESTILLLIFE],res[m],hmver[2]&call=url[file:/product/style]","T-shirt in soft cotton slub jersey. Slightly wider neckline, seam at center back, and slightly longer, rounded back section. Raw, rolled edges at neckline and cuffs.",,Short sleeve,,Round Neck,Cotton 100%,Light beige,Yes,0793104007,,men
43,Relaxed Fit T-shirt,https://www2.hm.com/en_us/productpage.0608945001.html,[],,[reviewsLabel],$12.99,"//lp2.hm.com/hmgoepprod?set=source[/12/b8/12b8faac8f7d972cf600af171d43604d26b2a5cf.jpg],origin[dam],category[men_tshirtstanks_shortsleeve],type[DESCRIPTIVESTILLLIFE],res[m],hmver[2]&call=url[file:/product/style]",Crew-neck T-shirt in thick cotton jersey.,Regular length,Short sleeve,Relaxed fit,Round Neck,Cotton 100%,White,Yes,0608945001,,men
44,Cotton Polo Shirt,https://www2.hm.com/en_us/productpage.0816759001.html,[],,[reviewsLabel],$12.99,"//lp2.hm.com/hmgoepprod?set=source[/6b/e0/6be0e247f46577be390ff5db8a39537c495a9457.jpg],origin[dam],category[men_tshirtstanks_shortsleeve],type[DESCRIPTIVESTILLLIFE],res[m],hmver[2]&call=url[file:/product/style]","Polo shirt in cotton piqué. Ribbed collar, button placket, and short sleeves with ribbed cuffs. Slits at sides.",,Short sleeve,,,Cotton 100%,Black,Yes,0816759001,,men
45,3-pack Slim Fit T-shirts,https://www2.hm.com/en_us/productpage.0542533038.html,[],,[reviewsLabel],$24.99,"//lp2.hm.com/hmgoepprod?set=source[/92/90/9290b7eb16e58bcd066786fc73bab5bd452c3525.jpg],origin[dam],category[men_tshirtstanks_shortsleeve],type[DESCRIPTIVESTILLLIFE],res[m],hmver[2]&call=url[file:/product/style]",V-neck T-shirts in soft jersey.,Regular length,Short sleeve,Slim fit,V-neck,"Cotton 95%, Elastane 5%",Gray/dark gray/black,Yes,0542533038,,men
46,Cotton T-shirt,https://www2.hm.com/en_us/productpage.1003570008.html,[],,[reviewsLabel],$17.99,"//lp2.hm.com/hmgoepprod?set=source[/60/d0/60d034acf12afa1a52d448db84b6998b1cf9c884.jpg],origin[dam],category[men_tshirtstanks_shortsleeve],type[DESCRIPTIVESTILLLIFE],res[m],hmver[2]&call=url[file:/product/style]","Blank staples is a streetwear collection of minimalistic pieces – the perfect canvas for your personal style and creativity. This contemporary T-shirt is made from heavy, 7 oz/yd2 organic cotton jersey for a premium handfeel. Straight-cut, oversized, and relaxed fit with a ribbed crew neck and dropped shoulders.",,Short sleeve,Oversized,Round Neck,"Cotton 98%, Viscose 2%",Light gray melange,Yes,1003570008,,men
47,5-pack Slim Fit T-shirts,https://www2.hm.com/en_us/productpage.0945059005.html,[],,[reviewsLabel],$34.99,"//lp2.hm.com/hmgoepprod?set=source[/9e/4b/9e4bc1b7528fca955937bf09177e62da171ab0b4.jpg],origin[dam],category[],type[DESCRIPTIVESTILLLIFE],res[m],hmver[2]&call=url[file:/product/style]",V-neck T-shirts in cotton jersey. Slim Fit.,,Short sleeve,Slim fit,V-neck,"Cotton 95%, Elastane 5%",Black/white/dark gray/light beige/khaki green,Yes,0945059005,,men
48,Regular Fit T-shirt,https://www2.hm.com/en_us/productpage.0976232001.html,[],,[reviewsLabel],$5.99,"//lp2.hm.com/hmgoepprod?set=source[/ed/d5/edd5fd5edb1ed0d83bbc1eebb25f4a9b5cdbf44f.jpg],origin[dam],category[],type[DESCRIPTIVESTILLLIFE],res[m],hmver[2]&call=url[file:/product/style]",Crew-neck T-shirt in soft cotton jersey with a printed motif.,,Short sleeve,Regular fit,Round Neck,Cotton 100%,Black/white,Yes,0976232001,,men
49,Regular Fit Crew-neck T-shirt,https://www2.hm.com/en_us/productpage.0685816089.html,[],,[reviewsLabel],$6.99,"//lp2.hm.com/hmgoepprod?set=source[/d4/df/d4df31d137dae12ea4ec0e54f4ce5e05b7af4046.jpg],origin[dam],category[men_tshirtstanks_shortsleeve],type[DESCRIPTIVESTILLLIFE],res[m],hmver[1]&call=url[file:/product/style]",Crew-neck T-shirt in soft cotton jersey.,Regular length,Short sleeve,Regular fit,Round Neck,Cotton 100%,Light gray,Yes,0685816089,,men
50,3-pack Slim Fit T-shirts,https://www2.hm.com/en_us/productpage.0542533042.html,[],,[reviewsLabel],$24.99,"//lp2.hm.com/hmgoepprod?set=source[/f2/8f/f28fb636ff77ef11e09928c48a62d657b7d8e430.jpg],origin[dam],category[],type[DESCRIPTIVESTILLLIFE],res[m],hmver[2]&call=url[file:/product/style]",V-neck T-shirts in soft jersey.,Regular length,Short sleeve,Slim fit,V-neck,"Cotton 95%, Elastane 5%",Khaki green/dark blue/white,Yes,0542533042,,men
51,Premium Cotton T-shirt,https://www2.hm.com/en_us/productpage.0702932038.html,[],,[reviewsLabel],$17.99,"//lp2.hm.com/hmgoepprod?set=source[/8d/ec/8dec5adae04a37ea8cff878a5ce470bbdb9a247e.jpg],origin[dam],category[men_tshirtstanks_shortsleeve],type[DESCRIPTIVESTILLLIFE],res[m],hmver[2]&call=url[file:/product/style]",Crew-neck T-shirt in premium cotton jersey.,Regular length,Short sleeve,Slim fit,Round Neck,Cotton 100%,Dark taupe,Yes,0702932038,Premium Selection,men
52,Jersey Polo Shirt,https://www2.hm.com/en_us/productpage.0963674008.html,[],,[reviewsLabel],$12.99,"//lp2.hm.com/hmgoepprod?set=source[/cf/e1/cfe104e9a5a52f7306974c0d9a3938c1929dfa2c.jpg],origin[dam],category[],type[DESCRIPTIVESTILLLIFE],res[m],hmver[2]&call=url[file:/product/style]","Short-sleeved polo shirt in soft cotton jersey. Collar, opening at top without buttons, and slits at sides of hem.",,Short sleeve,,,Cotton 100%,Rust red,Yes,0963674008,environmentalMarker,men
