,name,supplier,rating,reviews,price,description,sleeve_length,fit,neckline,composition,color,imported,sustainability,article_number,length,gender
48,Cotton T-shirt,[],,[reviewsLabel],,"Blank staples is a streetwear collection of minimalistic pieces – the perfect canvas for your personal style and creativity. This contemporary T-shirt is made from heavy, 7 oz/yd2 organic cotton jersey for a premium handfeel. Straight-cut, oversized, and relaxed fit with a ribbed crew neck and dropped shoulders.",Short sleeve,Oversized,Round Neck,Cotton 100%,Dark green,Yes,environmentalMarker,1003570004,,men
49,Relaxed Fit T-shirt,[],,[reviewsLabel],,Crew-neck T-shirt in thick cotton jersey.,Short sleeve,Relaxed fit,Round Neck,Cotton 100%,White,Yes,,0608945001,Regular length,men
50,Printed T-shirt,[],,[reviewsLabel],,T-shirt in soft cotton jersey with a printed graphic design and crew neck.,Short sleeve,,,Cotton 100%,Beige/black,Yes,,0684021113,Regular length,men
51,Regular Fit T-shirt,[],,[reviewsLabel],,T-shirt in soft cotton jersey with a printed design. Ribbed crew neck.,Short sleeve,Regular fit,Round Neck,Cotton 100%,Black/red/blue/white,Yes,,0846973163,,men
52,3-pack Regular Fit T-shirts,[],,[reviewsLabel],,Crew-neck T-shirts in soft cotton jersey.,Short sleeve,Regular fit,Round Neck,Cotton 100%,White,Yes,,0945531001,,men
53,Printed T-shirt,[],,[reviewsLabel],,T-shirt in soft cotton jersey with a printed graphic design and crew neck.,Short sleeve,,,Cotton 100%,Light turquoise/light pink/white,Yes,,0684021143,Regular length,men
54,Relaxed Fit T-shirt,[],,[reviewsLabel],,Crew-neck T-shirt in thick cotton jersey.,Short sleeve,Relaxed fit,Round Neck,Cotton 100%,Gray,Yes,,0608945037,Regular length,men
55,Cotton T-shirt,[],,[reviewsLabel],,"Blank staples is a streetwear collection of minimalistic pieces – the perfect canvas for your personal style and creativity. This contemporary T-shirt is made from heavy, 7 oz/yd2 organic cotton jersey for a premium handfeel. Straight-cut, oversized, and relaxed fit with a ribbed crew neck and dropped shoulders.",Short sleeve,Oversized,Round Neck,Cotton 100%,Navy blue,Yes,environmentalMarker,1003570005,,men
56,10-pack Regular Fit T-shirts,[],,[reviewsLabel],,Crew-neck T-shirts in soft cotton jersey.,Short sleeve,Regular fit,Round Neck,Cotton 100%,White,Yes,,0975620003,,men
57,Regular Fit Crew-neck T-shirt,[],,[reviewsLabel],,Crew-neck T-shirt in soft cotton jersey.,Short sleeve,Regular fit,Round Neck,Cotton 100%,Light gray,Yes,,0685816089,Regular length,men
58,Relaxed Fit COOLMAX® T-shirt,[],,[reviewsLabel],,"Crew-neck T-shirt in soft jersey with a printed design. Made from COOLMAX® functional fabric – a unique, soft, comfortable, and fast-drying polyester fiber to efficiently wick moisture while regulating temperature.",Short sleeve,Relaxed fit,Round Neck,"Cotton 57%, Polyester 43%",Black/light blue/beige/green,Yes,environmentalMarker,0952602004,,men
59,Loose Fit Sports Shirt,[],,[reviewsLabel],,"Short-sleeved, crew-neck shirt in fast-drying, functional fabric to help keep you dry and cool while exercising. Taped details. Rounded hem, longer at back for improved fit and increased freedom of movement.",Short sleeve,Loose fit,Round Neck,"Polyester 94%, Elastane 6%",Dark green melange,Yes,environmentalMarker,0948855015,,men
60,T-shirt with Printed Design,[],,[reviewsLabel],,T-shirt in soft cotton jersey with a printed design.,Short sleeve,,Round Neck,Cotton 100%,Pink/black,Yes,,0699923146,Regular length,men
61,Slim Fit V-neck T-shirt,[],,[reviewsLabel],,V-neck T-shirt in soft cotton jersey.,Short sleeve,Slim fit,V-neck,"Cotton 95%, Elastane 5%",Black,Yes,,0570003001,Regular length,men
62,Regular Fit T-shirt,[],,[reviewsLabel],,Crew-neck T-shirt in soft cotton jersey with a printed motif.,Short sleeve,Regular fit,Round Neck,Cotton 100%,White/black,Yes,,0976232002,,men
63,Jersey Polo Shirt,[],,[reviewsLabel],,"Short-sleeved polo shirt in soft cotton jersey. Collar, opening at top without buttons, and slits at sides of hem.",Short sleeve,,,Cotton 100%,Sage green,Yes,environmentalMarker,0963674004,,men
64,Long Fit T-shirt,[],,[reviewsLabel],,"Long, crew-neck T-shirt in soft jersey with a rounded hem.",Short sleeve,,Round Neck,Cotton 100%,Light purple,Yes,,0598755067,Long,men
65,Premium Cotton T-shirt,[],,[reviewsLabel],,Crew-neck T-shirt in premium cotton jersey.,Short sleeve,Slim fit,Round Neck,Cotton 100%,Dark taupe,Yes,Premium Selection,0702932038,Regular length,men
66,Regular Fit T-shirt,[],,[reviewsLabel],,Crew-neck T-shirt in soft cotton jersey with a printed motif.,Short sleeve,Regular fit,Round Neck,Cotton 100%,Black/white,Yes,,0976232001,,men
67,Premium Cotton T-shirt,[],,[reviewsLabel],,Crew-neck T-shirt in premium cotton jersey.,Short sleeve,Slim fit,Round Neck,Cotton 100%,Dark blue,Yes,Premium Selection,0702932004,Regular length,men
68,Printed T-shirt,[],,[reviewsLabel],,T-shirt in soft cotton jersey with a printed design at front. Ribbed crew neck.,Short sleeve,Regular fit,Round Neck,Cotton 100%,Yellow/neon pink/purple/turquoise,Yes,,0945383002,,men
69,Loose Fit Sports Shirt,[],,[reviewsLabel],,"Short-sleeved, crew-neck shirt in fast-drying, functional fabric to help keep you dry and cool while exercising. Taped details. Rounded hem, longer at back for improved fit and increased freedom of movement.",Short sleeve,Loose fit,Round Neck,"Polyester 86%, Elastane 14%",Black,Yes,environmentalMarker,0948855004,,men
70,Raw-edge T-shirt,[],,[reviewsLabel],,"T-shirt in soft cotton slub jersey. Slightly wider neckline, seam at center back, and slightly longer, rounded back section. Raw, rolled edges at neckline and cuffs.",Short sleeve,,Round Neck,Cotton 100%,Khaki green,Yes,,0793104019,,men
71,3-pack Slim Fit T-shirts,[],,[reviewsLabel],,Crew-neck T-shirts in soft jersey.,Short sleeve,Slim fit,Round Neck,"Cotton 95%, Elastane 5%",Beige/white/light pink,Yes,,0578630040,Regular length,men
72,Regular Fit V-neck T-shirt,[],,[reviewsLabel],,V-neck T-shirt in soft cotton jersey.,Short sleeve,Regular fit,V-neck,Cotton 100%,White,Yes,,0763275001,,men
73,3-pack Slim Fit T-shirts,[],,[reviewsLabel],,V-neck T-shirts in soft jersey.,Short sleeve,Slim fit,V-neck,"Cotton 95%, Elastane 5%",White,Yes,,0542533001,Regular length,men
74,Color-block T-shirt,[],,[reviewsLabel],,Color-block T-shirt in cotton jersey. Ribbed neck and a small fabric appliqué on chest. Regular Fit.,Short sleeve,Regular fit,Round Neck,Cotton 100%,Dark blue/white,Yes,,0986376001,,men
75,Heavy Cotton Jersey T-shirt,[],,[reviewsLabel],,"Relaxed-fit T-shirt in heavy cotton jersey. Crew neck, printed design at front, and dropped shoulders.",Short sleeve,Relaxed fit,Round Neck,Cotton 100%,Orange/black/white,Yes,,0872231060,,men
76,Regular Fit T-shirt,[],,[reviewsLabel],,T-shirt in soft cotton jersey with a printed design. Ribbed crew neck.,Short sleeve,Regular fit,Round Neck,Cotton 100%,Black/red/blue/white,Yes,,0846973162,,men
77,Regular Fit T-shirt,[],,[reviewsLabel],,T-shirt in soft cotton jersey with a printed design. Ribbed crew neck.,Short sleeve,Regular fit,Round Neck,Cotton 100%,Purple/yellow/black,Yes,,0846973151,,men
78,Relaxed Fit T-shirt,[],,[reviewsLabel],,Crew-neck T-shirt in thick cotton jersey.,Short sleeve,Relaxed fit,Round Neck,Cotton 100%,Taupe,Yes,,0608945046,Regular length,men
79,Relaxed Fit T-shirt,[],,[reviewsLabel],,"Relaxed-fit T-shirt in soft cotton jersey with a printed design. Ribbed neck, dropped shoulders, and chest pocket.",Short sleeve,Relaxed fit,Round Neck,Cotton 100%,Black/white,Yes,,1001459001,,men
80,3-pack Slim Fit T-shirts,[],,[reviewsLabel],,Crew-neck T-shirts in soft jersey.,Short sleeve,Slim fit,Round Neck,"Cotton 95%, Elastane 5%",Blue/sage green/gray melange,Yes,,0578630039,Regular length,men
81,Relaxed Fit T-shirt,[],,[reviewsLabel],,Relaxed-fit T-shirt in soft cotton jersey with a printed design. Ribbed crew neck and dropped shoulders.,Short sleeve,Relaxed fit,Round Neck,Cotton 100%,Blue/white,Yes,,0972640022,,men
82,Regular Fit V-neck T-shirt,[],,[reviewsLabel],,V-neck T-shirt in soft cotton jersey.,Short sleeve,Regular fit,V-neck,Cotton 100%,Black,Yes,,0763275002,,men
83,2-pack Henley Shirts,[],,[reviewsLabel],,Short-sleeved henley shirts in soft jersey with a round neck and short button placket.,Short sleeve,Regular fit,,Cotton 100%,Khaki green/beige,Yes,,0674180015,Regular length,men
84,Regular Fit T-shirt,[],,[reviewsLabel],,T-shirt in soft cotton jersey with a printed design. Ribbed crew neck.,Short sleeve,Regular fit,Round Neck,Cotton 100%,Black/gray/beige,Yes,,0846973138,,men
85,Relaxed Fit T-shirt,[],,[reviewsLabel],,"Relaxed-fit T-shirt in soft cotton jersey with a printed design. Ribbed neck, dropped shoulders, and chest pocket.",Short sleeve,Relaxed fit,Round Neck,Cotton 100%,White/black/light blue,Yes,,1001459002,,men
86,Premium Cotton T-shirt,[],,[reviewsLabel],,Crew-neck T-shirt in premium cotton jersey.,Short sleeve,Slim fit,Round Neck,Cotton 100%,Steel blue,Yes,Premium Selection,0702932037,Regular length,men
87,COOLMAX® Piqué Polo Shirt,[],,[reviewsLabel],,"Polo shirt in cotton-blend piqué. Collar, button placket, and short sleeves. Made with COOLMAX® functional fabric – a unique, soft, comfortable, and fast-drying polyester fiber to efficiently wick moisture while regulating temperature.",Short sleeve,Regular fit,,"Cotton 58%, Polyester 42%",Light brown,Yes,,0950868001,,men
88,Regular Fit Polo Shirt,[],,[reviewsLabel],,Short-sleeved polo shirt in soft cotton jersey. Ribbed collar and two buttons at top.,Short sleeve,Regular fit,,Cotton 100%,White,Yes,,0973019002,,men
89,Long Fit T-shirt,[],,[reviewsLabel],,"Long, crew-neck T-shirt in soft jersey with a rounded hem.",Short sleeve,,Round Neck,Cotton 100%,Mint green,Yes,,0598755068,Long,men
90,Loose Fit Sports Shirt,[],,[reviewsLabel],,"Short-sleeved, crew-neck shirt in fast-drying, functional fabric to help keep you dry and cool while exercising. Taped details. Rounded hem, longer at back for improved fit and increased freedom of movement.",Short sleeve,Loose fit,Round Neck,"Polyester 94%, Elastane 6%",Light gray,Yes,environmentalMarker,0948855002,,men
91,Fine-knit Polo Shirt,[],,[reviewsLabel],,"Short-sleeved, fine-knit polo shirt in cotton with a ribbed collar and button placket.",Short sleeve,,,Cotton 100%,Navy blue,Yes,,0863753011,,men
92,2-pack Henley Shirts,[],,[reviewsLabel],,Short-sleeved henley shirts in soft jersey with a round neck and short button placket.,Short sleeve,Regular fit,,Cotton 100%,Dark gray/white,Yes,,0674180017,Regular length,men
93,Slim Fit Polo Shirt,[],,[reviewsLabel],,"Short-sleeved polo shirt in soft, organic cotton jersey. Collar and button placket at top.",Short sleeve,Slim fit,,"Cotton 95%, Elastane 5%",White,Yes,environmentalMarker,0956343002,,men
94,Regular Fit Crew-neck T-shirt,[],,[reviewsLabel],,Crew-neck T-shirt in soft cotton jersey.,Short sleeve,Regular fit,Round Neck,Cotton 100%,Light pink-purple,Yes,,0685816101,Regular length,men
95,2-pack Henley Shirts,[],,[reviewsLabel],,Short-sleeved henley shirts in soft jersey with a round neck and short button placket.,Short sleeve,Regular fit,,Cotton 100%,Black,Yes,,0674180002,Regular length,men
96,Premium Cotton T-shirt,[],,[reviewsLabel],,Crew-neck T-shirt in premium cotton jersey.,Short sleeve,Slim fit,Round Neck,Cotton 100%,Pigeon blue,Yes,Premium Selection,0702932055,Regular length,men
97,Regular Fit T-shirt,[],,[reviewsLabel],,T-shirt in soft cotton jersey with a printed design. Ribbed crew neck.,Short sleeve,Regular fit,Round Neck,Cotton 100%,White/brown/black/beige/yellow,Yes,,0846973132,,men
98,Long Fit T-shirt,[],,[reviewsLabel],,"Long, crew-neck T-shirt in soft jersey with a rounded hem.",Short sleeve,,Round Neck,Cotton 100%,Steel gray,Yes,,0598755031,Long,men
99,Premium Cotton T-shirt,[],,[reviewsLabel],,Crew-neck T-shirt in premium cotton jersey.,Short sleeve,Slim fit,Round Neck,Cotton 100%,Gray melange,Yes,Premium Selection,0702932033,Regular length,men
100,T-shirt with Printed Design,[],,[reviewsLabel],,T-shirt in soft cotton jersey with a printed design.,Short sleeve,,Round Neck,Cotton 100%,White/black/red/pink/blue/green,Yes,,0699923163,Regular length,men
101,Slub Jersey T-shirt,[],,[reviewsLabel],,"T-shirt in slub cotton jersey with sewn cuffs on sleeves. Slightly longer, rounded back section.",Short sleeve,,,Cotton 100%,White,Yes,,0591466038,,men
102,Loose Fit Sports Shirt,[],,[reviewsLabel],,"Short-sleeved, crew-neck shirt in fast-drying, functional fabric to help keep you dry and cool while exercising. Taped details. Rounded hem, longer at back for improved fit and increased freedom of movement.",Short sleeve,Loose fit,Round Neck,"Polyester 86%, Elastane 14%",White,Yes,environmentalMarker,0948855003,,men
103,Cotton T-shirt,[],,[reviewsLabel],,T-shirt in soft cotton jersey.,Short sleeve,,Round Neck,Cotton 100%,Black/green/orange/white,Yes,,0782616050,,men
104,Regular Fit T-shirt,[],,[reviewsLabel],,Crew-neck T-shirt in soft cotton jersey with a printed graphic design at front.,Short sleeve,Regular fit,Round Neck,Cotton 100%,Black/neon green,Yes,,0973277006,,men
105,Premium Cotton T-shirt,[],,[reviewsLabel],,Crew-neck T-shirt in premium cotton jersey.,Short sleeve,Slim fit,Round Neck,Cotton 100%,Turquoise,Yes,Premium Selection,0702932056,Regular length,men
106,2-pack COOLMAX® T-shirts,[],,[reviewsLabel],,"Crew-neck T-shirts in a soft, stretch cotton blend made from COOLMAX® functional fabric – a unique, soft, comfortable, and fast-drying polyester fiber to efficiently wick moisture while regulating temperature.",Short sleeve,Regular fit,Round Neck,"Cotton 60%, Polyester 40%",Dark blue/light blue,Yes,,0945802004,,men
107,Regular Fit Polo Shirt,[],,[reviewsLabel],,Short-sleeved polo shirt in soft cotton jersey. Ribbed collar and two buttons at top.,Short sleeve,Regular fit,,Cotton 100%,Light blue,Yes,,0973019005,,men
108,Slim Fit V-neck T-shirt,[],,[reviewsLabel],,V-neck T-shirt in soft cotton jersey.,Short sleeve,Slim fit,V-neck,"Cotton 95%, Elastane 5%",White,Yes,,0570003002,Regular length,men
109,2-pack Regular Fit T-shirts,[],,[reviewsLabel],,"T-shirts in soft cotton jersey with a low neck. Rolled edges at neck and cuffs. Rounded hem, longer at back. Regular Fit.",Short sleeve,Regular fit,Round Neck,Cotton 100%,Black/white,Yes,,0963748001,,men
110,Cotton Polo Shirt,[],,[reviewsLabel],,"Polo shirt in cotton piqué. Ribbed collar, button placket, and short sleeves with ribbed cuffs. Slits at sides.",Short sleeve,,,Cotton 100%,Pink,Yes,,0816759039,,men
111,Regular Fit V-neck T-shirt,[],,[reviewsLabel],,V-neck T-shirt in soft cotton jersey.,Short sleeve,Regular fit,V-neck,Cotton 100%,Dark blue,Yes,,0763275030,,men
112,5-pack Slim Fit T-shirts,[],,[reviewsLabel],,Crew-neck T-shirts in soft cotton jersey.,Short sleeve,Slim fit,Round Neck,"Cotton 80%, Viscose 15%, Elastane 5%",Light purple/khaki green/gray melange/taupe/white,Yes,,0624684012,Regular length,men
113,Cotton T-shirt,[],,[reviewsLabel],,T-shirt in soft cotton jersey.,Short sleeve,,Round Neck,Cotton 100%,Beige/white,Yes,,0782616049,,men
114,Cotton Polo Shirt,[],,[reviewsLabel],,"Polo shirt in cotton piqué. Ribbed collar, button placket, and short sleeves with ribbed cuffs. Slits at sides.",Short sleeve,,,Cotton 100%,White,Yes,,0816759002,,men
115,Regular Fit T-shirt,[],,[reviewsLabel],,T-shirt in soft cotton jersey with a printed design. Ribbed crew neck.,Short sleeve,Regular fit,Round Neck,Cotton 100%,White/purple/beige,Yes,,0846973161,,men
116,Regular Fit Crew-neck T-shirt,[],,[reviewsLabel],,Crew-neck T-shirt in soft cotton jersey.,Short sleeve,Regular fit,Round Neck,Cotton 100%,Mint green,Yes,,0685816091,Regular length,men
117,Printed T-shirt,[],,[reviewsLabel],,T-shirt in soft cotton jersey with a printed graphic design and crew neck.,Short sleeve,,,Cotton 100%,Light pink/light orange,Yes,,0684021142,Regular length,men
118,2-pack COOLMAX® T-shirts,[],,[reviewsLabel],,"Crew-neck T-shirts in soft jersey made from COOLMAX® functional fabric – a unique, soft, comfortable, and fast-drying polyester fiber to efficiently wick moisture while regulating temperature.",Short sleeve,Slim fit,Round Neck,"Cotton 96%, Elastane 4%",Blue/light gray melange,Yes,,0948730005,,men
