,name,image_url,color,size,url,price,descr,fit_features,materials,wash_dir,ethical_url,gender,material1,material2,material3
10,Lorax Unless T-Shirt,//cdn.shopify.com/s/files/1/2341/3995/products/TCM4833-23121.jpg?v=1634833590,DEEP JUNGLE,M,https://www.tentree.com/collections/mens-t-shirts-tanks/products/mens-lorax-unless-t-shirt?variant=40637431644346,40.0,"""Unless"" reminds us that we need to change for the good of the planet, the trees and all who call the earth home. Let's join the Lorax and speak for the trees.","Regular fit crew neck t-shirt, medium stretch","45% REPREVE® Recycled Polyester, 30% TENCEL™ Lyocell, 25% Organic Cotton","Wash cold, tumble dry low","<a href=""/pages/ethical-manufacturing"" target=""_blank"">Designed in Canada, ethically made in China</a>",mens,45% REPREVE® Recycled Polyester, 30% TENCEL™ Lyocell, 25% Organic Cotton
11,Lorax Unless T-Shirt,//cdn.shopify.com/s/files/1/2341/3995/products/TCM4833-23121.jpg?v=1634833590,DEEP JUNGLE,L,https://www.tentree.com/collections/mens-t-shirts-tanks/products/mens-lorax-unless-t-shirt?variant=40637431677114,40.0,"""Unless"" reminds us that we need to change for the good of the planet, the trees and all who call the earth home. Let's join the Lorax and speak for the trees.","Regular fit crew neck t-shirt, medium stretch","45% REPREVE® Recycled Polyester, 30% TENCEL™ Lyocell, 25% Organic Cotton","Wash cold, tumble dry low","<a href=""/pages/ethical-manufacturing"" target=""_blank"">Designed in Canada, ethically made in China</a>",mens,45% REPREVE® Recycled Polyester, 30% TENCEL™ Lyocell, 25% Organic Cotton
12,Lorax Unless T-Shirt,//cdn.shopify.com/s/files/1/2341/3995/products/TCM4833-23121.jpg?v=1634833590,DEEP JUNGLE,XL,https://www.tentree.com/collections/mens-t-shirts-tanks/products/mens-lorax-unless-t-shirt?variant=40637431709882,40.0,"""Unless"" reminds us that we need to change for the good of the planet, the trees and all who call the earth home. Let's join the Lorax and speak for the trees.","Regular fit crew neck t-shirt, medium stretch","45% REPREVE® Recycled Polyester, 30% TENCEL™ Lyocell, 25% Organic Cotton","Wash cold, tumble dry low","<a href=""/pages/ethical-manufacturing"" target=""_blank"">Designed in Canada, ethically made in China</a>",mens,45% REPREVE® Recycled Polyester, 30% TENCEL™ Lyocell, 25% Organic Cotton
13,Lorax Unless T-Shirt,//cdn.shopify.com/s/files/1/2341/3995/products/TCM4833-23121.jpg?v=1634833590,DEEP JUNGLE,XXL,https://www.tentree.com/collections/mens-t-shirts-tanks/products/mens-lorax-unless-t-shirt?variant=40637431742650,40.0,"""Unless"" reminds us that we need to change for the good of the planet, the trees and all who call the earth home. Let's join the Lorax and speak for the trees.","Regular fit crew neck t-shirt, medium stretch","45% REPREVE® Recycled Polyester, 30% TENCEL™ Lyocell, 25% Organic Cotton","Wash cold, tumble dry low","<a href=""/pages/ethical-manufacturing"" target=""_blank"">Designed in Canada, ethically made in China</a>",mens,45% REPREVE® Recycled Polyester, 30% TENCEL™ Lyocell, 25% Organic Cotton
14,TreeBlend Classic Longsleeve,//cdn.shopify.com/s/files/1/2341/3995/products/TCM2607-04512.jpg?v=1613687395,METEORITE BLACK HEATHER,S,https://www.tentree.com/collections/mens-t-shirts-tanks/products/m-treeblend-classic-longsleeve?variant=38113204863162,40.0,This everyday layer ticks all the boxes. Comfy? Sustainably made? Easy to wear?,"Regular Fit, Long sleeve crewneck tee, straight hem, cork logo chest patch","45% Recycled Polyester, 30% Tencel® Lyocell, 25% Organic Cotton","Wash cold, hang dry","<a href=""https://www.tentree.com/pages/ethical-manufacturing"">Designed in Canada, ethically made in China</a>",mens,45% Recycled Polyester, 30% Tencel® Lyocell, 25% Organic Cotton
15,TreeBlend Classic Longsleeve,//cdn.shopify.com/s/files/1/2341/3995/products/TCM2607-04512.jpg?v=1613687395,METEORITE BLACK HEATHER,M,https://www.tentree.com/collections/mens-t-shirts-tanks/products/m-treeblend-classic-longsleeve?variant=38113204895930,40.0,This everyday layer ticks all the boxes. Comfy? Sustainably made? Easy to wear?,"Regular Fit, Long sleeve crewneck tee, straight hem, cork logo chest patch","45% Recycled Polyester, 30% Tencel® Lyocell, 25% Organic Cotton","Wash cold, hang dry","<a href=""https://www.tentree.com/pages/ethical-manufacturing"">Designed in Canada, ethically made in China</a>",mens,45% Recycled Polyester, 30% Tencel® Lyocell, 25% Organic Cotton
16,TreeBlend Classic Longsleeve,//cdn.shopify.com/s/files/1/2341/3995/products/TCM2607-04512.jpg?v=1613687395,METEORITE BLACK HEATHER,L,https://www.tentree.com/collections/mens-t-shirts-tanks/products/m-treeblend-classic-longsleeve?variant=38113204928698,40.0,This everyday layer ticks all the boxes. Comfy? Sustainably made? Easy to wear?,"Regular Fit, Long sleeve crewneck tee, straight hem, cork logo chest patch","45% Recycled Polyester, 30% Tencel® Lyocell, 25% Organic Cotton","Wash cold, hang dry","<a href=""https://www.tentree.com/pages/ethical-manufacturing"">Designed in Canada, ethically made in China</a>",mens,45% Recycled Polyester, 30% Tencel® Lyocell, 25% Organic Cotton
17,TreeBlend Classic Longsleeve,//cdn.shopify.com/s/files/1/2341/3995/products/TCM2607-04512.jpg?v=1613687395,METEORITE BLACK HEATHER,XL,https://www.tentree.com/collections/mens-t-shirts-tanks/products/m-treeblend-classic-longsleeve?variant=38113204961466,40.0,This everyday layer ticks all the boxes. Comfy? Sustainably made? Easy to wear?,"Regular Fit, Long sleeve crewneck tee, straight hem, cork logo chest patch","45% Recycled Polyester, 30% Tencel® Lyocell, 25% Organic Cotton","Wash cold, hang dry","<a href=""https://www.tentree.com/pages/ethical-manufacturing"">Designed in Canada, ethically made in China</a>",mens,45% Recycled Polyester, 30% Tencel® Lyocell, 25% Organic Cotton
18,TreeBlend Classic Longsleeve,//cdn.shopify.com/s/files/1/2341/3995/products/TCM2607-04512.jpg?v=1613687395,METEORITE BLACK HEATHER,XXL,https://www.tentree.com/collections/mens-t-shirts-tanks/products/m-treeblend-classic-longsleeve?variant=38113204994234,40.0,This everyday layer ticks all the boxes. Comfy? Sustainably made? Easy to wear?,"Regular Fit, Long sleeve crewneck tee, straight hem, cork logo chest patch","45% Recycled Polyester, 30% Tencel® Lyocell, 25% Organic Cotton","Wash cold, hang dry","<a href=""https://www.tentree.com/pages/ethical-manufacturing"">Designed in Canada, ethically made in China</a>",mens,45% Recycled Polyester, 30% Tencel® Lyocell, 25% Organic Cotton
19,TreeBlend Classic Longsleeve,//cdn.shopify.com/s/files/1/2341/3995/products/TCM2607-04641.jpg?v=1611266821,OLIVE NIGHT GREEN HEATHER,S,https://www.tentree.com/collections/mens-t-shirts-tanks/products/m-treeblend-classic-longsleeve?variant=37964899745978,40.0,This everyday layer ticks all the boxes. Comfy? Sustainably made? Easy to wear?,"Regular Fit, Long sleeve crewneck tee, straight hem, cork logo chest patch","45% Recycled Polyester, 30% Tencel® Lyocell, 25% Organic Cotton","Wash cold, hang dry","<a href=""https://www.tentree.com/pages/ethical-manufacturing"">Designed in Canada, ethically made in China</a>",mens,45% Recycled Polyester, 30% Tencel® Lyocell, 25% Organic Cotton
20,TreeBlend Classic Longsleeve,//cdn.shopify.com/s/files/1/2341/3995/products/TCM2607-04641.jpg?v=1611266821,OLIVE NIGHT GREEN HEATHER,M,https://www.tentree.com/collections/mens-t-shirts-tanks/products/m-treeblend-classic-longsleeve?variant=37964899844282,40.0,This everyday layer ticks all the boxes. Comfy? Sustainably made? Easy to wear?,"Regular Fit, Long sleeve crewneck tee, straight hem, cork logo chest patch","45% Recycled Polyester, 30% Tencel® Lyocell, 25% Organic Cotton","Wash cold, hang dry","<a href=""https://www.tentree.com/pages/ethical-manufacturing"">Designed in Canada, ethically made in China</a>",mens,45% Recycled Polyester, 30% Tencel® Lyocell, 25% Organic Cotton
21,TreeBlend Classic Longsleeve,//cdn.shopify.com/s/files/1/2341/3995/products/TCM2607-04641.jpg?v=1611266821,OLIVE NIGHT GREEN HEATHER,L,https://www.tentree.com/collections/mens-t-shirts-tanks/products/m-treeblend-classic-longsleeve?variant=37964899877050,40.0,This everyday layer ticks all the boxes. Comfy? Sustainably made? Easy to wear?,"Regular Fit, Long sleeve crewneck tee, straight hem, cork logo chest patch","45% Recycled Polyester, 30% Tencel® Lyocell, 25% Organic Cotton","Wash cold, hang dry","<a href=""https://www.tentree.com/pages/ethical-manufacturing"">Designed in Canada, ethically made in China</a>",mens,45% Recycled Polyester, 30% Tencel® Lyocell, 25% Organic Cotton
22,TreeBlend Classic Longsleeve,//cdn.shopify.com/s/files/1/2341/3995/products/TCM2607-04641.jpg?v=1611266821,OLIVE NIGHT GREEN HEATHER,XL,https://www.tentree.com/collections/mens-t-shirts-tanks/products/m-treeblend-classic-longsleeve?variant=37964899909818,40.0,This everyday layer ticks all the boxes. Comfy? Sustainably made? Easy to wear?,"Regular Fit, Long sleeve crewneck tee, straight hem, cork logo chest patch","45% Recycled Polyester, 30% Tencel® Lyocell, 25% Organic Cotton","Wash cold, hang dry","<a href=""https://www.tentree.com/pages/ethical-manufacturing"">Designed in Canada, ethically made in China</a>",mens,45% Recycled Polyester, 30% Tencel® Lyocell, 25% Organic Cotton
23,TreeBlend Classic Longsleeve,//cdn.shopify.com/s/files/1/2341/3995/products/TCM2607-04641.jpg?v=1611266821,OLIVE NIGHT GREEN HEATHER,XXL,https://www.tentree.com/collections/mens-t-shirts-tanks/products/m-treeblend-classic-longsleeve?variant=37964899942586,40.0,This everyday layer ticks all the boxes. Comfy? Sustainably made? Easy to wear?,"Regular Fit, Long sleeve crewneck tee, straight hem, cork logo chest patch","45% Recycled Polyester, 30% Tencel® Lyocell, 25% Organic Cotton","Wash cold, hang dry","<a href=""https://www.tentree.com/pages/ethical-manufacturing"">Designed in Canada, ethically made in China</a>",mens,45% Recycled Polyester, 30% Tencel® Lyocell, 25% Organic Cotton
24,TreeBlend Classic Longsleeve,//cdn.shopify.com/s/files/1/2341/3995/products/TCM2607-15731.jg.jpg?v=1628455227,DRESS BLUE HEATHER,S,https://www.tentree.com/collections/mens-t-shirts-tanks/products/m-treeblend-classic-longsleeve?variant=32300790743127,40.0,This everyday layer ticks all the boxes. Comfy? Sustainably made? Easy to wear?,"Regular Fit, Long sleeve crewneck tee, straight hem, cork logo chest patch","45% Recycled Polyester, 30% Tencel® Lyocell, 25% Organic Cotton","Wash cold, hang dry","<a href=""https://www.tentree.com/pages/ethical-manufacturing"">Designed in Canada, ethically made in China</a>",mens,45% Recycled Polyester, 30% Tencel® Lyocell, 25% Organic Cotton
25,TreeBlend Classic Longsleeve,//cdn.shopify.com/s/files/1/2341/3995/products/TCM2607-15731.jg.jpg?v=1628455227,DRESS BLUE HEATHER,M,https://www.tentree.com/collections/mens-t-shirts-tanks/products/m-treeblend-classic-longsleeve?variant=32300790775895,40.0,This everyday layer ticks all the boxes. Comfy? Sustainably made? Easy to wear?,"Regular Fit, Long sleeve crewneck tee, straight hem, cork logo chest patch","45% Recycled Polyester, 30% Tencel® Lyocell, 25% Organic Cotton","Wash cold, hang dry","<a href=""https://www.tentree.com/pages/ethical-manufacturing"">Designed in Canada, ethically made in China</a>",mens,45% Recycled Polyester, 30% Tencel® Lyocell, 25% Organic Cotton
26,TreeBlend Classic Longsleeve,//cdn.shopify.com/s/files/1/2341/3995/products/TCM2607-15731.jg.jpg?v=1628455227,DRESS BLUE HEATHER,L,https://www.tentree.com/collections/mens-t-shirts-tanks/products/m-treeblend-classic-longsleeve?variant=32300790808663,40.0,This everyday layer ticks all the boxes. Comfy? Sustainably made? Easy to wear?,"Regular Fit, Long sleeve crewneck tee, straight hem, cork logo chest patch","45% Recycled Polyester, 30% Tencel® Lyocell, 25% Organic Cotton","Wash cold, hang dry","<a href=""https://www.tentree.com/pages/ethical-manufacturing"">Designed in Canada, ethically made in China</a>",mens,45% Recycled Polyester, 30% Tencel® Lyocell, 25% Organic Cotton
27,TreeBlend Classic Longsleeve,//cdn.shopify.com/s/files/1/2341/3995/products/TCM2607-15731.jg.jpg?v=1628455227,DRESS BLUE HEATHER,XL,https://www.tentree.com/collections/mens-t-shirts-tanks/products/m-treeblend-classic-longsleeve?variant=32300790841431,40.0,This everyday layer ticks all the boxes. Comfy? Sustainably made? Easy to wear?,"Regular Fit, Long sleeve crewneck tee, straight hem, cork logo chest patch","45% Recycled Polyester, 30% Tencel® Lyocell, 25% Organic Cotton","Wash cold, hang dry","<a href=""https://www.tentree.com/pages/ethical-manufacturing"">Designed in Canada, ethically made in China</a>",mens,45% Recycled Polyester, 30% Tencel® Lyocell, 25% Organic Cotton
28,TreeBlend Classic Longsleeve,//cdn.shopify.com/s/files/1/2341/3995/products/TCM2607-15731.jg.jpg?v=1628455227,DRESS BLUE HEATHER,XXL,https://www.tentree.com/collections/mens-t-shirts-tanks/products/m-treeblend-classic-longsleeve?variant=32300790874199,40.0,This everyday layer ticks all the boxes. Comfy? Sustainably made? Easy to wear?,"Regular Fit, Long sleeve crewneck tee, straight hem, cork logo chest patch","45% Recycled Polyester, 30% Tencel® Lyocell, 25% Organic Cotton","Wash cold, hang dry","<a href=""https://www.tentree.com/pages/ethical-manufacturing"">Designed in Canada, ethically made in China</a>",mens,45% Recycled Polyester, 30% Tencel® Lyocell, 25% Organic Cotton
29,TreeBlend Classic Longsleeve,//cdn.shopify.com/s/files/1/2341/3995/products/TCM2607-2013-0979.jpg?v=1633729197,MULBERRY,S,https://www.tentree.com/collections/mens-t-shirts-tanks/products/m-treeblend-classic-longsleeve?variant=37385655058618,40.0,This everyday layer ticks all the boxes. Comfy? Sustainably made? Easy to wear?,"Regular Fit, Long sleeve crewneck tee, straight hem, cork logo chest patch","45% Recycled Polyester, 30% Tencel® Lyocell, 25% Organic Cotton","Wash cold, hang dry","<a href=""https://www.tentree.com/pages/ethical-manufacturing"">Designed in Canada, ethically made in China</a>",mens,45% Recycled Polyester, 30% Tencel® Lyocell, 25% Organic Cotton
30,TreeBlend Classic Longsleeve,//cdn.shopify.com/s/files/1/2341/3995/products/TCM2607-2013-0979.jpg?v=1633729197,MULBERRY,M,https://www.tentree.com/collections/mens-t-shirts-tanks/products/m-treeblend-classic-longsleeve?variant=37385655124154,40.0,This everyday layer ticks all the boxes. Comfy? Sustainably made? Easy to wear?,"Regular Fit, Long sleeve crewneck tee, straight hem, cork logo chest patch","45% Recycled Polyester, 30% Tencel® Lyocell, 25% Organic Cotton","Wash cold, hang dry","<a href=""https://www.tentree.com/pages/ethical-manufacturing"">Designed in Canada, ethically made in China</a>",mens,45% Recycled Polyester, 30% Tencel® Lyocell, 25% Organic Cotton
31,TreeBlend Classic Longsleeve,//cdn.shopify.com/s/files/1/2341/3995/products/TCM2607-2013-0979.jpg?v=1633729197,MULBERRY,L,https://www.tentree.com/collections/mens-t-shirts-tanks/products/m-treeblend-classic-longsleeve?variant=37385655156922,40.0,This everyday layer ticks all the boxes. Comfy? Sustainably made? Easy to wear?,"Regular Fit, Long sleeve crewneck tee, straight hem, cork logo chest patch","45% Recycled Polyester, 30% Tencel® Lyocell, 25% Organic Cotton","Wash cold, hang dry","<a href=""https://www.tentree.com/pages/ethical-manufacturing"">Designed in Canada, ethically made in China</a>",mens,45% Recycled Polyester, 30% Tencel® Lyocell, 25% Organic Cotton
32,TreeBlend Classic Longsleeve,//cdn.shopify.com/s/files/1/2341/3995/products/TCM2607-2013-0979.jpg?v=1633729197,MULBERRY,XL,https://www.tentree.com/collections/mens-t-shirts-tanks/products/m-treeblend-classic-longsleeve?variant=37385655189690,40.0,This everyday layer ticks all the boxes. Comfy? Sustainably made? Easy to wear?,"Regular Fit, Long sleeve crewneck tee, straight hem, cork logo chest patch","45% Recycled Polyester, 30% Tencel® Lyocell, 25% Organic Cotton","Wash cold, hang dry","<a href=""https://www.tentree.com/pages/ethical-manufacturing"">Designed in Canada, ethically made in China</a>",mens,45% Recycled Polyester, 30% Tencel® Lyocell, 25% Organic Cotton
33,TreeBlend Classic Longsleeve,//cdn.shopify.com/s/files/1/2341/3995/products/TCM2607-2013-0979.jpg?v=1633729197,MULBERRY,XXL,https://www.tentree.com/collections/mens-t-shirts-tanks/products/m-treeblend-classic-longsleeve?variant=37385655222458,40.0,This everyday layer ticks all the boxes. Comfy? Sustainably made? Easy to wear?,"Regular Fit, Long sleeve crewneck tee, straight hem, cork logo chest patch","45% Recycled Polyester, 30% Tencel® Lyocell, 25% Organic Cotton","Wash cold, hang dry","<a href=""https://www.tentree.com/pages/ethical-manufacturing"">Designed in Canada, ethically made in China</a>",mens,45% Recycled Polyester, 30% Tencel® Lyocell, 25% Organic Cotton
34,TreeBlend Classic T-Shirt,//cdn.shopify.com/s/files/1/2341/3995/products/TCM1869-00161-Edit_066347f2-606a-47a4-ad10-d1332a1fe6bb.jpg?v=1616627456,WHITE,XXL,https://www.tentree.com/collections/mens-t-shirts-tanks/products/m-basic-t?variant=39369773744314,35.0,Get back to basics. Our plain t-shirts are a sustainable staple to any wardrobe.,"Lightweight 160gsm, Regular Fit","Made of our signature TreeBlend: 45% Recycled Polyester, 30% TENCEL Lyocell, 25% Organic Cotton","Basic crewneck t-shirt, set-in sleeve, made from comfortable sustainable materials","Cleaning instructions: Machine wash cold, hang dry",mens,Made of our signature TreeBlend: 45% Recycled Polyester, 30% TENCEL Lyocell, 25% Organic Cotton
35,TreeBlend Classic T-Shirt,//cdn.shopify.com/s/files/1/2341/3995/products/TCM1869-04511.jpg?v=1611262165,METEORITE BLACK HEATHER,S,https://www.tentree.com/collections/mens-t-shirts-tanks/products/m-basic-t?variant=31535682158679,35.0,Get back to basics. Our plain t-shirts are a sustainable staple to any wardrobe.,"Lightweight 160gsm, Regular Fit","Made of our signature TreeBlend: 45% Recycled Polyester, 30% TENCEL Lyocell, 25% Organic Cotton","Basic crewneck t-shirt, set-in sleeve, made from comfortable sustainable materials","Cleaning instructions: Machine wash cold, hang dry",mens,Made of our signature TreeBlend: 45% Recycled Polyester, 30% TENCEL Lyocell, 25% Organic Cotton
36,TreeBlend Classic T-Shirt,//cdn.shopify.com/s/files/1/2341/3995/products/TCM1869-04511.jpg?v=1611262165,METEORITE BLACK HEATHER,M,https://www.tentree.com/collections/mens-t-shirts-tanks/products/m-basic-t?variant=31535682191447,35.0,Get back to basics. Our plain t-shirts are a sustainable staple to any wardrobe.,"Lightweight 160gsm, Regular Fit","Made of our signature TreeBlend: 45% Recycled Polyester, 30% TENCEL Lyocell, 25% Organic Cotton","Basic crewneck t-shirt, set-in sleeve, made from comfortable sustainable materials","Cleaning instructions: Machine wash cold, hang dry",mens,Made of our signature TreeBlend: 45% Recycled Polyester, 30% TENCEL Lyocell, 25% Organic Cotton
37,TreeBlend Classic T-Shirt,//cdn.shopify.com/s/files/1/2341/3995/products/TCM1869-04511.jpg?v=1611262165,METEORITE BLACK HEATHER,L,https://www.tentree.com/collections/mens-t-shirts-tanks/products/m-basic-t?variant=31535682224215,35.0,Get back to basics. Our plain t-shirts are a sustainable staple to any wardrobe.,"Lightweight 160gsm, Regular Fit","Made of our signature TreeBlend: 45% Recycled Polyester, 30% TENCEL Lyocell, 25% Organic Cotton","Basic crewneck t-shirt, set-in sleeve, made from comfortable sustainable materials","Cleaning instructions: Machine wash cold, hang dry",mens,Made of our signature TreeBlend: 45% Recycled Polyester, 30% TENCEL Lyocell, 25% Organic Cotton
38,TreeBlend Classic T-Shirt,//cdn.shopify.com/s/files/1/2341/3995/products/TCM1869-04511.jpg?v=1611262165,METEORITE BLACK HEATHER,XL,https://www.tentree.com/collections/mens-t-shirts-tanks/products/m-basic-t?variant=31535682256983,35.0,Get back to basics. Our plain t-shirts are a sustainable staple to any wardrobe.,"Lightweight 160gsm, Regular Fit","Made of our signature TreeBlend: 45% Recycled Polyester, 30% TENCEL Lyocell, 25% Organic Cotton","Basic crewneck t-shirt, set-in sleeve, made from comfortable sustainable materials","Cleaning instructions: Machine wash cold, hang dry",mens,Made of our signature TreeBlend: 45% Recycled Polyester, 30% TENCEL Lyocell, 25% Organic Cotton
39,TreeBlend Classic T-Shirt,//cdn.shopify.com/s/files/1/2341/3995/products/TCM1869-04511.jpg?v=1611262165,METEORITE BLACK HEATHER,XXL,https://www.tentree.com/collections/mens-t-shirts-tanks/products/m-basic-t?variant=31535682289751,35.0,Get back to basics. Our plain t-shirts are a sustainable staple to any wardrobe.,"Lightweight 160gsm, Regular Fit","Made of our signature TreeBlend: 45% Recycled Polyester, 30% TENCEL Lyocell, 25% Organic Cotton","Basic crewneck t-shirt, set-in sleeve, made from comfortable sustainable materials","Cleaning instructions: Machine wash cold, hang dry",mens,Made of our signature TreeBlend: 45% Recycled Polyester, 30% TENCEL Lyocell, 25% Organic Cotton
