title,description,price,color,gender,imageUrl,brand,composition,elastane,polystyrene,linen,silk,wool,cotton,viscose,modal,polyamide,polyester
Slim Fit Round-neck T-shirt,Crew-neck T-shirt in soft jersey.,9.99,Black,men,"//lp2.hm.com/hmgoepprod?set=source[/76/b9/76b9766522a63ae801ea85945b18ec9289e743de.jpg],origin[dam],category[men_tshirtstanks_shortsleeve],type[DESCRIPTIVESTILLLIFE],res[m],hmver[2]&call=url[file:/product/style]",H&M,"Cotton 95%, Elastane 5%",0.05,0.0,0.0,0.0,0.0,0.95,0.0,0.0,0.0,0.0
3-pack Slim Fit T-shirts,Crew-neck T-shirts in soft jersey.,24.99,White,men,"//lp2.hm.com/hmgoepprod?set=source[/e0/bb/e0bbadfa8b7f588feffeb03a0094f7f42296acb5.jpg],origin[dam],category[men_tshirtstanks_shortsleeve],type[DESCRIPTIVESTILLLIFE],res[m],hmver[2]&call=url[file:/product/style]",H&M,"Cotton 95%, Elastane 5%",0.05,0.0,0.0,0.0,0.0,0.95,0.0,0.0,0.0,0.0
Premium Cotton T-shirt,Crew-neck T-shirt in premium cotton jersey.,17.99,Black,men,"//lp2.hm.com/hmgoepprod?set=source[/f5/3a/f53aa4121986e8f5cc2ca9847cbc83182d4c6c42.jpg],origin[dam],category[men_tshirtstanks_shortsleeve],type[DESCRIPTIVESTILLLIFE],res[m],hmver[1]&call=url[file:/product/style]",H&M,Cotton 100%,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
Regular Fit Crew-neck T-shirt,Crew-neck T-shirt in soft cotton jersey.,6.99,Dark beige,men,"//lp2.hm.com/hmgoepprod?set=source[/ca/71/ca718dbfc268977935d4ac9529c365c75b954aed.jpg],origin[dam],category[],type[DESCRIPTIVESTILLLIFE],res[m],hmver[2]&call=url[file:/product/style]",H&M,Cotton 100%,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
Regular Fit Crew-neck T-shirt,Crew-neck T-shirt in soft cotton jersey.,6.99,Brown,men,"//lp2.hm.com/hmgoepprod?set=source[/5c/3c/5c3c26d927b5546f8ef0a0648da0ab5fe2c317ec.jpg],origin[dam],category[],type[DESCRIPTIVESTILLLIFE],res[m],hmver[2]&call=url[file:/product/style]",H&M,Cotton 100%,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
5-pack Slim Fit T-shirts,V-neck T-shirts in cotton jersey. Slim Fit.,34.99,Black white,men,"//lp2.hm.com/hmgoepprod?set=source[/18/55/1855d9929c1cb01d6b447d2315c2fc3384ba9c24.jpg],origin[dam],category[],type[DESCRIPTIVESTILLLIFE],res[m],hmver[2]&call=url[file:/product/style]",H&M,"Cotton 95%, Elastane 5%",0.05,0.0,0.0,0.0,0.0,0.95,0.0,0.0,0.0,0.0
Long Fit T-shirt,"Long, crew-neck T-shirt in soft jersey with a rounded hem.",9.99,Dark gray,men,"//lp2.hm.com/hmgoepprod?set=source[/bf/de/bfde81866cfd644adcef2c94105d786be727bb7c.jpg],origin[dam],category[],type[DESCRIPTIVESTILLLIFE],res[m],hmver[2]&call=url[file:/product/style]",H&M,Cotton 100%,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
Regular Fit Crew-neck T-shirt,Crew-neck T-shirt in soft cotton jersey.,6.99,Dark blue,men,"//lp2.hm.com/hmgoepprod?set=source[/74/e7/74e727a2840be2e6f0a682425d0ca46e7930016b.jpg],origin[dam],category[men_tshirtstanks_shortsleeve],type[DESCRIPTIVESTILLLIFE],res[m],hmver[2]&call=url[file:/product/style]",H&M,Cotton 100%,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
Relaxed Fit T-shirt,"Relaxed-fit, crew-neck T-shirt in soft cotton jersey with a printed design.",12.99,Beige white orange,men,"//lp2.hm.com/hmgoepprod?set=source[/cb/43/cb43088d9ac13127e09d9724676162e68d44b898.jpg],origin[dam],category[],type[DESCRIPTIVESTILLLIFE],res[m],hmver[2]&call=url[file:/product/style]",H&M,Cotton 100%,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
3-pack Slim Fit T-shirts,Crew-neck T-shirts in soft jersey.,24.99,Burgundy navy blue gray melange,men,"//lp2.hm.com/hmgoepprod?set=source[/43/0a/430a347ebf03bbf8051d2234f7d3d52bb1ecabdd.jpg],origin[dam],category[],type[DESCRIPTIVESTILLLIFE],res[m],hmver[2]&call=url[file:/product/style]",H&M,"Cotton 95%, Elastane 5%",0.05,0.0,0.0,0.0,0.0,0.95,0.0,0.0,0.0,0.0
Regular Fit T-shirt,T-shirt in soft cotton jersey with a printed design. Ribbed crew neck.,17.99,Black pink light blue green,men,"//lp2.hm.com/hmgoepprod?set=source[/26/cf/26cff9aaca36a70d857d662de7f29bbd5ea88d8c.jpg],origin[dam],category[men_tshirtstanks_shortsleeve],type[DESCRIPTIVESTILLLIFE],res[m],hmver[2]&call=url[file:/product/style]",H&M,Cotton 100%,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
Long Fit T-shirt,"Long, crew-neck T-shirt in soft jersey with a rounded hem.",9.99,Burgundy,men,"//lp2.hm.com/hmgoepprod?set=source[/f4/4e/f44e6ad74e2f6822a66a0b8172961031264f4a99.jpg],origin[dam],category[],type[DESCRIPTIVESTILLLIFE],res[m],hmver[2]&call=url[file:/product/style]",H&M,Cotton 100%,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
Raw-edge T-shirt,"T-shirt in soft cotton slub jersey. Slightly wider neckline, seam at center back, and slightly longer, rounded back section. Raw, rolled edges at neckline and cuffs.",12.99,Black,men,"//lp2.hm.com/hmgoepprod?set=source[/85/9f/859fd6f4e230b9bfe68d8ec8a0ce5bb197bf5e1c.jpg],origin[dam],category[men_tshirtstanks_shortsleeve],type[DESCRIPTIVESTILLLIFE],res[m],hmver[2]&call=url[file:/product/style]",H&M,Cotton 100%,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
3-pack Slim Fit T-shirts,V-neck T-shirts in soft jersey.,24.99,White,men,"//lp2.hm.com/hmgoepprod?set=source[/f7/ff/f7ff228cbc644354f90d7a91548f20d8cfd8ac55.jpg],origin[dam],category[men_tshirtstanks_shortsleeve],type[DESCRIPTIVESTILLLIFE],res[m],hmver[2]&call=url[file:/product/style]",H&M,"Cotton 95%, Elastane 5%",0.05,0.0,0.0,0.0,0.0,0.95,0.0,0.0,0.0,0.0
Relaxed Fit Cotton T-shirt,Relaxed-fit T-shirt in soft cotton jersey. Ribbed crew neck and dropped shoulders.,24.99,Black white,men,"//lp2.hm.com/hmgoepprod?set=source[/f8/77/f877ad16fd3e9a9282e10e7c22436e90a87895dd.jpg],origin[dam],category[],type[DESCRIPTIVESTILLLIFE],res[m],hmver[2]&call=url[file:/product/style]",H&M,Cotton 100%,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
3-pack Slim Fit T-shirts,V-neck T-shirts in soft jersey.,24.99,Black,men,"//lp2.hm.com/hmgoepprod?set=source[/7f/2f/7f2f8789b07c1d4a054e08c7641a91caf9a8cd15.jpg],origin[dam],category[men_tshirtstanks_shortsleeve],type[DESCRIPTIVESTILLLIFE],res[m],hmver[1]&call=url[file:/product/style]",H&M,"Cotton 95%, Elastane 5%",0.05,0.0,0.0,0.0,0.0,0.95,0.0,0.0,0.0,0.0
Regular Fit T-shirt,T-shirt in soft cotton jersey with a printed design. Ribbed crew neck.,17.99,Black white red blue,men,"//lp2.hm.com/hmgoepprod?set=source[/8d/6f/8d6fffd5ea969fc5d42b31bb0a42a3dce3db538d.jpg],origin[dam],category[men_tshirtstanks_shortsleeve],type[DESCRIPTIVESTILLLIFE],res[m],hmver[2]&call=url[file:/product/style]",H&M,Cotton 100%,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
Premium Cotton T-shirt,Crew-neck T-shirt in premium cotton jersey.,17.99,Light beige melange,men,"//lp2.hm.com/hmgoepprod?set=source[/bd/42/bd424d1fb63d131275337f0889e853d3a08ec40e.jpg],origin[dam],category[men_tshirtstanks_shortsleeve],type[DESCRIPTIVESTILLLIFE],res[m],hmver[2]&call=url[file:/product/style]",H&M,Cotton 100%,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
Relaxed Fit T-shirt,Crew-neck T-shirt in thick cotton jersey.,12.99,Black,men,"//lp2.hm.com/hmgoepprod?set=source[/1e/86/1e86c77fb86afc19daad9acb5b39470e7bc5ca1f.jpg],origin[dam],category[men_tshirtstanks_shortsleeve],type[DESCRIPTIVESTILLLIFE],res[m],hmver[2]&call=url[file:/product/style]",H&M,Cotton 100%,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
Regular Fit Crew-neck T-shirt,Crew-neck T-shirt in soft cotton jersey.,6.99,Gray melange,men,"//lp2.hm.com/hmgoepprod?set=source[/2d/e7/2de7cd103b2745071f0d2d20ab9cd610a5a478a7.jpg],origin[dam],category[men_tshirtstanks_shortsleeve],type[DESCRIPTIVESTILLLIFE],res[m],hmver[2]&call=url[file:/product/style]",H&M,"Cotton 95%, Viscose 5%",0.0,0.0,0.0,0.0,0.0,0.95,0.05,0.0,0.0,0.0
Printed T-shirt,T-shirt in soft cotton jersey with a printed graphic design and crew neck.,7.99,White black light purple light green,men,"//lp2.hm.com/hmgoepprod?set=source[/7a/1a/7a1a1b2eab29d6c358db790c46faa3cf590a5928.jpg],origin[dam],category[],type[DESCRIPTIVESTILLLIFE],res[m],hmver[2]&call=url[file:/product/style]",H&M,Cotton 100%,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
Regular Fit Crew-neck T-shirt,Crew-neck T-shirt in soft cotton jersey.,6.99,Light khaki green,men,"//lp2.hm.com/hmgoepprod?set=source[/e0/2c/e02cf212ec734a65a22c9429e64cd6e0291a343e.jpg],origin[dam],category[men_tshirtstanks_shortsleeve],type[DESCRIPTIVESTILLLIFE],res[m],hmver[2]&call=url[file:/product/style]",H&M,Cotton 100%,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
Raw-edge T-shirt,"T-shirt in soft cotton slub jersey. Slightly wider neckline, seam at center back, and slightly longer, rounded back section. Raw, rolled edges at neckline and cuffs.",12.99,White,men,"//lp2.hm.com/hmgoepprod?set=source[/9c/fa/9cfa6e7976d9471783681fb920702038de692305.jpg],origin[dam],category[men_tshirtstanks_shortsleeve],type[DESCRIPTIVESTILLLIFE],res[m],hmver[2]&call=url[file:/product/style]",H&M,Cotton 100%,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
Printed T-shirt,T-shirt in soft cotton jersey with a printed graphic design and crew neck.,7.99,Light turquoise light pink white,men,"//lp2.hm.com/hmgoepprod?set=source[/76/ff/76ffcd0b81e966b36bd0c70435b439a59b918ef4.jpg],origin[dam],category[],type[DESCRIPTIVESTILLLIFE],res[m],hmver[2]&call=url[file:/product/style]",H&M,Cotton 100%,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
Printed T-shirt,T-shirt in soft cotton jersey with a printed graphic design and crew neck.,7.99,Beige black,men,"//lp2.hm.com/hmgoepprod?set=source[/fc/ab/fcab15ef79efde652db3f5951a2dd575c7b7ba0b.jpg],origin[dam],category[men_tshirtstanks_shortsleeve],type[DESCRIPTIVESTILLLIFE],res[m],hmver[2]&call=url[file:/product/style]",H&M,Cotton 100%,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
Premium Cotton T-shirt,Crew-neck T-shirt in premium cotton jersey.,17.99,Dark burgundy,men,"//lp2.hm.com/hmgoepprod?set=source[/73/cd/73cdfe1a7db8961f3221531e55b2f5bd8d7a6aa7.jpg],origin[dam],category[men_tshirtstanks_shortsleeve],type[DESCRIPTIVESTILLLIFE],res[m],hmver[2]&call=url[file:/product/style]",H&M,Cotton 100%,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
3-pack Regular Fit T-shirts,Crew-neck T-shirts in soft cotton jersey.,17.99,White,men,"//lp2.hm.com/hmgoepprod?set=source[/51/19/51198a3b3a436357fbfbfeff3f2ab10d2dd5e8ba.jpg],origin[dam],category[],type[DESCRIPTIVESTILLLIFE],res[m],hmver[2]&call=url[file:/product/style]",H&M,Cotton 100%,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
Raw-edge T-shirt,"T-shirt in soft cotton slub jersey. Slightly wider neckline, seam at center back, and slightly longer, rounded back section. Raw, rolled edges at neckline and cuffs.",12.99,Light beige,men,"//lp2.hm.com/hmgoepprod?set=source[/1d/5e/1d5ef7b08352db01eada54f57b574cdd166fbf9d.jpg],origin[dam],category[men_tshirtstanks_shortsleeve],type[DESCRIPTIVESTILLLIFE],res[m],hmver[2]&call=url[file:/product/style]",H&M,Cotton 100%,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
Relaxed Fit T-shirt,Crew-neck T-shirt in thick cotton jersey.,12.99,White,men,"//lp2.hm.com/hmgoepprod?set=source[/12/b8/12b8faac8f7d972cf600af171d43604d26b2a5cf.jpg],origin[dam],category[men_tshirtstanks_shortsleeve],type[DESCRIPTIVESTILLLIFE],res[m],hmver[2]&call=url[file:/product/style]",H&M,Cotton 100%,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
Cotton Polo Shirt,"Polo shirt in cotton piqué. Ribbed collar, button placket, and short sleeves with ribbed cuffs. Slits at sides.",12.99,Black,men,"//lp2.hm.com/hmgoepprod?set=source[/6b/e0/6be0e247f46577be390ff5db8a39537c495a9457.jpg],origin[dam],category[men_tshirtstanks_shortsleeve],type[DESCRIPTIVESTILLLIFE],res[m],hmver[2]&call=url[file:/product/style]",H&M,Cotton 100%,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
3-pack Slim Fit T-shirts,V-neck T-shirts in soft jersey.,24.99,Gray dark gray black,men,"//lp2.hm.com/hmgoepprod?set=source[/92/90/9290b7eb16e58bcd066786fc73bab5bd452c3525.jpg],origin[dam],category[men_tshirtstanks_shortsleeve],type[DESCRIPTIVESTILLLIFE],res[m],hmver[2]&call=url[file:/product/style]",H&M,"Cotton 95%, Elastane 5%",0.05,0.0,0.0,0.0,0.0,0.95,0.0,0.0,0.0,0.0
Cotton T-shirt,"Blank staples is a streetwear collection of minimalistic pieces – the perfect canvas for your personal style and creativity. This contemporary T-shirt is made from heavy, 7 oz/yd2 organic cotton jersey for a premium handfeel. Straight-cut, oversized, and relaxed fit with a ribbed crew neck and dropped shoulders.",17.99,Light gray melange,men,"//lp2.hm.com/hmgoepprod?set=source[/60/d0/60d034acf12afa1a52d448db84b6998b1cf9c884.jpg],origin[dam],category[men_tshirtstanks_shortsleeve],type[DESCRIPTIVESTILLLIFE],res[m],hmver[2]&call=url[file:/product/style]",H&M,"Cotton 98%, Viscose 2%",0.0,0.0,0.0,0.0,0.0,0.98,0.02,0.0,0.0,0.0
5-pack Slim Fit T-shirts,V-neck T-shirts in cotton jersey. Slim Fit.,34.99,Black white dark gray light beige khaki green,men,"//lp2.hm.com/hmgoepprod?set=source[/9e/4b/9e4bc1b7528fca955937bf09177e62da171ab0b4.jpg],origin[dam],category[],type[DESCRIPTIVESTILLLIFE],res[m],hmver[2]&call=url[file:/product/style]",H&M,"Cotton 95%, Elastane 5%",0.05,0.0,0.0,0.0,0.0,0.95,0.0,0.0,0.0,0.0
Regular Fit T-shirt,Crew-neck T-shirt in soft cotton jersey with a printed motif.,5.99,Black white,men,"//lp2.hm.com/hmgoepprod?set=source[/ed/d5/edd5fd5edb1ed0d83bbc1eebb25f4a9b5cdbf44f.jpg],origin[dam],category[],type[DESCRIPTIVESTILLLIFE],res[m],hmver[2]&call=url[file:/product/style]",H&M,Cotton 100%,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
Regular Fit Crew-neck T-shirt,Crew-neck T-shirt in soft cotton jersey.,6.99,Light gray,men,"//lp2.hm.com/hmgoepprod?set=source[/d4/df/d4df31d137dae12ea4ec0e54f4ce5e05b7af4046.jpg],origin[dam],category[men_tshirtstanks_shortsleeve],type[DESCRIPTIVESTILLLIFE],res[m],hmver[1]&call=url[file:/product/style]",H&M,Cotton 100%,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
3-pack Slim Fit T-shirts,V-neck T-shirts in soft jersey.,24.99,Khaki green dark blue white,men,"//lp2.hm.com/hmgoepprod?set=source[/f2/8f/f28fb636ff77ef11e09928c48a62d657b7d8e430.jpg],origin[dam],category[],type[DESCRIPTIVESTILLLIFE],res[m],hmver[2]&call=url[file:/product/style]",H&M,"Cotton 95%, Elastane 5%",0.05,0.0,0.0,0.0,0.0,0.95,0.0,0.0,0.0,0.0
Premium Cotton T-shirt,Crew-neck T-shirt in premium cotton jersey.,17.99,Dark taupe,men,"//lp2.hm.com/hmgoepprod?set=source[/8d/ec/8dec5adae04a37ea8cff878a5ce470bbdb9a247e.jpg],origin[dam],category[men_tshirtstanks_shortsleeve],type[DESCRIPTIVESTILLLIFE],res[m],hmver[2]&call=url[file:/product/style]",H&M,Cotton 100%,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
Jersey Polo Shirt,"Short-sleeved polo shirt in soft cotton jersey. Collar, opening at top without buttons, and slits at sides of hem.",12.99,Rust red,men,"//lp2.hm.com/hmgoepprod?set=source[/cf/e1/cfe104e9a5a52f7306974c0d9a3938c1929dfa2c.jpg],origin[dam],category[],type[DESCRIPTIVESTILLLIFE],res[m],hmver[2]&call=url[file:/product/style]",H&M,Cotton 100%,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
Regular Fit T-shirt,Crew-neck T-shirt in soft cotton jersey with a printed motif.,5.99,White black,men,"//lp2.hm.com/hmgoepprod?set=source[/6b/da/6bda84a71605ee62d55bf7f98ce5d5de4777198d.jpg],origin[dam],category[],type[DESCRIPTIVESTILLLIFE],res[m],hmver[3]&call=url[file:/product/style]",H&M,Cotton 100%,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
Relaxed Fit T-shirt,Crew-neck T-shirt in thick cotton jersey.,12.99,Gray,men,"//lp2.hm.com/hmgoepprod?set=source[/65/8e/658e306c9cf272b6814bb8bee3385e7a85978fb7.jpg],origin[dam],category[men_tshirtstanks_shortsleeve],type[DESCRIPTIVESTILLLIFE],res[m],hmver[2]&call=url[file:/product/style]",H&M,Cotton 100%,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
Loose Fit Sports Shirt,"Short-sleeved, crew-neck shirt in fast-drying, functional fabric to help keep you dry and cool while exercising. Taped details. Rounded hem, longer at back for improved fit and increased freedom of movement.",17.99,White,men,"//lp2.hm.com/hmgoepprod?set=source[/b3/98/b398771cb95e8877b732ec70de3cf5e4baa6a663.jpg],origin[dam],category[men_sport_tops],type[DESCRIPTIVESTILLLIFE],res[m],hmver[2]&call=url[file:/product/style]",H&M,"Polyester 86%, Elastane 14%",0.14,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.86
Regular Fit T-shirt,T-shirt in soft cotton jersey with a printed design. Ribbed crew neck.,17.99,Black red blue white,men,"//lp2.hm.com/hmgoepprod?set=source[/bc/50/bc5005c24dfee6405852883ba0203424445290a1.jpg],origin[dam],category[],type[DESCRIPTIVESTILLLIFE],res[m],hmver[2]&call=url[file:/product/style]",H&M,Cotton 100%,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
Slim Fit V-neck T-shirt,V-neck T-shirt in soft cotton jersey.,9.99,Black,men,"//lp2.hm.com/hmgoepprod?set=source[/08/ba/08ba5cdc2035365380ed660b024af1be036d6d82.jpg],origin[dam],category[men_tshirtstanks_bestbasics],type[DESCRIPTIVESTILLLIFE],res[m],hmver[2]&call=url[file:/product/style]",H&M,"Cotton 95%, Elastane 5%",0.05,0.0,0.0,0.0,0.0,0.95,0.0,0.0,0.0,0.0
Premium Cotton T-shirt,Crew-neck T-shirt in premium cotton jersey.,17.99,Dark blue,men,"//lp2.hm.com/hmgoepprod?set=source[/76/8a/768a27ecacdaa4a19c0700d407dc5e7cce4b0a0d.jpg],origin[dam],category[men_tshirtstanks_shortsleeve],type[DESCRIPTIVESTILLLIFE],res[m],hmver[2]&call=url[file:/product/style]",H&M,Cotton 100%,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
