SN,title,color,imageUrl,price_euro,price_usd,material,gender,brand,kapok,vibrose,linen,rayon,nylon,spandex,acrylic,polyester,cupro,modal,lyocell,cotton
17,FICHTELFORNIA T-SHIRT LADIES DARK GREEN,dark green,https://www.bleed-clothing.com/media/product/c93/fichtelfornia-t-shirt-ladies-dark-green-f19.jpg,34.9,39.79,100% Organic Cotton,women,bleed,0,0,0,0,0,0,0,0,0,0,0,1
18,ROAD B303 T-SHIRT BLACK,black,https://www.bleed-clothing.com/media/product/836/road-b303-t-shirt-black-a07.jpg,34.9,39.79,100% Organic Cotton,women,bleed,0,0,0,0,0,0,0,0,0,0,0,1
19,NATURAL GROWN FLOWER T-SHIRT LADIES WHITE | MINT,white-mint,https://www.bleed-clothing.com/media/product/f7a/natural-grown-flower-t-shirt-ladies-white-mint-236.jpg,30.32,34.56,100% Organic Cotton,women,bleed,0,0,0,0,0,0,0,0,0,0,0,1
20,NATURAL GROWN T-SHIRT LADIES HEMP OFFWHITE,off white,https://www.bleed-clothing.com/media/product/f4b/natural-grown-t-shirt-ladies-hemp-offwhite-aad.jpg,44.9,51.19,15% Hemp 85% Organic Cotton,women,bleed,0,0,0.15,0,0,0,0,0,0,0,0,0.85
21,SKULLFLOWER T-SHIRT LADIES WHITE,white,https://www.bleed-clothing.com/media/product/55c/skullflower-t-shirt-ladies-white-8ef.jpg,34.9,39.79,100% Organic Cotton,women,bleed,0,0,0,0,0,0,0,0,0,0,0,1
22,LIZARDSKIN LYOCELL (TENCEL?) T-SHIRT LADIES BLUE,blue,https://www.bleed-clothing.com/media/product/847/lizardskin-lyocell-tenceltm-t-shirt-ladies-blue-b62.jpg,44.9,51.19,100% Lyocell (TENCEL?),women,bleed,0,0,0,0,0,0,0,0,0,0,1,0
23,BLOODYPINEAPPLE T-SHIRT LADIES RED,red,https://www.bleed-clothing.com/media/product/c15/bloodypineapple-t-shirt-ladies-red-0c2.jpg,36.9,42.07,100% Organic Cotton,women,bleed,0,0,0,0,0,0,0,0,0,0,0,1
24,BLOODYPINEAPPLE T-SHIRT LADIES NAVY,blue,https://www.bleed-clothing.com/media/product/6b7/bloodypineapple-t-shirt-ladies-navy-ed5.jpg,36.9,42.07,100% Organic Cotton,women,bleed,0,0,0,0,0,0,0,0,0,0,0,1
25,BLEED X PETA HUMANE MEAT LADIES T-SHIRT ANTHRACITE FLAM?,black,https://www.bleed-clothing.com/media/product/1a8/bleed-x-peta-humane-meat-ladies-t-shirt-anthracite-flame-5d3.jpg,34.9,39.79,100% Organic Cotton,women,bleed,0,0,0,0,0,0,0,0,0,0,0,1
26,STRANGESTFOREST T-SHIRT BLACK,black,https://www.bleed-clothing.com/media/product/8ff/strangestforest-t-shirt-black-295.jpg,34.9,39.79,"60% Organic Cotton, 40% Recycled Cotton",men,bleed,0,0,0,0,0,0,0,0,0,0,0,1
27,SEIDLA T-SHIRT BLUE,blue,https://www.bleed-clothing.com/media/product/8e5/seidla-t-shirt-blue-231.jpg,34.9,39.79,"60% Organic Cotton, 40% Recycled Cotton",men,bleed,0,0,0,0,0,0,0,0,0,0,0,1
28,FICHTELFORNIA T-SHIRT OLIVE,olive,https://www.bleed-clothing.com/media/product/680/fichtelfornia-t-shirt-olive-ef2.jpg,34.9,39.79,"60% Organic Cotton, 40% Recycled Cotton",men,bleed,0,0,0,0,0,0,0,0,0,0,0,1
29,UPPERFRANCONIA T-SHIRT BLUE,blue,https://www.bleed-clothing.com/media/product/cd8/upperfranconia-t-shirt-blue-f6d.jpg,34.9,39.79,"60% Organic Cotton, 40% Recycled Cotton",men,bleed,0,0,0,0,0,0,0,0,0,0,0,1
30,BLOCK STRIPE HEMP T-SHIRT,blue | offwhite | ochre,https://www.bleed-clothing.com/media/product/57c/block-stripe-hemp-t-shirt-e62.jpg,44.9,51.19,15% Hemp 85% Organic Cotton,men,bleed,0,0,0.15,0,0,0,0,0,0,0,0,0.85
31,WOOD LOGO T-SHIRT OLIVE,olive,https://www.bleed-clothing.com/media/product/dc6/wood-logo-t-shirt-olive-926.jpg,39.9,45.49,100% Organic Cotton,men,bleed,0,0,0,0,0,0,0,0,0,0,0,1
32,SUPER ACTIVE LENZING? ECOVERO? T-SHIRT BLUE,blue,https://www.bleed-clothing.com/media/product/b47/super-active-lenzingtm-ecoverotm-t-shirt-blue-54a.jpg,49.9,56.89,100% Viskose,men,bleed,0,1,0,0,0,0,0,0,0,0,0,0
33,365 T-SHIRT KAPOK WHITE,white,https://www.bleed-clothing.com/media/product/497/365-t-shirt-kapok-white-3e1.jpg,36.9,42.07,"15% Kapok, 85% Organic Cotton",men,bleed,0.15,0,0,0,0,0,0,0,0,0,0,0.85
34,365 T-SHIRT MODAL (TENCEL?) GREY,grey,https://www.bleed-clothing.com/media/product/c02/365-t-shirt-modal-tenceltm-grey-66f.jpg,36.9,42.07,"25% Modal (TENCEL?), 75% Organic Cotton",men,bleed,0,0,0,0,0,0,0,0,0,0.25,0,0.75
35,365 T-SHIRT BLACK FLAM?,black,https://www.bleed-clothing.com/media/product/0a6/365-t-shirt-black-flame-933.jpg,36.9,42.07,100% Organic Cotton,men,bleed,0,0,0,0,0,0,0,0,0,0,0,1
36,POCKET FORESTFIBRE T-SHIRT BLUE,blue,https://www.bleed-clothing.com/media/product/33a/pocket-forestfibre-t-shirt-blue-cef.jpg,37.4,42.64,"50% Modal (TENCEL?), 50% Organic Cotton",men,bleed,0,0,0,0,0,0,0,0,0,0.5,0,0.5
37,POCKET FORESTFIBRE T-SHIRT YELLOW,yellow,https://www.bleed-clothing.com/media/product/c0c/pocket-forestfibre-t-shirt-yellow-524.jpg,37.4,42.64,"50% Modal (TENCEL?), 50% Organic Cotton",men,bleed,0,0,0,0,0,0,0,0,0,0.5,0,0.5
38,PAISLEY ALLOVER T-SHIRT BLUE,blue,https://www.bleed-clothing.com/media/product/0f6/paisley-allover-t-shirt-blue-2d8.jpg,29.9,34.09,100% Organic Cotton,men,bleed,0,0,0,0,0,0,0,0,0,0,0,1
39,PAISLEY LOGO T-SHIRT BLUE,blue,https://www.bleed-clothing.com/media/product/c10/paisley-logo-t-shirt-blue-a27.jpg,29.9,34.09,100% Organic Cotton,men,bleed,0,0,0,0,0,0,0,0,0,0,0,1
40,PAISLEY LOGO T-SHIRT OFFWHITE,white,https://www.bleed-clothing.com/media/product/537/paisley-logo-t-shirt-offwhite-288.jpg,29.9,34.09,100% Organic Cotton,men,bleed,0,0,0,0,0,0,0,0,0,0,0,1
41,STRIPED LINEN T-SHIRT SAND,sand,https://www.bleed-clothing.com/media/product/876/striped-linen-t-shirt-sand-cda.jpg,37.4,42.64,"50% Linen, 50% Organic Cotton",men,bleed,0,0,0.5,0,0,0,0,0,0,0,0,0.5
42,FLAGTREE T-SHIRT BLUE,blue,https://www.bleed-clothing.com/media/product/572/flagtree-t-shirt-blue-85a.jpg,34.9,39.79,100% Organic Cotton,men,bleed,0,0,0,0,0,0,0,0,0,0,0,1
43,UPPERFRANCONIA T-SHIRT WHITE,white,https://www.bleed-clothing.com/media/product/7ba/upperfranconia-t-shirt-white-2e6.jpg,34.9,39.79,100% Organic Cotton,men,bleed,0,0,0,0,0,0,0,0,0,0,0,1
44,FICHTELFORNIA T-SHIRT DARK GREEN,dark green,https://www.bleed-clothing.com/media/product/ba7/fichtelfornia-t-shirt-dark-green-7d6.jpg,34.9,39.79,100% Organic Cotton,men,bleed,0,0,0,0,0,0,0,0,0,0,0,1
45,HOMEGROWN FICHTEL T-SHIRT GREY MELANGE,grey melange,https://www.bleed-clothing.com/media/product/a7f/homegrown-fichtel-t-shirt-grey-melange-1e0.jpg,34.9,39.79,100% Organic Cotton,men,bleed,0,0,0,0,0,0,0,0,0,0,0,1
46,ROAD B303 T-SHIRT BLACK,black flam¨¦,https://www.bleed-clothing.com/media/product/dc7/road-b303-t-shirt-black-7df.jpg,34.9,39.79,100% Organic Cotton,men,bleed,0,0,0,0,0,0,0,0,0,0,0,1
47,NATURAL GROWN T-SHIRT OLD ROSE,dirty rose,https://www.bleed-clothing.com/media/product/da3/natural-grown-t-shirt-old-rose-964.jpg,39.9,45.49,100% Organic Cotton,men,bleed,0,0,0,0,0,0,0,0,0,0,0,1
48,POCKET V-NECK T-SHIRT FORESTFIBRE DARK GREEN,dark green,https://www.bleed-clothing.com/media/product/8a8/pocket-v-neck-t-shirt-forestfibre-dark-green-0e2.jpg,37.92,43.23,"50% Modal (TENCEL?), 50% Organic Cotton",men,bleed,0,0,0,0,0,0,0,0,0,0.5,0,0.5
49,DOT LOGO T-SHIRT FORESTFIBRE DARK GREEN,dark green,https://www.bleed-clothing.com/media/product/41b/dot-logo-t-shirt-forestfibre-dark-green-94d.jpg,37.92,43.23,"50% Modal (TENCEL?), 50% Organic Cotton",men,bleed,0,0,0,0,0,0,0,0,0,0.5,0,0.5
50,HOMEWAII T-SHIRT GREY,grey,https://www.bleed-clothing.com/media/product/e19/homewaii-t-shirt-grey-672.jpg,30.32,34.56,100% Organic Cotton,men,bleed,0,0,0,0,0,0,0,0,0,0,0,1
51,ZZ-JACQUARD T-SHIRT,grey patterned,https://www.bleed-clothing.com/media/product/ee0/zz-jacquard-t-shirt-692.jpg,44.9,51.19,100% Organic Cotton,men,bleed,0,0,0,0,0,0,0,0,0,0,0,1
52,DOT LOGO T-SHIRT GREEN,green,https://www.bleed-clothing.com/media/product/3d8/dot-logo-t-shirt-green-ea1.jpg,36.9,42.07,100% Organic Cotton,men,bleed,0,0,0,0,0,0,0,0,0,0,0,1
53,BLEED X PETA HUMANE MEAT T-SHIRT ANTHRACITE FLAM?,anthracite flam¨¦,https://www.bleed-clothing.com/media/product/a21/bleed-x-peta-humane-meat-t-shirt-anthracite-flame-99c.jpg,34.9,39.79,100% Organic Cotton,men,bleed,0,0,0,0,0,0,0,0,0,0,0,1
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
