,title,color,imageUrl,price,gender,brand,description,composition,cotton
0,Organic Cotton V Neck Tee,black,https://cdn.shopify.com/s/files/1/0518/6281/products/964JBLK-6_900x.jpg?v=1629743839,48,women,Mate,Machine wash cold with like colors; Tumble dry low; Do not bleach,100% Organic Cotton Jersey,1
17,Organic Cotton Classic Tee,jet black,https://cdn.shopify.com/s/files/1/0518/6281/products/764JBLK-4_3f6a24a6-aa8f-4818-95af-cb97d911a5bc_900x.jpg?v=1629239758,48,women,Mate,Machine wash cold with like colors; Tumble dry low; Do not bleach,100% Organic Cotton Jersey,1
18,Organic Cotton Classic Tee,rose,https://cdn.shopify.com/s/files/1/0518/6281/products/210713_BC_MTL_ESSENTIALS_RESHOOT_LOOK_22_0017_900x.jpg?v=1629487677,48,women,Mate,Machine wash cold with like colors; Tumble dry low; Do not bleach,100% Organic Cotton Jersey,1
19,Organic Cotton Classic Tee,sage,https://cdn.shopify.com/s/files/1/0518/6281/products/764SAG-1_900x.jpg?v=1629234603,48,women,Mate,Machine wash cold with like colors; Tumble dry low; Do not bleach,100% Organic Cotton Jersey,1
20,Organic Cotton Classic Tee,white,https://cdn.shopify.com/s/files/1/0518/6281/products/912TWHT-5_900x.jpg?v=1606947294,48,women,Mate,Machine wash cold with like colors; Tumble dry low; Do not bleach,100% Organic Cotton Jersey,1
21,Organic Cotton Crop Tee,bone,https://cdn.shopify.com/s/files/1/0518/6281/products/210526_MTL_PISTACHIO_LAVENDER_ECOMM_LOOK_24_0021_900x.jpg?v=1632367326,46,women,Mate,Machine wash cold with like colors; Tumble dry low; Do not bleach,100% Organic Cotton Jersey,1
22,Organic Cotton Crop Tee,jet black,https://cdn.shopify.com/s/files/1/0518/6281/products/210526_MTL_PISTACHIO_LAVENDER_ECOMM_LOOK_22_0017_1_900x.jpg?v=1623959370,46,women,Mate,Machine wash cold with like colors; Tumble dry low; Do not bleach,100% Organic Cotton Jersey,1
23,Organic Cotton Crop Tee,lavender,https://cdn.shopify.com/s/files/1/0518/6281/products/210526_MTL_PISTACHIO_LAVENDER_ECOMM_LOOK_05_0020_1_900x.jpg?v=1623959409,46,women,Mate,Machine wash cold with like colors; Tumble dry low; Do not bleach,100% Organic Cotton Jersey,1
24,Organic Cotton Crop Tee,pistachio,https://cdn.shopify.com/s/files/1/0518/6281/products/210526_MTL_PISTACHIO_LAVENDER_ECOMM_LOOK_14_0001_900x.jpg?v=1624650611,46,women,Mate,Machine wash cold with like colors; Tumble dry low; Do not bleach,100% Organic Cotton Jersey,1
25,Organic Cotton Crop Tee,white,https://cdn.shopify.com/s/files/1/0518/6281/products/210526_MTL_PISTACHIO_LAVENDER_ECOMM_LOOK_25_0035_900x.jpg?v=1623959486,46,women,Mate,Machine wash cold with like colors; Tumble dry low; Do not bleach,100% Organic Cotton Jersey,1
26,Organic Cotton Long Sleeve Crop Tee,white,https://cdn.shopify.com/s/files/1/0518/6281/products/3326_900x.jpg?v=1617899912,54,women,Mate,Machine wash cold with like colors; Tumble dry low; Do not bleach,100% Organic Cotton Jersey,1
27,Organic Cotton Long Sleeve Crop Tee,sage,https://cdn.shopify.com/s/files/1/0518/6281/products/902SAG-1_900x.jpg?v=1629743931,54,women,Mate,Machine wash cold with like colors; Tumble dry low; Do not bleach,100% Organic Cotton Jersey,1
28,Organic Cotton Long Sleeve Crop Tee,rose,https://cdn.shopify.com/s/files/1/0518/6281/products/210713_BC_MTL_ESSENTIALS_RESHOOT_LOOK_24_0012_900x.jpg?v=1629743930,54,women,Mate,Machine wash cold with like colors; Tumble dry low; Do not bleach,100% Organic Cotton Jersey,1
29,Organic Cotton Long Sleeve Crop Tee,jet black,https://cdn.shopify.com/s/files/1/0518/6281/products/902JBLK-1_900x.jpg?v=1629743926,54,women,Mate,Machine wash cold with like colors; Tumble dry low; Do not bleach,100% Organic Cotton Jersey,1
30,Organic Cotton Long Sleeve Crop Tee,charcoal,https://cdn.shopify.com/s/files/1/0518/6281/products/902CHAR-1_900x.jpg?v=1629743928,54,women,Mate,Machine wash cold with like colors; Tumble dry low; Do not bleach,100% Organic Cotton Jersey,1
31,Organic Cotton Long Sleeve Crop Tee,bone,https://cdn.shopify.com/s/files/1/0518/6281/products/902BON-1_900x.jpg?v=1629743923,54,women,Mate,Machine wash cold with like colors; Tumble dry low; Do not bleach,100% Organic Cotton Jersey,1
32,Organic Cotton Long Sleeve Crop Tee,amber,https://cdn.shopify.com/s/files/1/0518/6281/products/210802_BC_MTL_LOOK_19_AMBER_CROP_LONG_SLEEVE_TEE_0011_900x.jpg?v=1632533880,54,women,Mate,Machine wash cold with like colors; Tumble dry low; Do not bleach,100% Organic Cotton Jersey,1
33,Organic Cotton Raw Neck Boxy Tee,turmeric,https://cdn.shopify.com/s/files/1/0518/6281/products/3414_900x.jpg?v=1600119000,52,women,Mate,Machine wash cold with like colors; Tumble dry low; Do not bleach,100% Organic Cotton Jersey,1
34,Organic Cotton Raw Neck Boxy Tee,pistachio,https://cdn.shopify.com/s/files/1/0518/6281/products/210526_MTL_PISTACHIO_LAVENDER_ECOMM_LOOK_08_0072_1_900x.jpg?v=1629743895,52,women,Mate,Machine wash cold with like colors; Tumble dry low; Do not bleach,100% Organic Cotton Jersey,1
35,Organic Cotton Raw Neck Boxy Tee,lavender,https://cdn.shopify.com/s/files/1/0518/6281/products/210526_MTL_PISTACHIO_LAVENDER_ECOMM_LOOK_03_0010_2_900x.jpg?v=1629743894,52,women,Mate,Machine wash cold with like colors; Tumble dry low; Do not bleach,100% Organic Cotton Jersey,1
36,Organic Cotton Raw Neck Boxy Tee,bone,https://cdn.shopify.com/s/files/1/0518/6281/products/2_210928_MTL_ESSENTIALS_RESHOOT_LOOK_14_BONE_RAW_NECK_TEE_SHORT_023_900x.jpg?v=1643326282,52,women,Mate,Machine wash cold with like colors; Tumble dry low; Do not bleach,100% Organic Cotton Jersey,1
37,Organic Cotton Raw Neck Boxy Tee,charcoal,https://cdn.shopify.com/s/files/1/0518/6281/products/6th_210928_MTL_ESSENTIALS_RESHOOT_LOOK_07_CHARCOAL_RAW_NECK_TEE_FLEECE_SWEATPANT_023_900x.jpg?v=1643325037,52,women,Mate,Machine wash cold with like colors; Tumble dry low; Do not bleach,100% Organic Cotton Jersey,1
38,Organic Cotton Raw Neck Boxy Tee,jet black,https://cdn.shopify.com/s/files/1/0518/6281/products/912JBLK-2_900x.jpg?v=1598641753,52,women,Mate,Machine wash cold with like colors; Tumble dry low; Do not bleach,100% Organic Cotton Jersey,1
39,Organic Cotton Raw Neck Boxy Tee,rose,https://cdn.shopify.com/s/files/1/0518/6281/products/1st_210928_MTL_ESSENTIALS_RESHOOT_LOOK_13_ROSE_RAW_NECK_TEE_SHORT_056_900x.jpg?v=1643314241,52,women,Mate,Machine wash cold with like colors; Tumble dry low; Do not bleach,100% Organic Cotton Jersey,1
40,Organic Cotton Raw Neck Boxy Tee,sage,https://cdn.shopify.com/s/files/1/0518/6281/products/1st_210928_MTL_ESSENTIALS_RESHOOT_LOOK_12_SAGE_RAW_NECK_TEE_SHORT_073_900x.jpg?v=1643313827,52,women,Mate,Machine wash cold with like colors; Tumble dry low; Do not bleach,100% Organic Cotton Jersey,1
41,Organic Cotton Raw Neck Boxy Tee,white,https://cdn.shopify.com/s/files/1/0518/6281/products/912TWHT-2_900x.jpg?v=1606947179,52,women,Mate,Machine wash cold with like colors; Tumble dry low; Do not bleach,100% Organic Cotton Jersey,1
42,Tencel Long Sleeve Sleep Tee,sage,https://cdn.shopify.com/s/files/1/0518/6281/products/210608_BC_MTL_SLEEP_PDP_LOOK_15_008_5af425e1-8cc3-4a3e-89f5-e597c08edf98_900x.jpg?v=1632591634,58,women,Mate,Machine wash cold with like colors; Tumble dry low; Do not bleach,100% Organic Cotton Jersey,1
43,Tencel Long Sleeve Sleep Tee,white,https://cdn.shopify.com/s/files/1/0518/6281/products/210608_BC_MTL_SLEEP_PDP_LOOK_05_015_11cdf734-bd23-4b30-99f6-7e9b8a926146_900x.jpg?v=1632591853,58,women,Mate,Machine wash cold with like colors; Tumble dry low; Do not bleach,100% Organic Cotton Jersey,1
44,Tencel Long Sleeve Sleep Tee,rose,https://cdn.shopify.com/s/files/1/0518/6281/products/210608_BC_MTL_SLEEP_PDP_LOOK_12_001_900x.jpg?v=1632591761,58,women,Mate,Machine wash cold with like colors; Tumble dry low; Do not bleach,100% Organic Cotton Jersey,1
45,Tencel Long Sleeve Sleep Tee,charcoal,https://cdn.shopify.com/s/files/1/0518/6281/products/210608_BC_MTL_SLEEP_PDP_LOOK_01_099_48f61915-73c5-44a6-9c21-0760162ed687_900x.jpg?v=1631122818,58,women,Mate,Machine wash cold with like colors; Tumble dry low; Do not bleach,100% Organic Cotton Jersey,1
46,Tencel Long Sleeve Sleep Tee,cocoa,https://cdn.shopify.com/s/files/1/0518/6281/products/Matethelabel61f2fe79379d9361f2fe7937b87.3054842861f2fe7937b87_900x.jpg?v=1643344289,58,women,Mate,Machine wash cold with like colors; Tumble dry low; Do not bleach,100% Organic Cotton Jersey,1
47,Tencel Long Sleeve Sleep Tee,sedona,https://cdn.shopify.com/s/files/1/0518/6281/products/210608_BC_MTL_SLEEP_PDP_LOOK_10_065_900x.jpg?v=1632532834,58,women,Mate,Machine wash cold with like colors; Tumble dry low; Do not bleach,100% Organic Cotton Jersey,1
48,Organic Cotton Graphic Tee,white,https://cdn.shopify.com/s/files/1/0518/6281/products/3221_900x.jpg?v=1618521464,68,women,Mate,Machine wash cold with like colors; Tumble dry low; Do not bleach,100% Organic Cotton Jersey,1
