SN,title,description,features,price,color,gender,imageUrl,rating,reviews,brand,composition,rayon,nylon,spandex,acrylic,polyester,cupro,modal,lyocell,cotton
11,Women's Organic Long Sleeve Scoop Neck Tee,"A sustainable minimalist closet starts with go-to pieces like our Long Sleeve Scoop Neck Tee. Customers have been raving about it since its introduction in 2010. We worked hard to perfect the beautiful scoop neckline, finishing it with a fine rib trim that helps hold its shape. The cut has just enough gentle shaping through the body.","95% organic Pima cotton 5% spandex stretch jersey; The hint of spandex adds comfortable stretch and helps retain shape; Earth-friendly, certified safe dyes; Machine wash; 25.5-inch length (size Medium); Gently shaped fit; Fairly made in Lima, Peru; Mix + Match: Save 10% when you buy 2 or more organic cotton t-shirts",43.9,dusk,women,https://cdn.shopify.com/s/files/1/0028/2525/7027/products/BG_OF_02800_Dusk_190_FW21_B_900x.jpg?v=1636489097,4.7,93,fair indigo,95% organic Pima cotton 5% spandex,0,0,0.05,0,0,0,0,0,0.95
12,Women's Organic Long Sleeve Scoop Neck Tee,"A sustainable minimalist closet starts with go-to pieces like our Long Sleeve Scoop Neck Tee. Customers have been raving about it since its introduction in 2010. We worked hard to perfect the beautiful scoop neckline, finishing it with a fine rib trim that helps hold its shape. The cut has just enough gentle shaping through the body.","95% organic Pima cotton 5% spandex stretch jersey; The hint of spandex adds comfortable stretch and helps retain shape; Earth-friendly, certified safe dyes; Machine wash; 25.5-inch length (size Medium); Gently shaped fit; Fairly made in Lima, Peru; Mix + Match: Save 10% when you buy 2 or more organic cotton t-shirts",43.9,cranberry,women,https://cdn.shopify.com/s/files/1/0028/2525/7027/products/SL_02800_RE0007_900x.jpg?v=1632240094,4.7,93,fair indigo,95% organic Pima cotton 5% spandex,0,0,0.05,0,0,0,0,0,0.95
13,Women's Organic Long Sleeve Scoop Neck Tee,"A sustainable minimalist closet starts with go-to pieces like our Long Sleeve Scoop Neck Tee. Customers have been raving about it since its introduction in 2010. We worked hard to perfect the beautiful scoop neckline, finishing it with a fine rib trim that helps hold its shape. The cut has just enough gentle shaping through the body.","95% organic Pima cotton 5% spandex stretch jersey; The hint of spandex adds comfortable stretch and helps retain shape; Earth-friendly, certified safe dyes; Machine wash; 25.5-inch length (size Medium); Gently shaped fit; Fairly made in Lima, Peru; Mix + Match: Save 10% when you buy 2 or more organic cotton t-shirts",43.9,midnight navy,women,https://cdn.shopify.com/s/files/1/0028/2525/7027/products/BG_OF_02800_midnight_navy_900x.jpg?v=1632186147,4.7,93,fair indigo,95% organic Pima cotton 5% spandex,0,0,0.05,0,0,0,0,0,0.95
14,Women's Organic Long Sleeve Scoop Neck Tee,"A sustainable minimalist closet starts with go-to pieces like our Long Sleeve Scoop Neck Tee. Customers have been raving about it since its introduction in 2010. We worked hard to perfect the beautiful scoop neckline, finishing it with a fine rib trim that helps hold its shape. The cut has just enough gentle shaping through the body.","95% organic Pima cotton 5% spandex stretch jersey; The hint of spandex adds comfortable stretch and helps retain shape; Earth-friendly, certified safe dyes; Machine wash; 25.5-inch length (size Medium); Gently shaped fit; Fairly made in Lima, Peru; Mix + Match: Save 10% when you buy 2 or more organic cotton t-shirts",43.9,fatigue,women,https://cdn.shopify.com/s/files/1/0028/2525/7027/products/LD_02800_fatigue_900x.jpg?v=1601910641,4.7,93,fair indigo,95% organic Pima cotton 5% spandex,0,0,0.05,0,0,0,0,0,0.95
15,Women's Organic Long Sleeve Scoop Neck Tee,"A sustainable minimalist closet starts with go-to pieces like our Long Sleeve Scoop Neck Tee. Customers have been raving about it since its introduction in 2010. We worked hard to perfect the beautiful scoop neckline, finishing it with a fine rib trim that helps hold its shape. The cut has just enough gentle shaping through the body.","95% organic Pima cotton 5% spandex stretch jersey; The hint of spandex adds comfortable stretch and helps retain shape; Earth-friendly, certified safe dyes; Machine wash; 25.5-inch length (size Medium); Gently shaped fit; Fairly made in Lima, Peru; Mix + Match: Save 10% when you buy 2 or more organic cotton t-shirts",43.9,wine,women,https://cdn.shopify.com/s/files/1/0028/2525/7027/products/BG_OF_02800_Wine_216_FW21_900x.jpg?v=1632240036,4.7,93,fair indigo,95% organic Pima cotton 5% spandex,0,0,0.05,0,0,0,0,0,0.95
16,Women's Organic Long Sleeve Scoop Neck Tee,"A sustainable minimalist closet starts with go-to pieces like our Long Sleeve Scoop Neck Tee. Customers have been raving about it since its introduction in 2010. We worked hard to perfect the beautiful scoop neckline, finishing it with a fine rib trim that helps hold its shape. The cut has just enough gentle shaping through the body.","95% organic Pima cotton 5% spandex stretch jersey; The hint of spandex adds comfortable stretch and helps retain shape; Earth-friendly, certified safe dyes; Machine wash; 25.5-inch length (size Medium); Gently shaped fit; Fairly made in Lima, Peru; Mix + Match: Save 10% when you buy 2 or more organic cotton t-shirts",43.9,cobalt,women,https://cdn.shopify.com/s/files/1/0028/2525/7027/products/BG_OF_02800_cobalt_900x.jpg?v=1632186135,4.7,93,fair indigo,95% organic Pima cotton 5% spandex,0,0,0.05,0,0,0,0,0,0.95
17,Women's Organic Long Sleeve Scoop Neck Tee,"A sustainable minimalist closet starts with go-to pieces like our Long Sleeve Scoop Neck Tee. Customers have been raving about it since its introduction in 2010. We worked hard to perfect the beautiful scoop neckline, finishing it with a fine rib trim that helps hold its shape. The cut has just enough gentle shaping through the body.","95% organic Pima cotton 5% spandex stretch jersey; The hint of spandex adds comfortable stretch and helps retain shape; Earth-friendly, certified safe dyes; Machine wash; 25.5-inch length (size Medium); Gently shaped fit; Fairly made in Lima, Peru; Mix + Match: Save 10% when you buy 2 or more organic cotton t-shirts",43.9,pine,women,https://cdn.shopify.com/s/files/1/0028/2525/7027/products/BG_OF_02800_Pine_1074_FW21_S_900x.jpg?v=1632186158,4.7,93,fair indigo,95% organic Pima cotton 5% spandex,0,0,0.05,0,0,0,0,0,0.95
18,Women's Organic Long Sleeve Scoop Neck Tee,"A sustainable minimalist closet starts with go-to pieces like our Long Sleeve Scoop Neck Tee. Customers have been raving about it since its introduction in 2010. We worked hard to perfect the beautiful scoop neckline, finishing it with a fine rib trim that helps hold its shape. The cut has just enough gentle shaping through the body.","95% organic Pima cotton 5% spandex stretch jersey; The hint of spandex adds comfortable stretch and helps retain shape; Earth-friendly, certified safe dyes; Machine wash; 25.5-inch length (size Medium); Gently shaped fit; Fairly made in Lima, Peru; Mix + Match: Save 10% when you buy 2 or more organic cotton t-shirts",43.9,sea blue,women,https://cdn.shopify.com/s/files/1/0028/2525/7027/products/BG_OF_02800_sea_blue_900x.jpg?v=1613761218,4.7,93,fair indigo,95% organic Pima cotton 5% spandex,0,0,0.05,0,0,0,0,0,0.95
19,Women's Organic Long Sleeve Scoop Neck Tee,"A sustainable minimalist closet starts with go-to pieces like our Long Sleeve Scoop Neck Tee. Customers have been raving about it since its introduction in 2010. We worked hard to perfect the beautiful scoop neckline, finishing it with a fine rib trim that helps hold its shape. The cut has just enough gentle shaping through the body.","95% organic Pima cotton 5% spandex stretch jersey; The hint of spandex adds comfortable stretch and helps retain shape; Earth-friendly, certified safe dyes; Machine wash; 25.5-inch length (size Medium); Gently shaped fit; Fairly made in Lima, Peru; Mix + Match: Save 10% when you buy 2 or more organic cotton t-shirts",43.9,violet blue,women,https://cdn.shopify.com/s/files/1/0028/2525/7027/products/WH_LD_02800_violet_blue_900x.jpg?v=1632425440,4.7,93,fair indigo,95% organic Pima cotton 5% spandex,0,0,0.05,0,0,0,0,0,0.95
20,Women's Organic V-neck T-shirt,"Building a greener, cleaner closet starts with tees like this one. Refreshingly different from disposable Fast Fashion tees, our Essential V-neck Tee is made with substantial and incredibly soft organic Peruvian Pima cotton that will last through years, yes?years, of enthusiastic use. The v-neck is slightly rounded for a softer look and just the right depth.","95% organic Pima cotton 5% spandex stretch jersey; The hint of spandex adds comfortable stretch and helps retain shape; Earth-friendly, certified safe dyes; Machine wash; 25.5-inch length (size Medium); Gently shaped fit; Fairly made in Lima, Peru; Mix + Match: Save 10% when you buy 2 or more organic cotton t-shirts",38.9,black,women,https://cdn.shopify.com/s/files/1/0028/2525/7027/products/BG_OF_03974_Black_849_FW21_900x.jpg?v=1632588728,4.8,82,fair indigo,95% organic Pima cotton 5% spandex,0,0,0.05,0,0,0,0,0,0.95
21,Women's Organic V-neck T-shirt,"Building a greener, cleaner closet starts with tees like this one. Refreshingly different from disposable Fast Fashion tees, our Essential V-neck Tee is made with substantial and incredibly soft organic Peruvian Pima cotton that will last through years, yes?years, of enthusiastic use. The v-neck is slightly rounded for a softer look and just the right depth.","95% organic Pima cotton 5% spandex stretch jersey; The hint of spandex adds comfortable stretch and helps retain shape; Earth-friendly, certified safe dyes; Machine wash; 25.5-inch length (size Medium); Gently shaped fit; Fairly made in Lima, Peru; Mix + Match: Save 10% when you buy 2 or more organic cotton t-shirts",38.9,white,women,https://cdn.shopify.com/s/files/1/0028/2525/7027/products/Emmy-03974-White_900x.jpg?v=1632588728,4.8,82,fair indigo,95% organic Pima cotton 5% spandex,0,0,0.05,0,0,0,0,0,0.95
22,Women's Organic V-neck T-shirt,"Building a greener, cleaner closet starts with tees like this one. Refreshingly different from disposable Fast Fashion tees, our Essential V-neck Tee is made with substantial and incredibly soft organic Peruvian Pima cotton that will last through years, yes?years, of enthusiastic use. The v-neck is slightly rounded for a softer look and just the right depth.","95% organic Pima cotton 5% spandex stretch jersey; The hint of spandex adds comfortable stretch and helps retain shape; Earth-friendly, certified safe dyes; Machine wash; 25.5-inch length (size Medium); Gently shaped fit; Fairly made in Lima, Peru; Mix + Match: Save 10% when you buy 2 or more organic cotton t-shirts",38.9,wine,women,https://cdn.shopify.com/s/files/1/0028/2525/7027/products/BG_OF_03974_wine_900x.jpg?v=1632410689,4.8,82,fair indigo,95% organic Pima cotton 5% spandex,0,0,0.05,0,0,0,0,0,0.95
23,Women's Organic V-neck T-shirt,"Building a greener, cleaner closet starts with tees like this one. Refreshingly different from disposable Fast Fashion tees, our Essential V-neck Tee is made with substantial and incredibly soft organic Peruvian Pima cotton that will last through years, yes?years, of enthusiastic use. The v-neck is slightly rounded for a softer look and just the right depth.","95% organic Pima cotton 5% spandex stretch jersey; The hint of spandex adds comfortable stretch and helps retain shape; Earth-friendly, certified safe dyes; Machine wash; 25.5-inch length (size Medium); Gently shaped fit; Fairly made in Lima, Peru; Mix + Match: Save 10% when you buy 2 or more organic cotton t-shirts",38.9,dusk,women,https://cdn.shopify.com/s/files/1/0028/2525/7027/products/BG_OF_03974_Dusk_071_FW21_S_2400x_1f926d52-8b28-47b5-ad7e-cfaadc73c9eb_900x.jpg?v=1636490442,4.8,82,fair indigo,95% organic Pima cotton 5% spandex,0,0,0.05,0,0,0,0,0,0.95
24,Women's Organic V-neck T-shirt,"Building a greener, cleaner closet starts with tees like this one. Refreshingly different from disposable Fast Fashion tees, our Essential V-neck Tee is made with substantial and incredibly soft organic Peruvian Pima cotton that will last through years, yes?years, of enthusiastic use. The v-neck is slightly rounded for a softer look and just the right depth.","95% organic Pima cotton 5% spandex stretch jersey; The hint of spandex adds comfortable stretch and helps retain shape; Earth-friendly, certified safe dyes; Machine wash; 25.5-inch length (size Medium); Gently shaped fit; Fairly made in Lima, Peru; Mix + Match: Save 10% when you buy 2 or more organic cotton t-shirts",38.9,cobalt,women,https://cdn.shopify.com/s/files/1/0028/2525/7027/products/BG_OF_03974_Cobalt_900x.jpg?v=1632431500,4.8,82,fair indigo,95% organic Pima cotton 5% spandex,0,0,0.05,0,0,0,0,0,0.95
25,Women's Organic V-neck T-shirt,"Building a greener, cleaner closet starts with tees like this one. Refreshingly different from disposable Fast Fashion tees, our Essential V-neck Tee is made with substantial and incredibly soft organic Peruvian Pima cotton that will last through years, yes?years, of enthusiastic use. The v-neck is slightly rounded for a softer look and just the right depth.","95% organic Pima cotton 5% spandex stretch jersey; The hint of spandex adds comfortable stretch and helps retain shape; Earth-friendly, certified safe dyes; Machine wash; 25.5-inch length (size Medium); Gently shaped fit; Fairly made in Lima, Peru; Mix + Match: Save 10% when you buy 2 or more organic cotton t-shirts",38.9,violet blue,women,https://cdn.shopify.com/s/files/1/0028/2525/7027/products/BG_OF_03974_violet_blue_900x.jpg?v=1632588728,4.8,82,fair indigo,95% organic Pima cotton 5% spandex,0,0,0.05,0,0,0,0,0,0.95
26,Women's Organic V-neck T-shirt,"Building a greener, cleaner closet starts with tees like this one. Refreshingly different from disposable Fast Fashion tees, our Essential V-neck Tee is made with substantial and incredibly soft organic Peruvian Pima cotton that will last through years, yes?years, of enthusiastic use. The v-neck is slightly rounded for a softer look and just the right depth.","95% organic Pima cotton 5% spandex stretch jersey; The hint of spandex adds comfortable stretch and helps retain shape; Earth-friendly, certified safe dyes; Machine wash; 25.5-inch length (size Medium); Gently shaped fit; Fairly made in Lima, Peru; Mix + Match: Save 10% when you buy 2 or more organic cotton t-shirts",38.9,stone green,women,https://cdn.shopify.com/s/files/1/0028/2525/7027/products/WH_LD_03974_stone_green_900x.jpg?v=1632588639,4.8,82,fair indigo,95% organic Pima cotton 5% spandex,0,0,0.05,0,0,0,0,0,0.95
27,Women's Organic Long Sleeve Vneck T-shirt,"air Indigo's organic cotton tees are 'better than anything you can find at the mall, no matter the price.' So says Bethanne in her review of the Long Sleeve V-neck Tee. We respectfully agree (and thanks Bethanne!). While many brands are ditching quality to play in the Fast Fashion lane and chase lower prices, we continue to build our tees?up.","95% organic Pima cotton 5% spandex stretch jersey; The hint of spandex adds comfortable stretch and helps retain shape; Earth-friendly, certified safe dyes; Machine wash; 25.5-inch length (size Medium); Gently shaped fit; Fairly made in Lima, Peru; Mix + Match: Save 10% when you buy 2 or more organic cotton t-shirts",43.9,black,women,https://cdn.shopify.com/s/files/1/0028/2525/7027/products/BG_OF_03823_Black_252_FW21_900x.jpg?v=1630104801,4.7,80,fair indigo,95% organic Pima cotton 5% spandex,0,0,0.05,0,0,0,0,0,0.95
28,Women's Organic Long Sleeve Vneck T-shirt,"air Indigo's organic cotton tees are 'better than anything you can find at the mall, no matter the price.' So says Bethanne in her review of the Long Sleeve V-neck Tee. We respectfully agree (and thanks Bethanne!). While many brands are ditching quality to play in the Fast Fashion lane and chase lower prices, we continue to build our tees?up.","95% organic Pima cotton 5% spandex stretch jersey; The hint of spandex adds comfortable stretch and helps retain shape; Earth-friendly, certified safe dyes; Machine wash; 25.5-inch length (size Medium); Gently shaped fit; Fairly made in Lima, Peru; Mix + Match: Save 10% when you buy 2 or more organic cotton t-shirts",43.9,white,women,https://cdn.shopify.com/s/files/1/0028/2525/7027/products/BG_OF_03823_White_1041_FW21_900x.jpg?v=1630104800,4.7,80,fair indigo,95% organic Pima cotton 5% spandex,0,0,0.05,0,0,0,0,0,0.95
29,Women's Organic Long Sleeve Vneck T-shirt,"air Indigo's organic cotton tees are 'better than anything you can find at the mall, no matter the price.' So says Bethanne in her review of the Long Sleeve V-neck Tee. We respectfully agree (and thanks Bethanne!). While many brands are ditching quality to play in the Fast Fashion lane and chase lower prices, we continue to build our tees?up.","95% organic Pima cotton 5% spandex stretch jersey; The hint of spandex adds comfortable stretch and helps retain shape; Earth-friendly, certified safe dyes; Machine wash; 25.5-inch length (size Medium); Gently shaped fit; Fairly made in Lima, Peru; Mix + Match: Save 10% when you buy 2 or more organic cotton t-shirts",43.9,dusk,women,https://cdn.shopify.com/s/files/1/0028/2525/7027/products/BG_OF_03823_Dusk_304_FW21_B_900x.jpg?v=1636490715,4.7,80,fair indigo,95% organic Pima cotton 5% spandex,0,0,0.05,0,0,0,0,0,0.95
30,Women's Organic Long Sleeve Vneck T-shirt,"air Indigo's organic cotton tees are 'better than anything you can find at the mall, no matter the price.' So says Bethanne in her review of the Long Sleeve V-neck Tee. We respectfully agree (and thanks Bethanne!). While many brands are ditching quality to play in the Fast Fashion lane and chase lower prices, we continue to build our tees?up.","95% organic Pima cotton 5% spandex stretch jersey; The hint of spandex adds comfortable stretch and helps retain shape; Earth-friendly, certified safe dyes; Machine wash; 25.5-inch length (size Medium); Gently shaped fit; Fairly made in Lima, Peru; Mix + Match: Save 10% when you buy 2 or more organic cotton t-shirts",43.9,cobalt,women,https://cdn.shopify.com/s/files/1/0028/2525/7027/products/SL_03823_BL0048_900x.jpg?v=1632322573,4.7,80,fair indigo,95% organic Pima cotton 5% spandex,0,0,0.05,0,0,0,0,0,0.95
31,Women's Organic Long Sleeve Vneck T-shirt,"air Indigo's organic cotton tees are 'better than anything you can find at the mall, no matter the price.' So says Bethanne in her review of the Long Sleeve V-neck Tee. We respectfully agree (and thanks Bethanne!). While many brands are ditching quality to play in the Fast Fashion lane and chase lower prices, we continue to build our tees?up.","95% organic Pima cotton 5% spandex stretch jersey; The hint of spandex adds comfortable stretch and helps retain shape; Earth-friendly, certified safe dyes; Machine wash; 25.5-inch length (size Medium); Gently shaped fit; Fairly made in Lima, Peru; Mix + Match: Save 10% when you buy 2 or more organic cotton t-shirts",43.9,wine,women,https://cdn.shopify.com/s/files/1/0028/2525/7027/products/BG_OF_03823_wine_1_900x.jpg?v=1634913397,4.7,80,fair indigo,95% organic Pima cotton 5% spandex,0,0,0.05,0,0,0,0,0,0.95
32,Women's Organic Long Sleeve Vneck T-shirt,"air Indigo's organic cotton tees are 'better than anything you can find at the mall, no matter the price.' So says Bethanne in her review of the Long Sleeve V-neck Tee. We respectfully agree (and thanks Bethanne!). While many brands are ditching quality to play in the Fast Fashion lane and chase lower prices, we continue to build our tees?up.","95% organic Pima cotton 5% spandex stretch jersey; The hint of spandex adds comfortable stretch and helps retain shape; Earth-friendly, certified safe dyes; Machine wash; 25.5-inch length (size Medium); Gently shaped fit; Fairly made in Lima, Peru; Mix + Match: Save 10% when you buy 2 or more organic cotton t-shirts",43.9,pine,women,https://cdn.shopify.com/s/files/1/0028/2525/7027/products/BG_OF_03823_Pine_1385_FW21_900x.jpg?v=1632320120,4.7,80,fair indigo,95% organic Pima cotton 5% spandex,0,0,0.05,0,0,0,0,0,0.95
33,Women's Organic Long Sleeve Vneck T-shirt,"air Indigo's organic cotton tees are 'better than anything you can find at the mall, no matter the price.' So says Bethanne in her review of the Long Sleeve V-neck Tee. We respectfully agree (and thanks Bethanne!). While many brands are ditching quality to play in the Fast Fashion lane and chase lower prices, we continue to build our tees?up.","95% organic Pima cotton 5% spandex stretch jersey; The hint of spandex adds comfortable stretch and helps retain shape; Earth-friendly, certified safe dyes; Machine wash; 25.5-inch length (size Medium); Gently shaped fit; Fairly made in Lima, Peru; Mix + Match: Save 10% when you buy 2 or more organic cotton t-shirts",43.9,sea blue,women,https://cdn.shopify.com/s/files/1/0028/2525/7027/products/BG_OF_03823_sea_blue_1-b_900x.jpg?v=1632757724,4.7,80,fair indigo,95% organic Pima cotton 5% spandex,0,0,0.05,0,0,0,0,0,0.95
34,Women's Organic Long Sleeve Vneck T-shirt,"air Indigo's organic cotton tees are 'better than anything you can find at the mall, no matter the price.' So says Bethanne in her review of the Long Sleeve V-neck Tee. We respectfully agree (and thanks Bethanne!). While many brands are ditching quality to play in the Fast Fashion lane and chase lower prices, we continue to build our tees?up.","95% organic Pima cotton 5% spandex stretch jersey; The hint of spandex adds comfortable stretch and helps retain shape; Earth-friendly, certified safe dyes; Machine wash; 25.5-inch length (size Medium); Gently shaped fit; Fairly made in Lima, Peru; Mix + Match: Save 10% when you buy 2 or more organic cotton t-shirts",43.9,violet blue,women,https://cdn.shopify.com/s/files/1/0028/2525/7027/products/BG_OF_03823_violet_blue_1_900x.jpg?v=1632757738,4.7,80,fair indigo,95% organic Pima cotton 5% spandex,0,0,0.05,0,0,0,0,0,0.95
