SN,title,description,review,rating,price_euro,price_usd,color,basic_color,gender,imageUrl,brand,composition,rayon,nylon,spandex,acrylic,polyester,cupro,modal,lyocell,cotton,linen,wool,silk
11,FRIEDA T-shirt,"Up close - the argument for certified natural fashion is obvious: A sustainable manufacturing process in accordance with high socio-ecological standards. The argument for high-quality organic cotton, however, is on your skin: The pure material in high-grade single jersey quality (120 g/m²) gives you pleasant wearing comfort. The slightly fitted women's cut provides for room to move, the crew neck of the durable organic shirt comes with a ribbed cuff. Regular fit.",5,3,12.99,14.68,raspberry,pink,women,https://www.livingcrafts.de/file/thumb/shop/extrapicture/63865/5_sizeby_exact_sizewidth_1400_sizeheight_1400.jpg,Living Craft,100 % Cotton (organic),0,0,0,0,0,0,0,0,1,0,0,0
12,FRIEDA T-shirt,"Up close - the argument for certified natural fashion is obvious: A sustainable manufacturing process in accordance with high socio-ecological standards. The argument for high-quality organic cotton, however, is on your skin: The pure material in high-grade single jersey quality (120 g/m²) gives you pleasant wearing comfort. The slightly fitted women's cut provides for room to move, the crew neck of the durable organic shirt comes with a ribbed cuff. Regular fit.",5,3,12.99,14.68,white,white,women,https://www.livingcrafts.de/file/thumb/shop/extrapicture/63865/3_sizeby_exact_sizewidth_1400_sizeheight_1400.jpg,Living Craft,100 % Cotton (organic),0,0,0,0,0,0,0,0,1,0,0,0
13,KATHRIN T-shirt,"The casual cut, the flowing fit, and the sophisticated shoulder section combine to a summery top that is much more than just a T-shirt. This versatile garment always leaves a great impression, whether it is worn for leisure activities or as part of a more formal outfit. The organic cotton and viscose (peppermint) fabric offers great wearer comfort in warm summer weather.",1,5,49.99,56.49,tobacco,brown,women,https://www.livingcrafts.de/file/thumb/shop/extrapicture/68517/3_sizeby_exact_sizewidth_1400_sizeheight_1400.jpg,Living Craft,70 % cotton (organic); 30% viscose (peppermint),0.3,0,0,0,0,0,0,0,0.7,0,0,0
14,KATHRIN T-shirt,"The casual cut, the flowing fit, and the sophisticated shoulder section combine to a summery top that is much more than just a T-shirt. This versatile garment always leaves a great impression, whether it is worn for leisure activities or as part of a more formal outfit. The organic cotton and viscose (peppermint) fabric offers great wearer comfort in warm summer weather.",1,5,49.99,56.49,black,black,women,https://www.livingcrafts.de/file/thumb/shop/extrapicture/68517/2_sizeby_exact_sizewidth_1400_sizeheight_1400.jpg,Living Craft,70 % cotton (organic); 30% viscose (peppermint),0.3,0,0,0,0,0,0,0,0.7,0,0,0
15,INGRIDA T-shirt,"
A practical companion for sports and leisure: this T-shirt in an innovative material blend with environmentally-friendly bamboo fibres, is breathable, anti-bacterial and softly flowing. The sporty stitching, side slits and rounded hem make it perfect for fitness and training gear as they allow total freedom of movement in sports activities. The sports top also has a V-neck and raglan sleeves. Exercise is fun.",0,0,24.99,28.24,blush,red,women,https://www.livingcrafts.de/file/thumb/shop/extrapicture/68512/2_sizeby_exact_sizewidth_1400_sizeheight_1400.jpg,Living Craft,52 % cotton (organic); 48 % viscose (bamboo),0.48,0,0,0,0,0,0,0,0.52,0,0,0
16,INGRIDA T-shirt,"
A practical companion for sports and leisure: this T-shirt in an innovative material blend with environmentally-friendly bamboo fibres, is breathable, anti-bacterial and softly flowing. The sporty stitching, side slits and rounded hem make it perfect for fitness and training gear as they allow total freedom of movement in sports activities. The sports top also has a V-neck and raglan sleeves. Exercise is fun.",0,0,24.99,28.24,aqua,blue,women,https://www.livingcrafts.de/file/thumb/shop/extrapicture/68512/1_sizeby_exact_sizewidth_1400_sizeheight_1400.jpg,Living Craft,52 % cotton (organic); 48 % viscose (bamboo),0.48,0,0,0,0,0,0,0,0.52,0,0,0
17,ALEXANDRA T-shirt,"Natural, irregular slub yarn, that falls loosely and airy and a narrow twisted trim at the neckline give this casual T-shirt made of pure organic cotton that certain extra. The feminine cut of this women's shirt is soft on your skin and provides for an ideal fit. And everything comes from a single source: The slub shirt is dyed, knitted and tailored in the EU.",5,4,19.99,22.59,black,black,women,https://www.livingcrafts.de/file/thumb/shop/article/63842/52_sizeby_exact_sizewidth_1400_sizeheight_1400.jpg,Living Craft,100 % Cotton (organic),0,0,0,0,0,0,0,0,1,0,0,0
18,ALEXANDRA T-shirt,"Natural, irregular slub yarn, that falls loosely and airy and a narrow twisted trim at the neckline give this casual T-shirt made of pure organic cotton that certain extra. The feminine cut of this women's shirt is soft on your skin and provides for an ideal fit. And everything comes from a single source: The slub shirt is dyed, knitted and tailored in the EU.",5,4,19.99,22.59,white,white,women,https://www.livingcrafts.de/file/thumb/shop/extrapicture/63842/8_sizeby_exact_sizewidth_1400_sizeheight_1400.jpg,Living Craft,100 % Cotton (organic),0,0,0,0,0,0,0,0,1,0,0,0
19,ALEXANDRA T-shirt,"Natural, irregular slub yarn, that falls loosely and airy and a narrow twisted trim at the neckline give this casual T-shirt made of pure organic cotton that certain extra. The feminine cut of this women's shirt is soft on your skin and provides for an ideal fit. And everything comes from a single source: The slub shirt is dyed, knitted and tailored in the EU.",5,4,19.99,22.59,coral,orange,women,https://www.livingcrafts.de/file/thumb/shop/extrapicture/63842/4_sizeby_exact_sizewidth_1400_sizeheight_1400.jpg,Living Craft,100 % Cotton (organic),0,0,0,0,0,0,0,0,1,0,0,0
20,ALEXANDRA T-shirt,"Natural, irregular slub yarn, that falls loosely and airy and a narrow twisted trim at the neckline give this casual T-shirt made of pure organic cotton that certain extra. The feminine cut of this women's shirt is soft on your skin and provides for an ideal fit. And everything comes from a single source: The slub shirt is dyed, knitted and tailored in the EU.",5,4,19.99,22.59,sun,yellow,women,https://www.livingcrafts.de/file/thumb/shop/extrapicture/63842/13_sizeby_exact_sizewidth_1400_sizeheight_1400.jpg,Living Craft,100 % Cotton (organic),0,0,0,0,0,0,0,0,1,0,0,0
21,ISALINE T-shirt,This playfully sophisticated T-shirt in a pleasantly light material blend are just perfect for the summer. The V-neck with flat pleat and the back yoke with gathering give the top a touch of feminine sparkle. It has a slightly rounded hem and creates a stunningly feminine silhouette. This blend of purely natural fibres whets the appetite for eco-organic fashion and has the potential to become highly addictive.,0,0,29.99,33.89,coral,orange,women,https://www.livingcrafts.de/file/thumb/shop/extrapicture/63881/2_sizeby_exact_sizewidth_1400_sizeheight_1400.jpg,Living Craft,70 % Cotton (organic); 30 % Hemp,0.3,0,0,0,0,0,0,0,0.7,0,0,0
22,ISALINE T-shirt,This playfully sophisticated T-shirt in a pleasantly light material blend are just perfect for the summer. The V-neck with flat pleat and the back yoke with gathering give the top a touch of feminine sparkle. It has a slightly rounded hem and creates a stunningly feminine silhouette. This blend of purely natural fibres whets the appetite for eco-organic fashion and has the potential to become highly addictive.,0,0,29.99,33.89,khaki,green,women,https://www.livingcrafts.de/file/thumb/shop/extrapicture/63881/3_sizeby_exact_sizewidth_1400_sizeheight_1400.jpg,Living Craft,70 % Cotton (organic); 30 % Hemp,0.3,0,0,0,0,0,0,0,0.7,0,0,0
23,GILKA T-shirt,"Ready for summer? With this lightweight T-shirt made from 100% organic linen, hot days are no longer a problem. The linen fabric regulates temperature and humidity pleasantly and has a cooling effect on the skin. The playful cowl neck, slightly dropped shoulders and small side slits make this T-shirt a highlight in any wardrobe. This summery top is the perfect balance between cool style and sustainable awareness.",1,5,44.99,50.84,poppy,red,women,https://www.livingcrafts.de/file/thumb/shop/extrapicture/66633/7_sizeby_exact_sizewidth_1400_sizeheight_1400.jpg,Living Craft,100 % Linen (organic),0,0,0,0,0,0,0,0,0,1,0,0
24,GILKA T-shirt,"Ready for summer? With this lightweight T-shirt made from 100% organic linen, hot days are no longer a problem. The linen fabric regulates temperature and humidity pleasantly and has a cooling effect on the skin. The playful cowl neck, slightly dropped shoulders and small side slits make this T-shirt a highlight in any wardrobe. This summery top is the perfect balance between cool style and sustainable awareness.",1,5,44.99,50.84,amazonas,green,women,https://www.livingcrafts.de/file/thumb/shop/extrapicture/66633/1_sizeby_exact_sizewidth_1400_sizeheight_1400.jpg,Living Craft,100 % Linen (organic),0,0,0,0,0,0,0,0,0,1,0,0
25,GILKA T-shirt,"Ready for summer? With this lightweight T-shirt made from 100% organic linen, hot days are no longer a problem. The linen fabric regulates temperature and humidity pleasantly and has a cooling effect on the skin. The playful cowl neck, slightly dropped shoulders and small side slits make this T-shirt a highlight in any wardrobe. This summery top is the perfect balance between cool style and sustainable awareness.",1,5,44.99,50.84,fern,green,women,https://www.livingcrafts.de/file/thumb/shop/extrapicture/66633/5_sizeby_exact_sizewidth_1400_sizeheight_1400.jpg,Living Craft,100 % Linen (organic),0,0,0,0,0,0,0,0,0,1,0,0
26,GILKA T-shirt,"Ready for summer? With this lightweight T-shirt made from 100% organic linen, hot days are no longer a problem. The linen fabric regulates temperature and humidity pleasantly and has a cooling effect on the skin. The playful cowl neck, slightly dropped shoulders and small side slits make this T-shirt a highlight in any wardrobe. This summery top is the perfect balance between cool style and sustainable awareness.",1,5,44.99,50.84,moonlight blue,blue,women,https://www.livingcrafts.de/file/thumb/shop/extrapicture/66633/6_sizeby_exact_sizewidth_1400_sizeheight_1400.jpg,Living Craft,100 % Linen (organic),0,0,0,0,0,0,0,0,0,1,0,0
27,GILKA T-shirt,"Ready for summer? With this lightweight T-shirt made from 100% organic linen, hot days are no longer a problem. The linen fabric regulates temperature and humidity pleasantly and has a cooling effect on the skin. The playful cowl neck, slightly dropped shoulders and small side slits make this T-shirt a highlight in any wardrobe. This summery top is the perfect balance between cool style and sustainable awareness.",1,5,44.99,50.84,raspberry,pink,women,https://www.livingcrafts.de/file/thumb/shop/extrapicture/66633/4_sizeby_exact_sizewidth_1400_sizeheight_1400.jpg,Living Craft,100 % Linen (organic),0,0,0,0,0,0,0,0,0,1,0,0
28,GILKA T-shirt,"The best mother nature has to offer - T-shirt made from a high-quality blend of organic linen and organic cotton, from a certified organic cultivation. The high percentage of linen makes the fabric breathable and regulates the temperature. The fabric lets any moisture escape and has a cooling effect on the skin. The cowl neck, slightly dropped shoulders and side slits make this T-shirt a real gem.",5,4,24.99,28.24,white/stripe,white,women,https://www.livingcrafts.de/file/thumb/shop/extrapicture/66628/8_sizeby_exact_sizewidth_1400_sizeheight_1400.jpg,Living Craft,61 % Linen (organic); 39 % Cotton (organic),0,0,0,0,0,0,0,0,0.39,0.61,0,0
29,IDONY T-shirt,"This unbeatably comfortable, soft T-shirt is the perfect basis for countless styling combinations. The crew neck top has narrow set-in sleeves, small sleeve turn-ups and side slits. This T-shirt is a winner mainly due to its intrinsic qualities, as it is made from sustainable bamboo viscose. The soft material ensures that the garment hangs well and is superbly comfortable.",1,5,19.99,22.59,black,black,women,https://www.livingcrafts.de/file/thumb/shop/extrapicture/68508/4_sizeby_exact_sizewidth_1400_sizeheight_1400.jpg,Living Craft,52 % cotton (organic); 48 % viscose (bamboo),0.48,0,0,0,0,0,0,0,0.52,0,0,0
30,IDONY T-shirt,"This unbeatably comfortable, soft T-shirt is the perfect basis for countless styling combinations. The crew neck top has narrow set-in sleeves, small sleeve turn-ups and side slits. This T-shirt is a winner mainly due to its intrinsic qualities, as it is made from sustainable bamboo viscose. The soft material ensures that the garment hangs well and is superbly comfortable.",1,5,19.99,22.59,ink blue,blue,women,https://www.livingcrafts.de/file/thumb/shop/extrapicture/68508/3_sizeby_exact_sizewidth_1400_sizeheight_1400.jpg,Living Craft,52 % cotton (organic); 48 % viscose (bamboo),0.48,0,0,0,0,0,0,0,0.52,0,0,0
31,IDONY T-shirt,"This unbeatably comfortable, soft T-shirt is the perfect basis for countless styling combinations. The crew neck top has narrow set-in sleeves, small sleeve turn-ups and side slits. This T-shirt is a winner mainly due to its intrinsic qualities, as it is made from sustainable bamboo viscose. The soft material ensures that the garment hangs well and is superbly comfortable.",1,5,19.99,22.59,white/stripe,white,women,https://www.livingcrafts.de/file/thumb/shop/extrapicture/68508/1_sizeby_exact_sizewidth_1400_sizeheight_1400.jpg,Living Craft,52 % cotton (organic); 48 % viscose (bamboo),0.48,0,0,0,0,0,0,0,0.52,0,0,0
32,ISABELLA T-shirt,"Spring is finally in the air once again, bringing more colour with it! The right wow effect is created by the colour gradient print on the T-shirt. The discreet cowl neck is particularly attractive. The T-shirt has side slits. That is not all, as this T-shirt was produced using pure organic cotton. Environmentally-friendly material and fair production create a great style with a green soul. This T-shirt really gives us that spring feeling once more.",0,0,24.99,28.24,blue/lagoon,blue,women,https://www.livingcrafts.de/file/thumb/shop/extrapicture/63882/2_sizeby_exact_sizewidth_1400_sizeheight_1400.jpg,Living Craft,100 % Cotton (organic),0,0,0,0,0,0,0,0,1,0,0,0
33,ISABELLA T-shirt,"Spring is finally in the air once again, bringing more colour with it! The right wow effect is created by the colour gradient print on the T-shirt. The discreet cowl neck is particularly attractive. The T-shirt has side slits. That is not all, as this T-shirt was produced using pure organic cotton. Environmentally-friendly material and fair production create a great style with a green soul. This T-shirt really gives us that spring feeling once more.",0,0,24.99,28.24,raspberry/coral,red,women,https://www.livingcrafts.de/file/thumb/shop/extrapicture/63882/1_sizeby_exact_sizewidth_1400_sizeheight_1400.jpg,Living Craft,100 % Cotton (organic),0,0,0,0,0,0,0,0,1,0,0,0
34,JIM Premium T-shirt,"Not all cottons are created equal: a garment made from Pima cotton is a truly special luxury. This T-shirt made from 100% organic Pima cotton feels noticeably finer and softer than normal cotton fabric. Our attractive design, featuring a small chest pocket, a neckline edged with a fine ribbed fabric and a label at the seam, combines with careful workmanship to create a T-shirt that can meet very special requirements. A smart, casual garment for every situation in life.",0,0,29.99,33.89,cameo blue,blue,men,https://www.livingcrafts.de/file/thumb/shop/extrapicture/63779/4_sizeby_exact_sizewidth_1400_sizeheight_1400.jpg,Living Craft,100 % Cotton (organic),0,0,0,0,0,0,0,0,1,0,0,0
35,JIM Premium T-shirt,"Not all cottons are created equal: a garment made from Pima cotton is a truly special luxury. This T-shirt made from 100% organic Pima cotton feels noticeably finer and softer than normal cotton fabric. Our attractive design, featuring a small chest pocket, a neckline edged with a fine ribbed fabric and a label at the seam, combines with careful workmanship to create a T-shirt that can meet very special requirements. A smart, casual garment for every situation in life.",0,0,29.99,33.89,taupe,gray,men,https://www.livingcrafts.de/file/thumb/shop/extrapicture/63779/6_sizeby_exact_sizewidth_1400_sizeheight_1400.jpg,Living Craft,100 % Cotton (organic),0,0,0,0,0,0,0,0,1,0,0,0
36,JIM Premium T-shirt,"Not all cottons are created equal: a garment made from Pima cotton is a truly special luxury. This T-shirt made from 100% organic Pima cotton feels noticeably finer and softer than normal cotton fabric. Our attractive design, featuring a small chest pocket, a neckline edged with a fine ribbed fabric and a label at the seam, combines with careful workmanship to create a T-shirt that can meet very special requirements. A smart, casual garment for every situation in life.",0,0,29.99,33.89,vocalno,black,men,https://www.livingcrafts.de/file/thumb/shop/extrapicture/63779/3_sizeby_exact_sizewidth_1400_sizeheight_1400.jpg,Living Craft,100 % Cotton (organic),0,0,0,0,0,0,0,0,1,0,0,0
37,JIM Premium T-shirt,"Not all cottons are created equal: a garment made from Pima cotton is a truly special luxury. This T-shirt made from 100% organic Pima cotton feels noticeably finer and softer than normal cotton fabric. Our attractive design, featuring a small chest pocket, a neckline edged with a fine ribbed fabric and a label at the seam, combines with careful workmanship to create a T-shirt that can meet very special requirements. A smart, casual garment for every situation in life.",0,0,29.99,33.89,white,white,men,https://www.livingcrafts.de/file/thumb/shop/extrapicture/63779/2_sizeby_exact_sizewidth_1400_sizeheight_1400.jpg,Living Craft,100 % Cotton (organic),0,0,0,0,0,0,0,0,1,0,0,0
38,"FABIAN T-shirt, pack of 2","Twice as good: The plain T-shirt made of pure and durable organic cotton comes in a convenient pack of 2. Thanks to the round and elastic neckline, the shirt is particularly comfortable. And combined with FRANK, the ecological longsleeve, the men's wardrobe seems to be complete. In a word: The fair men's shirt is thought out sustainably and is an essential basic. Lightweight shirt in 120 g/m². Additional colours available as 63774 ILKO.",1,5,24.99,28.24,black,black,men,https://www.livingcrafts.de/file/thumb/shop/extrapicture/63756V/2_sizeby_exact_sizewidth_1400_sizeheight_1400.jpg,Living Craft,100 % Cotton (organic),0,0,0,0,0,0,0,0,1,0,0,0
39,"FABIAN T-shirt, pack of 2","Twice as good: The plain T-shirt made of pure and durable organic cotton comes in a convenient pack of 2. Thanks to the round and elastic neckline, the shirt is particularly comfortable. And combined with FRANK, the ecological longsleeve, the men's wardrobe seems to be complete. In a word: The fair men's shirt is thought out sustainably and is an essential basic. Lightweight shirt in 120 g/m². Additional colours available as 63774 ILKO.",1,5,24.99,28.24,natural melange,off white,men,https://www.livingcrafts.de/file/thumb/shop/extrapicture/63756V/7_sizeby_exact_sizewidth_555_sizeheight_555.jpg,Living Craft,100 % Cotton (organic),0,0,0,0,0,0,0,0,1,0,0,0
40,"FABIAN T-shirt, pack of 2","Twice as good: The plain T-shirt made of pure and durable organic cotton comes in a convenient pack of 2. Thanks to the round and elastic neckline, the shirt is particularly comfortable. And combined with FRANK, the ecological longsleeve, the men's wardrobe seems to be complete. In a word: The fair men's shirt is thought out sustainably and is an essential basic. Lightweight shirt in 120 g/m². Additional colours available as 63774 ILKO.",1,5,24.99,28.24,navy,blue,men,https://www.livingcrafts.de/file/thumb/shop/extrapicture/63756V/3_sizeby_exact_sizewidth_1400_sizeheight_1400.jpg,Living Craft,100 % Cotton (organic),0,0,0,0,0,0,0,0,1,0,0,0
41,"FABIAN T-shirt, pack of 2","Twice as good: The plain T-shirt made of pure and durable organic cotton comes in a convenient pack of 2. Thanks to the round and elastic neckline, the shirt is particularly comfortable. And combined with FRANK, the ecological longsleeve, the men's wardrobe seems to be complete. In a word: The fair men's shirt is thought out sustainably and is an essential basic. Lightweight shirt in 120 g/m². Additional colours available as 63774 ILKO.",1,5,24.99,28.24,stone grey,gray,men,https://www.livingcrafts.de/file/thumb/shop/extrapicture/63756V/6_sizeby_exact_sizewidth_1400_sizeheight_1400.jpg,Living Craft,100 % Cotton (organic),0,0,0,0,0,0,0,0,1,0,0,0
42,"FABIAN T-shirt, pack of 2","Twice as good: The plain T-shirt made of pure and durable organic cotton comes in a convenient pack of 2. Thanks to the round and elastic neckline, the shirt is particularly comfortable. And combined with FRANK, the ecological longsleeve, the men's wardrobe seems to be complete. In a word: The fair men's shirt is thought out sustainably and is an essential basic. Lightweight shirt in 120 g/m². Additional colours available as 63774 ILKO.",1,5,24.99,28.24,white,white,men,https://www.livingcrafts.de/file/thumb/shop/extrapicture/63756V/4_sizeby_exact_sizewidth_1400_sizeheight_1400.jpg,Living Craft,100 % Cotton (organic),0,0,0,0,0,0,0,0,1,0,0,0
43,"DEAN T-shirt, pack of 2",Men's V-neck shirt from pure organic cotton in a convenient twin-pack at a special price. Made of rib jersey in breathable organic cotton quality. Nice to wear underneath shirts and pullovers thanks to a cut slightly fitted at the waist and the narrow and lower V-neck.,9,3,29.99,33.89,white,white,men,https://www.livingcrafts.de/file/thumb/shop/extrapicture/20204/2_sizeby_exact_sizewidth_1400_sizeheight_1400.jpg,Living Craft,100 % Cotton (organic),0,0,0,0,0,0,0,0,1,0,0,0
44,"DEAN T-shirt, pack of 2",Men's V-neck shirt from pure organic cotton in a convenient twin-pack at a special price. Made of rib jersey in breathable organic cotton quality. Nice to wear underneath shirts and pullovers thanks to a cut slightly fitted at the waist and the narrow and lower V-neck.,9,3,29.99,33.89,grey melange,gray,men,https://www.livingcrafts.de/file/thumb/shop/extrapicture/20204/3_sizeby_exact_sizewidth_1400_sizeheight_1400.jpg,Living Craft,100 % Cotton (organic),0,0,0,0,0,0,0,0,1,0,0,0
45,"DEAN T-shirt, pack of 2",Men's V-neck shirt from pure organic cotton in a convenient twin-pack at a special price. Made of rib jersey in breathable organic cotton quality. Nice to wear underneath shirts and pullovers thanks to a cut slightly fitted at the waist and the narrow and lower V-neck.,9,3,29.99,33.89,black,black,men,https://www.livingcrafts.de/file/thumb/shop/extrapicture/20204/4_sizeby_exact_sizewidth_1400_sizeheight_1400.jpg,Living Craft,100 % Cotton (organic),0,0,0,0,0,0,0,0,1,0,0,0
46,KENNETH T-Shirt,"This stylish T-shirt has an impressively refined design and contemporary fit. The inside chest pocket is attached using a discreet coverstitch, which adds a lovely detail on the outside, along with the slightly stronger felled seam at chest height. The mouliné fabric is slightly textured and uneven in colour, which gives it a luxurious appearance and creates the perfect finish for a very special summer T-shirt, which looks always amazing, be it with shorts or worn with a suit jacket.",0,0,49.99,56.49,reed,gray,men,https://www.livingcrafts.de/file/thumb/shop/extrapicture/63781/4_sizeby_exact_sizewidth_555_sizeheight_555.jpg,Living Craft,80 % cotton (organic); 20 % linen,0,0,0,0,0,0,0,0,0.8,0.2,0,0
47,KENNETH T-Shirt,"This stylish T-shirt has an impressively refined design and contemporary fit. The inside chest pocket is attached using a discreet coverstitch, which adds a lovely detail on the outside, along with the slightly stronger felled seam at chest height. The mouliné fabric is slightly textured and uneven in colour, which gives it a luxurious appearance and creates the perfect finish for a very special summer T-shirt, which looks always amazing, be it with shorts or worn with a suit jacket.",0,0,49.99,56.49,mid blue,blue,men,https://www.livingcrafts.de/file/thumb/shop/extrapicture/63781/2_sizeby_exact_sizewidth_1400_sizeheight_1400.jpg,Living Craft,80 % cotton (organic); 20 % linen,0,0,0,0,0,0,0,0,0.8,0.2,0,0
48,KORNEL T-Shirt,"A casual-fit T-shirt in beautifully fashionable colours, which can be combined with lots of stylish but informal outfits. This summery material blend of organic cotton and viscose (peppermint) is wonderfully soft to wear, even on warm summer days, and it always looks absolutely amazing. A really special shirt, which shows why T-shirts are such a versatile summer classic.",0,0,39.99,45.19,mangrove,green,men,https://www.livingcrafts.de/file/thumb/shop/extrapicture/68516/2_sizeby_exact_sizewidth_1400_sizeheight_1400.jpg,Living Craft,70 % cotton (organic); 30% Viskose (peppermint),0.3,0,0,0,0,0,0,0,0.7,0,0,0
