SN,title,title&color,color,imageUrl,price_usd,material,gender,brand,care,composition,rayon,nylon,spandex,acrylic,polyester,cupro,modal,lyocell,cotton,_
11,Organic Cotton Classic Tee,Organic Cotton Classic Tee_lavender,lavender,https://cdn.shopify.com/s/files/1/0518/6281/products/210526_MTL_PISTACHIO_LAVENDER_ECOMM_LOOK_02_0006_900x.jpg?v=1629743869,48.00,100% Organic Cotton Jersey,women,Mate,Machine wash cold with like colors; Tumble dry low; Do not bleach,100% Organic Cotton Jersey,0,0,0,0,0,0,0,0,1,
12,Organic Cotton Classic Tee,Organic Cotton Classic Tee_midnght,midnght,https://cdn.shopify.com/s/files/1/0518/6281/products/210802_BC_MTL_LOOK_06_MIDNIGHT_0051_900x.jpg?v=1632531451,48.00,100% Organic Cotton Jersey,women,Mate,Machine wash cold with like colors; Tumble dry low; Do not bleach,100% Organic Cotton Jersey,0,0,0,0,0,0,0,0,1,
13,Organic Cotton Classic Tee,Organic Cotton Classic Tee_pistachio,pistachio,https://cdn.shopify.com/s/files/1/0518/6281/products/210526_MTL_PISTACHIO_LAVENDER_ECOMM_LOOK_12_0025_1_900x.jpg?v=1629743870,48.00,100% Organic Cotton Jersey,women,Mate,Machine wash cold with like colors; Tumble dry low; Do not bleach,100% Organic Cotton Jersey,0,0,0,0,0,0,0,0,1,
14,Organic Cotton Classic Tee,Organic Cotton Classic Tee_sedona,sedona,https://cdn.shopify.com/s/files/1/0518/6281/products/1706_900x.jpg?v=1627509426,48.00,100% Organic Cotton Jersey,women,Mate,Machine wash cold with like colors; Tumble dry low; Do not bleach,100% Organic Cotton Jersey,0,0,0,0,0,0,0,0,1,
15,Organic Cotton Classic Tee,Organic Cotton Classic Tee_turmeric,turmeric,https://cdn.shopify.com/s/files/1/0518/6281/products/3244_900x.jpg?v=1600120123,48.00,100% Organic Cotton Jersey,women,Mate,Machine wash cold with like colors; Tumble dry low; Do not bleach,100% Organic Cotton Jersey,0,0,0,0,0,0,0,0,1,
16,Organic Cotton Classic Tee,Organic Cotton Classic Tee_bone,bone,https://cdn.shopify.com/s/files/1/0518/6281/products/764BON-1_656f28a9-d53d-4cf4-88ae-0e5ff920e555_900x.jpg?v=1629225175,48.00,100% Organic Cotton Jersey,women,Mate,Machine wash cold with like colors; Tumble dry low; Do not bleach,100% Organic Cotton Jersey,0,0,0,0,0,0,0,0,1,
17,Organic Cotton Classic Tee,Organic Cotton Classic Tee_charcoal,charcoal,https://cdn.shopify.com/s/files/1/0518/6281/products/764CHAR-5_900x.jpg?v=1629231239,48.00,100% Organic Cotton Jersey,women,Mate,Machine wash cold with like colors; Tumble dry low; Do not bleach,100% Organic Cotton Jersey,0,0,0,0,0,0,0,0,1,
18,Organic Cotton Classic Tee,Organic Cotton Classic Tee_jet black,jet black,https://cdn.shopify.com/s/files/1/0518/6281/products/764JBLK-4_3f6a24a6-aa8f-4818-95af-cb97d911a5bc_900x.jpg?v=1629239758,48.00,100% Organic Cotton Jersey,women,Mate,Machine wash cold with like colors; Tumble dry low; Do not bleach,100% Organic Cotton Jersey,0,0,0,0,0,0,0,0,1,
19,Organic Cotton Classic Tee,Organic Cotton Classic Tee_rose,rose,https://cdn.shopify.com/s/files/1/0518/6281/products/210713_BC_MTL_ESSENTIALS_RESHOOT_LOOK_22_0017_900x.jpg?v=1629487677,48.00,100% Organic Cotton Jersey,women,Mate,Machine wash cold with like colors; Tumble dry low; Do not bleach,100% Organic Cotton Jersey,0,0,0,0,0,0,0,0,1,
20,Organic Cotton Classic Tee,Organic Cotton Classic Tee_sage,sage,https://cdn.shopify.com/s/files/1/0518/6281/products/764SAG-1_900x.jpg?v=1629234603,48.00,100% Organic Cotton Jersey,women,Mate,Machine wash cold with like colors; Tumble dry low; Do not bleach,100% Organic Cotton Jersey,0,0,0,0,0,0,0,0,1,
21,Organic Cotton Classic Tee,Organic Cotton Classic Tee_white,white,https://cdn.shopify.com/s/files/1/0518/6281/products/912TWHT-5_900x.jpg?v=1606947294,48.00,100% Organic Cotton Jersey,women,Mate,Machine wash cold with like colors; Tumble dry low; Do not bleach,100% Organic Cotton Jersey,0,0,0,0,0,0,0,0,1,
22,Organic Cotton Crop Tee,Organic Cotton Crop Tee_bone,bone,https://cdn.shopify.com/s/files/1/0518/6281/products/210526_MTL_PISTACHIO_LAVENDER_ECOMM_LOOK_24_0021_900x.jpg?v=1632367326,46.00,100% Organic Cotton Jersey,women,Mate,Machine wash cold with like colors; Tumble dry low; Do not bleach,100% Organic Cotton Jersey,0,0,0,0,0,0,0,0,1,
23,Organic Cotton Crop Tee,Organic Cotton Crop Tee_jet black,jet black,https://cdn.shopify.com/s/files/1/0518/6281/products/210526_MTL_PISTACHIO_LAVENDER_ECOMM_LOOK_22_0017_1_900x.jpg?v=1623959370,46.00,100% Organic Cotton Jersey,women,Mate,Machine wash cold with like colors; Tumble dry low; Do not bleach,100% Organic Cotton Jersey,0,0,0,0,0,0,0,0,1,
24,Organic Cotton Crop Tee,Organic Cotton Crop Tee_lavender,lavender,https://cdn.shopify.com/s/files/1/0518/6281/products/210526_MTL_PISTACHIO_LAVENDER_ECOMM_LOOK_05_0020_1_900x.jpg?v=1623959409,46.00,100% Organic Cotton Jersey,women,Mate,Machine wash cold with like colors; Tumble dry low; Do not bleach,100% Organic Cotton Jersey,0,0,0,0,0,0,0,0,1,
25,Organic Cotton Crop Tee,Organic Cotton Crop Tee_pistachio,pistachio,https://cdn.shopify.com/s/files/1/0518/6281/products/210526_MTL_PISTACHIO_LAVENDER_ECOMM_LOOK_14_0001_900x.jpg?v=1624650611,46.00,100% Organic Cotton Jersey,women,Mate,Machine wash cold with like colors; Tumble dry low; Do not bleach,100% Organic Cotton Jersey,0,0,0,0,0,0,0,0,1,
26,Organic Cotton Crop Tee,Organic Cotton Crop Tee_white,white,https://cdn.shopify.com/s/files/1/0518/6281/products/210526_MTL_PISTACHIO_LAVENDER_ECOMM_LOOK_25_0035_900x.jpg?v=1623959486,46.00,100% Organic Cotton Jersey,women,Mate,Machine wash cold with like colors; Tumble dry low; Do not bleach,100% Organic Cotton Jersey,0,0,0,0,0,0,0,0,1,
27,Organic Cotton Long Sleeve Crop Tee,Organic Cotton Long Sleeve Crop Tee_white,white,https://cdn.shopify.com/s/files/1/0518/6281/products/3326_900x.jpg?v=1617899912,54.00,100% Organic Cotton Jersey,women,Mate,Machine wash cold with like colors; Tumble dry low; Do not bleach,100% Organic Cotton Jersey,0,0,0,0,0,0,0,0,1,
28,Organic Cotton Long Sleeve Crop Tee,Organic Cotton Long Sleeve Crop Tee_sage,sage,https://cdn.shopify.com/s/files/1/0518/6281/products/902SAG-1_900x.jpg?v=1629743931,54.00,100% Organic Cotton Jersey,women,Mate,Machine wash cold with like colors; Tumble dry low; Do not bleach,100% Organic Cotton Jersey,0,0,0,0,0,0,0,0,1,
29,Organic Cotton Long Sleeve Crop Tee,Organic Cotton Long Sleeve Crop Tee_rose,rose,https://cdn.shopify.com/s/files/1/0518/6281/products/210713_BC_MTL_ESSENTIALS_RESHOOT_LOOK_24_0012_900x.jpg?v=1629743930,54.00,100% Organic Cotton Jersey,women,Mate,Machine wash cold with like colors; Tumble dry low; Do not bleach,100% Organic Cotton Jersey,0,0,0,0,0,0,0,0,1,
30,Organic Cotton Long Sleeve Crop Tee,Organic Cotton Long Sleeve Crop Tee_jet black,jet black,https://cdn.shopify.com/s/files/1/0518/6281/products/902JBLK-1_900x.jpg?v=1629743926,54.00,100% Organic Cotton Jersey,women,Mate,Machine wash cold with like colors; Tumble dry low; Do not bleach,100% Organic Cotton Jersey,0,0,0,0,0,0,0,0,1,
31,Organic Cotton Long Sleeve Crop Tee,Organic Cotton Long Sleeve Crop Tee_charcoal,charcoal,https://cdn.shopify.com/s/files/1/0518/6281/products/902CHAR-1_900x.jpg?v=1629743928,54.00,100% Organic Cotton Jersey,women,Mate,Machine wash cold with like colors; Tumble dry low; Do not bleach,100% Organic Cotton Jersey,0,0,0,0,0,0,0,0,1,
32,Organic Cotton Long Sleeve Crop Tee,Organic Cotton Long Sleeve Crop Tee_bone,bone,https://cdn.shopify.com/s/files/1/0518/6281/products/902BON-1_900x.jpg?v=1629743923,54.00,100% Organic Cotton Jersey,women,Mate,Machine wash cold with like colors; Tumble dry low; Do not bleach,100% Organic Cotton Jersey,0,0,0,0,0,0,0,0,1,
33,Organic Cotton Long Sleeve Crop Tee,Organic Cotton Long Sleeve Crop Tee_amber,amber,https://cdn.shopify.com/s/files/1/0518/6281/products/210802_BC_MTL_LOOK_19_AMBER_CROP_LONG_SLEEVE_TEE_0011_900x.jpg?v=1632533880,54.00,100% Organic Cotton Jersey,women,Mate,Machine wash cold with like colors; Tumble dry low; Do not bleach,100% Organic Cotton Jersey,0,0,0,0,0,0,0,0,1,
34,Organic Cotton Raw Neck Boxy Tee,Organic Cotton Raw Neck Boxy Tee_turmeric,turmeric,https://cdn.shopify.com/s/files/1/0518/6281/products/3414_900x.jpg?v=1600119000,52.00,100% Organic Cotton Jersey,women,Mate,Machine wash cold with like colors; Tumble dry low; Do not bleach,100% Organic Cotton Jersey,0,0,0,0,0,0,0,0,1,
35,Organic Cotton Raw Neck Boxy Tee,Organic Cotton Raw Neck Boxy Tee_pistachio,pistachio,https://cdn.shopify.com/s/files/1/0518/6281/products/210526_MTL_PISTACHIO_LAVENDER_ECOMM_LOOK_08_0072_1_900x.jpg?v=1629743895,52.00,100% Organic Cotton Jersey,women,Mate,Machine wash cold with like colors; Tumble dry low; Do not bleach,100% Organic Cotton Jersey,0,0,0,0,0,0,0,0,1,
36,Organic Cotton Raw Neck Boxy Tee,Organic Cotton Raw Neck Boxy Tee_lavender,lavender,https://cdn.shopify.com/s/files/1/0518/6281/products/210526_MTL_PISTACHIO_LAVENDER_ECOMM_LOOK_03_0010_2_900x.jpg?v=1629743894,52.00,100% Organic Cotton Jersey,women,Mate,Machine wash cold with like colors; Tumble dry low; Do not bleach,100% Organic Cotton Jersey,0,0,0,0,0,0,0,0,1,
37,Organic Cotton Raw Neck Boxy Tee,Organic Cotton Raw Neck Boxy Tee_bone,bone,https://cdn.shopify.com/s/files/1/0518/6281/products/2_210928_MTL_ESSENTIALS_RESHOOT_LOOK_14_BONE_RAW_NECK_TEE_SHORT_023_900x.jpg?v=1643326282,52.00,100% Organic Cotton Jersey,women,Mate,Machine wash cold with like colors; Tumble dry low; Do not bleach,100% Organic Cotton Jersey,0,0,0,0,0,0,0,0,1,
38,Organic Cotton Raw Neck Boxy Tee,Organic Cotton Raw Neck Boxy Tee_charcoal,charcoal,https://cdn.shopify.com/s/files/1/0518/6281/products/6th_210928_MTL_ESSENTIALS_RESHOOT_LOOK_07_CHARCOAL_RAW_NECK_TEE_FLEECE_SWEATPANT_023_900x.jpg?v=1643325037,52.00,100% Organic Cotton Jersey,women,Mate,Machine wash cold with like colors; Tumble dry low; Do not bleach,100% Organic Cotton Jersey,0,0,0,0,0,0,0,0,1,
39,Organic Cotton Raw Neck Boxy Tee,Organic Cotton Raw Neck Boxy Tee_jet black,jet black,https://cdn.shopify.com/s/files/1/0518/6281/products/912JBLK-2_900x.jpg?v=1598641753,52.00,100% Organic Cotton Jersey,women,Mate,Machine wash cold with like colors; Tumble dry low; Do not bleach,100% Organic Cotton Jersey,0,0,0,0,0,0,0,0,1,
40,Organic Cotton Raw Neck Boxy Tee,Organic Cotton Raw Neck Boxy Tee_rose,rose,https://cdn.shopify.com/s/files/1/0518/6281/products/1st_210928_MTL_ESSENTIALS_RESHOOT_LOOK_13_ROSE_RAW_NECK_TEE_SHORT_056_900x.jpg?v=1643314241,52.00,100% Organic Cotton Jersey,women,Mate,Machine wash cold with like colors; Tumble dry low; Do not bleach,100% Organic Cotton Jersey,0,0,0,0,0,0,0,0,1,
41,Organic Cotton Raw Neck Boxy Tee,Organic Cotton Raw Neck Boxy Tee_sage,sage,https://cdn.shopify.com/s/files/1/0518/6281/products/1st_210928_MTL_ESSENTIALS_RESHOOT_LOOK_12_SAGE_RAW_NECK_TEE_SHORT_073_900x.jpg?v=1643313827,52.00,100% Organic Cotton Jersey,women,Mate,Machine wash cold with like colors; Tumble dry low; Do not bleach,100% Organic Cotton Jersey,0,0,0,0,0,0,0,0,1,
42,Organic Cotton Raw Neck Boxy Tee,Organic Cotton Raw Neck Boxy Tee_white,white,https://cdn.shopify.com/s/files/1/0518/6281/products/912TWHT-2_900x.jpg?v=1606947179,52.00,100% Organic Cotton Jersey,women,Mate,Machine wash cold with like colors; Tumble dry low; Do not bleach,100% Organic Cotton Jersey,0,0,0,0,0,0,0,0,1,
43,Tencel Long Sleeve Sleep Tee,Tencel Long Sleeve Sleep Tee_sage,sage,https://cdn.shopify.com/s/files/1/0518/6281/products/210608_BC_MTL_SLEEP_PDP_LOOK_15_008_5af425e1-8cc3-4a3e-89f5-e597c08edf98_900x.jpg?v=1632591634,58.00,100% Organic Cotton Jersey,women,Mate,Machine wash cold with like colors; Tumble dry low; Do not bleach,100% Organic Cotton Jersey,0,0,0,0,0,0,0,0,1,
44,Tencel Long Sleeve Sleep Tee,Tencel Long Sleeve Sleep Tee_white,white,https://cdn.shopify.com/s/files/1/0518/6281/products/210608_BC_MTL_SLEEP_PDP_LOOK_05_015_11cdf734-bd23-4b30-99f6-7e9b8a926146_900x.jpg?v=1632591853,58.00,100% Organic Cotton Jersey,women,Mate,Machine wash cold with like colors; Tumble dry low; Do not bleach,100% Organic Cotton Jersey,0,0,0,0,0,0,0,0,1,
45,Tencel Long Sleeve Sleep Tee,Tencel Long Sleeve Sleep Tee_rose,rose,https://cdn.shopify.com/s/files/1/0518/6281/products/210608_BC_MTL_SLEEP_PDP_LOOK_12_001_900x.jpg?v=1632591761,58.00,100% Organic Cotton Jersey,women,Mate,Machine wash cold with like colors; Tumble dry low; Do not bleach,100% Organic Cotton Jersey,0,0,0,0,0,0,0,0,1,
46,Tencel Long Sleeve Sleep Tee,Tencel Long Sleeve Sleep Tee_charcoal,charcoal,https://cdn.shopify.com/s/files/1/0518/6281/products/210608_BC_MTL_SLEEP_PDP_LOOK_01_099_48f61915-73c5-44a6-9c21-0760162ed687_900x.jpg?v=1631122818,58.00,100% Organic Cotton Jersey,women,Mate,Machine wash cold with like colors; Tumble dry low; Do not bleach,100% Organic Cotton Jersey,0,0,0,0,0,0,0,0,1,
47,Tencel Long Sleeve Sleep Tee,Tencel Long Sleeve Sleep Tee_cocoa,cocoa,https://cdn.shopify.com/s/files/1/0518/6281/products/Matethelabel61f2fe79379d9361f2fe7937b87.3054842861f2fe7937b87_900x.jpg?v=1643344289,58.00,100% Organic Cotton Jersey,women,Mate,Machine wash cold with like colors; Tumble dry low; Do not bleach,100% Organic Cotton Jersey,0,0,0,0,0,0,0,0,1,
48,Tencel Long Sleeve Sleep Tee,Tencel Long Sleeve Sleep Tee_sedona,sedona,https://cdn.shopify.com/s/files/1/0518/6281/products/210608_BC_MTL_SLEEP_PDP_LOOK_10_065_900x.jpg?v=1632532834,58.00,100% Organic Cotton Jersey,women,Mate,Machine wash cold with like colors; Tumble dry low; Do not bleach,100% Organic Cotton Jersey,0,0,0,0,0,0,0,0,1,
49,Organic Cotton Graphic Tee,Organic Cotton Graphic Tee_white,white,https://cdn.shopify.com/s/files/1/0518/6281/products/3221_900x.jpg?v=1618521464,68.00,100% Organic Cotton Jersey,women,Mate,Machine wash cold with like colors; Tumble dry low; Do not bleach,100% Organic Cotton Jersey,0,0,0,0,0,0,0,0,1,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
