SN,title,title_color,color,imageUrl,price_nzd,price_usd,gender,material,brand,care,composition,rayon,nylon,spandex,acrylic,polyester,cupro,modal,lyocell,cotton,_
11,Whio Tee. 1002,Whio Tee. 1002_white,white,https://cdn.shopify.com/s/files/1/0559/3340/3309/products/1126_unisex_LS_tee_solid_whiteVictor-14_05f81873-28f4-4f7f-8c1b-9e4eb9630c57_5000x.jpg?v=1631844036,49,32.83,unisex,100% Organic Rain-Fed Cotton,little yellow bird,Machine cold wash with like colours. Do not bleach. Hang dry in shade. Do not iron if printed. Do not dry clean. Do not tumble dry.,100% Organic Rain-Fed Cotton,0,0,0,0,0,0,0,0,1,
12,Whio Tee. 1002,Whio Tee. 1002_black,black,https://cdn.shopify.com/s/files/1/0559/3340/3309/products/308_Image2_381475c3-aeb7-42df-ab32-99a2f312ef97_5000x.jpg?v=1631844010,49,32.83,unisex,100% Organic Rain-Fed Cotton,little yellow bird,Machine cold wash with like colours. Do not bleach. Hang dry in shade. Do not iron if printed. Do not dry clean. Do not tumble dry.,100% Organic Rain-Fed Cotton,0,0,0,0,0,0,0,0,1,
13,Whio Tee. 1002,Whio Tee. 1002_burgendy,burgendy,https://cdn.shopify.com/s/files/1/0559/3340/3309/products/1200_unisex_LS_tee_solid_burgundy_SBP_6326_copy_c5d97308-8c92-41f4-9bf7-3e71383e898c_5000x.jpg?v=1631844018,49,32.83,unisex,100% Organic Rain-Fed Cotton,little yellow bird,Machine cold wash with like colours. Do not bleach. Hang dry in shade. Do not iron if printed. Do not dry clean. Do not tumble dry.,100% Organic Rain-Fed Cotton,0,0,0,0,0,0,0,0,1,
14,Whio Tee. 1002,Whio Tee. 1002_navy,navy,https://cdn.shopify.com/s/files/1/0559/3340/3309/products/1200_unisex_LS_tee_solid_navy_Blue_LS_Tui_Tee__Male_-2_6a221ec9-ae1d-4dd6-97d3-d04da6b8caac_5000x.jpg?v=1631844030,49,32.83,unisex,100% Organic Rain-Fed Cotton,little yellow bird,Machine cold wash with like colours. Do not bleach. Hang dry in shade. Do not iron if printed. Do not dry clean. Do not tumble dry.,100% Organic Rain-Fed Cotton,0,0,0,0,0,0,0,0,1,
15,Whio Tee. 1002,Whio Tee. 1002_grey marle,grey marle,https://cdn.shopify.com/s/files/1/0559/3340/3309/products/1126_unisex_LS_tee_marle_grey_LS_Tui_Tee__Female_-3_42af17e5-a963-464b-a503-92f1d1bd3f78_5000x.jpg?v=1631844024,49,32.83,unisex,100% Organic Rain-Fed Cotton,little yellow bird,Machine cold wash with like colours. Do not bleach. Hang dry in shade. Do not iron if printed. Do not dry clean. Do not tumble dry.,100% Organic Rain-Fed Cotton,0,0,0,0,0,0,0,0,1,
16,Weka Kids Tee. 6201,Weka Kids Tee. 6201_yellow,yellow,https://cdn.shopify.com/s/files/1/0559/3340/3309/products/SBP23306_5000x.jpg?v=1643919195,25,16.75,NA,100% Organic Rain-Fed Cotton,little yellow bird,Machine cold wash with like colours. Do not bleach. Hang dry in shade. Do not iron if printed. Do not dry clean. Do not tumble dry.,100% Organic Rain-Fed Cotton,0,0,0,0,0,0,0,0,1,
17,Weka Kids Tee. 6201,Weka Kids Tee. 6201_burgendy,burgendy,https://cdn.shopify.com/s/files/1/0559/3340/3309/products/Weka_20kids_20tee_20burgundy_5000x.jpg?v=1643919195,25,16.75,NA,100% Organic Rain-Fed Cotton,little yellow bird,Machine cold wash with like colours. Do not bleach. Hang dry in shade. Do not iron if printed. Do not dry clean. Do not tumble dry.,100% Organic Rain-Fed Cotton,0,0,0,0,0,0,0,0,1,
18,Weka Kids Tee. 6201,Weka Kids Tee. 6201_matcha,matcha,https://cdn.shopify.com/s/files/1/0559/3340/3309/products/Weka_20kids_20tee_20matcha_5000x.jpg?v=1643919195,25,16.75,NA,100% Organic Rain-Fed Cotton,little yellow bird,Machine cold wash with like colours. Do not bleach. Hang dry in shade. Do not iron if printed. Do not dry clean. Do not tumble dry.,100% Organic Rain-Fed Cotton,0,0,0,0,0,0,0,0,1,
19,Weka Kids Tee. 6201,Weka Kids Tee. 6201_navy,navy,https://cdn.shopify.com/s/files/1/0559/3340/3309/products/1200_kids_tee_solid_navy_-_SBP_9673_5000x.jpg?v=1643919195,25,16.75,NA,100% Organic Rain-Fed Cotton,little yellow bird,Machine cold wash with like colours. Do not bleach. Hang dry in shade. Do not iron if printed. Do not dry clean. Do not tumble dry.,100% Organic Rain-Fed Cotton,0,0,0,0,0,0,0,0,1,
20,Weka Kids Tee. 6201,Weka Kids Tee. 6201_grey,grey,https://cdn.shopify.com/s/files/1/0559/3340/3309/products/1200_kids_tee_marle_grey_-_SBP_9552_1200x.jpg?v=1643919195,25,16.75,NA,100% Organic Rain-Fed Cotton,little yellow bird,Machine cold wash with like colours. Do not bleach. Hang dry in shade. Do not iron if printed. Do not dry clean. Do not tumble dry.,100% Organic Rain-Fed Cotton,0,0,0,0,0,0,0,0,1,
21,Tui Tee - Pukeko Stripe. 1001,Tui Tee - Pukeko Stripe. 1001_white navy,white navy,https://cdn.shopify.com/s/files/1/0559/3340/3309/products/296_Image2_80675c61-1f8b-4465-8852-8ebc4b7a3aa9_5000x.jpg?v=1634702063,45,30.15,women,100% Organic Rain-Fed Cotton,little yellow bird,Machine cold wash with like colours. Do not bleach. Hang dry in shade. Do not iron if printed. Do not dry clean. Do not tumble dry.,100% Organic Rain-Fed Cotton,0,0,0,0,0,0,0,0,1,
22,Fantail Tee. 1102,Fantail Tee. 1102_pumpkin spice,pumpkin spice,https://cdn.shopify.com/s/files/1/0559/3340/3309/products/plF7wbQ_5000x.jpg?v=1631837129,49,32.83,women,100% Organic Rain-Fed Cotton,little yellow bird,Machine cold wash with like colours. Do not bleach. Hang dry in shade. Do not iron if printed. Do not dry clean. Do not tumble dry.,100% Organic Rain-Fed Cotton,0,0,0,0,0,0,0,0,1,
23,Fantail Tee - P¨±keko Stripe. 1102,Fantail Tee - P¨±keko Stripe. 1102_white navy,white navy,https://cdn.shopify.com/s/files/1/0559/3340/3309/products/1102.FantailTee-pukekostripe-whitenavy-SBP28588_5000x.jpg?v=1634701857,49,32.83,women,100% Organic Rain-Fed Cotton,little yellow bird,Machine cold wash with like colours. Do not bleach. Hang dry in shade. Do not iron if printed. Do not dry clean. Do not tumble dry.,100% Organic Rain-Fed Cotton,0,0,0,0,0,0,0,0,1,
24,MaterniTee - Pumpkin Spice,MaterniTee - Pumpkin Spice_pumpkin spice,pumpkin spice,https://cdn.shopify.com/s/files/1/0559/3340/3309/products/4201._20MaterniTee_20-_20Pumpkin_20Spice_20-_20v2-SBP_8589-444_6f7fc906-19d2-4aef-9ba6-761d19ff191f_5000x.jpg?v=1631838488,49,32.83,women,100% Organic Rain-Fed Cotton,little yellow bird,Machine cold wash with like colours. Do not bleach. Hang dry in shade. Do not iron if printed. Do not dry clean. Do not tumble dry.,100% Organic Rain-Fed Cotton,0,0,0,0,0,0,0,0,1,
25,MaterniTee. 4201,MaterniTee. 4201_burgendy,burgendy,https://cdn.shopify.com/s/files/1/0559/3340/3309/products/1200_maternitee_solid_burgundy_-_SBP_0531_copy_127484d7-318c-44e4-b143-ba056bee1631_5000x.jpg?v=1631838510,42,28.14,women,100% Organic Rain-Fed Cotton,little yellow bird,Machine cold wash with like colours. Do not bleach. Hang dry in shade. Do not iron if printed. Do not dry clean. Do not tumble dry.,100% Organic Rain-Fed Cotton,0,0,0,0,0,0,0,0,1,
26,MaterniTee. 4201,MaterniTee. 4201_navy,navy,https://cdn.shopify.com/s/files/1/0559/3340/3309/products/1200_maternitee_solid_navy_-_SBP_0555_copy_e4c966aa-974b-4703-8a24-ab976122f796_5000x.jpg?v=1631838516,42,28.14,women,100% Organic Rain-Fed Cotton,little yellow bird,Machine cold wash with like colours. Do not bleach. Hang dry in shade. Do not iron if printed. Do not dry clean. Do not tumble dry.,100% Organic Rain-Fed Cotton,0,0,0,0,0,0,0,0,1,
27,Bellbird Tee - P¨±keko Stripe. 1101,Bellbird Tee - P¨±keko Stripe. 1101_white navy,white navy,https://cdn.shopify.com/s/files/1/0559/3340/3309/products/P1060631_5000x.png?v=1631835733,49,32.83,women,100% Organic Rain-Fed Cotton,little yellow bird,Machine cold wash with like colours. Do not bleach. Hang dry in shade. Do not iron if printed. Do not dry clean. Do not tumble dry.,100% Organic Rain-Fed Cotton,0,0,0,0,0,0,0,0,1,
28,Whio Tee - Pumpkin Spice. 1002,Whio Tee - Pumpkin Spice. 1002_pumpkin spice,pumpkin spice,https://cdn.shopify.com/s/files/1/0559/3340/3309/products/1002._20Whio_20Tee_20-_20Pumpkin_20Spice-_202P2A8763_20_1_5000x_3d7cd377-01e5-4bd6-9702-13258a4ef73f_5000x.jpg?v=1631843942,49,32.83,women,100% Organic Rain-Fed Cotton,little yellow bird,Machine cold wash with like colours. Do not bleach. Hang dry in shade. Do not iron if printed. Do not dry clean. Do not tumble dry.,100% Organic Rain-Fed Cotton,0,0,0,0,0,0,0,0,1,
29,Ruru Crop Tee - Pinstripe. 1104,Ruru Crop Tee - Pinstripe. 1104_burgendy white,burgendy white,https://cdn.shopify.com/s/files/1/0559/3340/3309/products/1104._20Ruru_20Crop_20Tee_20-_20Pinstripe_20-_20Burgundy_20White_20-_20SBP_8296-283_61f536b3-f965-4ac8-962c-f42244ea3e10_5000x.jpg?v=1631842837,39,26.13,women,100% Organic Rain-Fed Cotton,little yellow bird,Machine cold wash with like colours. Do not bleach. Hang dry in shade. Do not iron if printed. Do not dry clean. Do not tumble dry.,100% Organic Rain-Fed Cotton,0,0,0,0,0,0,0,0,1,
30,Tui Tee - Mint. 1001,Tui Tee - Mint. 1001_mint,mint,https://cdn.shopify.com/s/files/1/0559/3340/3309/products/1001.tuitee-mint-SBP28695_5000x.jpg?v=1636067261,45,30.15,women,100% Organic Rain-Fed Cotton,little yellow bird,Machine cold wash with like colours. Do not bleach. Hang dry in shade. Do not iron if printed. Do not dry clean. Do not tumble dry.,100% Organic Rain-Fed Cotton,0,0,0,0,0,0,0,0,1,
31,Kea Tee - Candy Stripe.,Kea Tee - Candy Stripe._blush,blush,https://cdn.shopify.com/s/files/1/0559/3340/3309/products/1003._20Kea_20Tee_20Candy_20Stripe_20Blush_5000x.jpg?v=1631837247,30,20.10,NA,100% Organic Rain-Fed Cotton,little yellow bird,Machine cold wash with like colours. Do not bleach. Hang dry in shade. Do not iron if printed. Do not dry clean. Do not tumble dry.,100% Organic Rain-Fed Cotton,0,0,0,0,0,0,0,0,1,
32,Kea Tee - Candy Stripe.,Kea Tee - Candy Stripe._navy,navy,https://cdn.shopify.com/s/files/1/0559/3340/3309/products/Kea_20tee_20navy_20stripe_5386df71-4b8d-4043-85f9-537e0dca5d3c_5000x.jpg?v=1631837254,30,20.10,NA,100% Organic Rain-Fed Cotton,little yellow bird,Machine cold wash with like colours. Do not bleach. Hang dry in shade. Do not iron if printed. Do not dry clean. Do not tumble dry.,100% Organic Rain-Fed Cotton,0,0,0,0,0,0,0,0,1,
33,Weka Kids Tee - Harvest Print. 6201,Weka Kids Tee - Harvest Print. 6201_mint,mint,https://cdn.shopify.com/s/files/1/0559/3340/3309/products/6201._20Weka_20kids_20tee_20-_20Harvest_20print_20-_20mint_20yellowSBP28513_5000x.jpg?v=1636067141,20,13.40,NA,100% Organic Rain-Fed Cotton,little yellow bird,Machine cold wash with like colours. Do not bleach. Hang dry in shade. Do not iron if printed. Do not dry clean. Do not tumble dry.,100% Organic Rain-Fed Cotton,0,0,0,0,0,0,0,0,1,
34,Tui Tee. 1001,Tui Tee. 1001_white,white,https://cdn.shopify.com/s/files/1/0559/3340/3309/products/294_Image2_199e2f25-65d8-48b1-98ff-790034c14619_5000x.jpg?v=1642551771,45,30.15,NA,100% Organic Rain-Fed Cotton,little yellow bird,Machine cold wash with like colours. Do not bleach. Hang dry in shade. Do not iron if printed. Do not dry clean. Do not tumble dry.,100% Organic Rain-Fed Cotton,0,0,0,0,0,0,0,0,1,
35,Tui Tee. 1001,Tui Tee. 1001_black,black,https://cdn.shopify.com/s/files/1/0559/3340/3309/products/1001._20Tui_20Tee_20-_20Black_20-_20SBP_7932-95_60773244-3fbe-47b7-b27c-61f6b0787c8b_5000x.jpg?v=1642551771,45,30.15,NA,100% Organic Rain-Fed Cotton,little yellow bird,Machine cold wash with like colours. Do not bleach. Hang dry in shade. Do not iron if printed. Do not dry clean. Do not tumble dry.,100% Organic Rain-Fed Cotton,0,0,0,0,0,0,0,0,1,
36,Tui Tee. 1001,Tui Tee. 1001_burgendy,burgendy,https://cdn.shopify.com/s/files/1/0559/3340/3309/products/1200_tui_unisex_solid_burgundy_SBP_9625_c442a215-892e-487c-b0fa-b43eeaf1bc31_1200x.jpg?v=1642551771,45,30.15,NA,100% Organic Rain-Fed Cotton,little yellow bird,Machine cold wash with like colours. Do not bleach. Hang dry in shade. Do not iron if printed. Do not dry clean. Do not tumble dry.,100% Organic Rain-Fed Cotton,0,0,0,0,0,0,0,0,1,
37,Tui Tee. 1001,Tui Tee. 1001_green,green,https://cdn.shopify.com/s/files/1/0559/3340/3309/products/1001._20Tui_20Tee_20-_20Green_20-_20SBP_7985-123_abe2655c-bfae-4d96-a9e3-8c77eb8fab81_5000x.jpg?v=1642551771,45,30.15,NA,100% Organic Rain-Fed Cotton,little yellow bird,Machine cold wash with like colours. Do not bleach. Hang dry in shade. Do not iron if printed. Do not dry clean. Do not tumble dry.,100% Organic Rain-Fed Cotton,0,0,0,0,0,0,0,0,1,
38,Tui Tee. 1001,Tui Tee. 1001_grey marle,grey marle,https://cdn.shopify.com/s/files/1/0559/3340/3309/products/1001._20Tui_20Tee_20-_20Grey_20Marle_20-_20SBP_8030-146_7fdd0ac8-45c4-466b-a0b2-82f7997d5ed2_5000x.jpg?v=1642551771,45,30.15,NA,100% Organic Rain-Fed Cotton,little yellow bird,Machine cold wash with like colours. Do not bleach. Hang dry in shade. Do not iron if printed. Do not dry clean. Do not tumble dry.,100% Organic Rain-Fed Cotton,0,0,0,0,0,0,0,0,1,
39,Tui Tee. 1001,Tui Tee. 1001_matcha,matcha,https://cdn.shopify.com/s/files/1/0559/3340/3309/products/Tui_20tee_20Matcha_5000x.jpg?v=1642551771,45,30.15,NA,100% Organic Rain-Fed Cotton,little yellow bird,Machine cold wash with like colours. Do not bleach. Hang dry in shade. Do not iron if printed. Do not dry clean. Do not tumble dry.,100% Organic Rain-Fed Cotton,0,0,0,0,0,0,0,0,1,
40,Tui Tee. 1001,Tui Tee. 1001_navy,navy,https://cdn.shopify.com/s/files/1/0559/3340/3309/products/1001._20Tui_20Tee_20-_20Navy_20-_20SBP_8016-139_c7b59330-a376-4eb6-a045-862f617a88f5_5000x.jpg?v=1642551771,45,30.15,NA,100% Organic Rain-Fed Cotton,little yellow bird,Machine cold wash with like colours. Do not bleach. Hang dry in shade. Do not iron if printed. Do not dry clean. Do not tumble dry.,100% Organic Rain-Fed Cotton,0,0,0,0,0,0,0,0,1,
41,Tui Tee. 1001,Tui Tee. 1001_pink,pink,https://cdn.shopify.com/s/files/1/0559/3340/3309/products/1001._20tui_20tee_20-_20pink_20-_20SBP28998_e3d9ac6b-899a-4dad-b34e-804f16b65551_5000x.jpg?v=1642551771,45,30.15,NA,100% Organic Rain-Fed Cotton,little yellow bird,Machine cold wash with like colours. Do not bleach. Hang dry in shade. Do not iron if printed. Do not dry clean. Do not tumble dry.,100% Organic Rain-Fed Cotton,0,0,0,0,0,0,0,0,1,
42,Tui Tee. 1001,Tui Tee. 1001_red,red,https://cdn.shopify.com/s/files/1/0559/3340/3309/products/1001._20Tui_20Tee_20-_20Red_20-_20v2-SBP_8004-133_6f4f1eed-15a9-4aaa-82b6-8c579a5edd0f_5000x.jpg?v=1642551771,45,30.15,NA,100% Organic Rain-Fed Cotton,little yellow bird,Machine cold wash with like colours. Do not bleach. Hang dry in shade. Do not iron if printed. Do not dry clean. Do not tumble dry.,100% Organic Rain-Fed Cotton,0,0,0,0,0,0,0,0,1,
43,Tui Tee. 1001,Tui Tee. 1001_yellow,yellow,https://cdn.shopify.com/s/files/1/0559/3340/3309/products/1001._20Tui_20Tee_20-_20Yellow_20-_20v2-SBP_8045-154_51691395-4e87-4d9d-bf7f-8d562e27ec25_5000x.jpg?v=1642551771,45,30.15,NA,100% Organic Rain-Fed Cotton,little yellow bird,Machine cold wash with like colours. Do not bleach. Hang dry in shade. Do not iron if printed. Do not dry clean. Do not tumble dry.,100% Organic Rain-Fed Cotton,0,0,0,0,0,0,0,0,1,
44,Ruru Crop Tee - P¨±keko Stripe. 1104,Ruru Crop Tee - P¨±keko Stripe. 1104_white navy,white navy,https://cdn.shopify.com/s/files/1/0559/3340/3309/products/1104._20Ruru_20Crop_20Tee_20-_20Pukeko_20Stripe_5000x.jpg?v=1634862215,39,26.13,women,100% Organic Rain-Fed Cotton,little yellow bird,Machine cold wash with like colours. Do not bleach. Hang dry in shade. Do not iron if printed. Do not dry clean. Do not tumble dry.,100% Organic Rain-Fed Cotton,0,0,0,0,0,0,0,0,1,
45,Whio Tee - Pinstripe. 1002,Whio Tee - Pinstripe. 1002_burgendy white,burgendy white,https://cdn.shopify.com/s/files/1/0559/3340/3309/products/P1060692_5000x.png?v=1631843912,49,32.83,NA,100% Organic Rain-Fed Cotton,little yellow bird,Machine cold wash with like colours. Do not bleach. Hang dry in shade. Do not iron if printed. Do not dry clean. Do not tumble dry.,100% Organic Rain-Fed Cotton,0,0,0,0,0,0,0,0,1,
46,Tui Tee - Harvest Print. 1001,Tui Tee - Harvest Print. 1001_mint yellwo,mint yellwo,https://cdn.shopify.com/s/files/1/0559/3340/3309/products/1001._20tui_20tee_20-_20harvest_20print_20-_20mint_20yellow_20-_20SBP28853_5000x.jpg?v=1636058725,49,32.83,women,100% Organic Rain-Fed Cotton,little yellow bird,Machine cold wash with like colours. Do not bleach. Hang dry in shade. Do not iron if printed. Do not dry clean. Do not tumble dry.,100% Organic Rain-Fed Cotton,0,0,0,0,0,0,0,0,1,
47,Weka Kids Tee - Mint. 6201,Weka Kids Tee - Mint. 6201_mint,mint,https://cdn.shopify.com/s/files/1/0559/3340/3309/products/6201._20Weka_20kids_20tee_20-_20mint_20-_20SBP28442_5000x.jpg?v=1636066956,25,16.75,NA,100% Organic Rain-Fed Cotton,little yellow bird,Machine cold wash with like colours. Do not bleach. Hang dry in shade. Do not iron if printed. Do not dry clean. Do not tumble dry.,100% Organic Rain-Fed Cotton,0,0,0,0,0,0,0,0,1,
48,T-shirt Romper - Jacquard Stripe. 6014,T-shirt Romper - Jacquard Stripe. 6014_,,https://cdn.shopify.com/s/files/1/0559/3340/3309/products/SBP22256_5000x.jpg?v=1641959931,45,30.15,NA,100% Organic Rain-Fed Cotton,little yellow bird,Machine cold wash with like colours. Do not bleach. Hang dry in shade. Do not iron if printed. Do not dry clean. Do not tumble dry.,100% Organic Rain-Fed Cotton,0,0,0,0,0,0,0,0,1,
49,Hihi Kids Tee - Jacquard Stripe. 6216,Hihi Kids Tee - Jacquard Stripe. 6216_white black,white black,https://cdn.shopify.com/s/files/1/0559/3340/3309/products/6216.HihiKidsTee-JacquardStripe-whiteblack-portrait-SBP27952-25_5000x.jpg?v=1641534469,35,23.45,NA,100% Organic Rain-Fed Cotton,little yellow bird,Machine cold wash with like colours. Do not bleach. Hang dry in shade. Do not iron if printed. Do not dry clean. Do not tumble dry.,100% Organic Rain-Fed Cotton,0,0,0,0,0,0,0,0,1,
50,Riroriro Tee - Jacquard Stripe. 1106,Riroriro Tee - Jacquard Stripe. 1106_white black,white black,https://cdn.shopify.com/s/files/1/0559/3340/3309/products/1106.RiroriroTee-JacquardStripe-greywhite-SBP28742_5000x.jpg?v=1641524640,54,36.18,NA,100% Organic Rain-Fed Cotton,little yellow bird,Machine cold wash with like colours. Do not bleach. Hang dry in shade. Do not iron if printed. Do not dry clean. Do not tumble dry.,100% Organic Rain-Fed Cotton,0,0,0,0,0,0,0,0,1,
51,Weka Kids Tee - Dusky Blue. 6201,Weka Kids Tee - Dusky Blue. 6201_dusky blue,dusky blue,https://cdn.shopify.com/s/files/1/0559/3340/3309/products/6201._20Weka_20kids_20tee_20-_20dusky_20blue_20-_20SBP28190_5000x.jpg?v=1636066939,25,16.75,NA,100% Organic Rain-Fed Cotton,little yellow bird,Machine cold wash with like colours. Do not bleach. Hang dry in shade. Do not iron if printed. Do not dry clean. Do not tumble dry.,100% Organic Rain-Fed Cotton,0,0,0,0,0,0,0,0,1,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
