SN,title,description,feature,price,color,gender,imageUrl,brand,composition,rayon,nylon,spandex,acrylic,polyester,cupro,modal,lyocell,cotton
11,T-shirt Visby Happiness Off-White,"Women's crew neck T-shirt with short, folded sleeves, made sustainably with care for people and planet.",Short folded sleeves; Slightly boxy fit; Slight boat neck; Slits at side,39,off-white,women,https://tshirtstore.centracdn.net/client/dynamic/images/5357_6b542cbc07-aw_ss_21_carryovers_28916-ded-large.jpg,Dedicated,"100% Cotton, Organic and Fairtrade-certified",0,0,0,0,0,0,0,0,1
12,T-shirt Visby Bandana Square White,"Women's crew neck T-shirt with short, folded sleeves, made sustainably with care for people and planet.",Short folded sleeves; Slightly boxy fit; Slight boat neck; Slits at side,39,white,women,https://tshirtstore.centracdn.net/client/dynamic/images/6866_b2629722cc-aw_21_dec32020_ses_218538-ded-large.jpg,Dedicated,"100% Cotton, Organic and Fairtrade-certified",0,0,0,0,0,0,0,0,1
13,T-shirt Mysen Vintage Mushroom Off-White,"Classic fitted women's crew neck T-shirt, made sustainably with care for people and planet.",Standard fit; Ribbed neckline,39,off-white,women,https://tshirtstore.centracdn.net/client/dynamic/images/6818_8704997c4a-aw_21_studio_day_2_26_11_202014577-ded-large.jpg,Dedicated,"100% Cotton, Organic and Fairtrade-certified",0,0,0,0,0,0,0,0,1
14,T-shirt Mysen Chanterelle Dark Green,"Classic fitted women's crew neck T-shirt, made sustainably with care for people and planet.",Standard fit; Ribbed neckline,39,green,women,https://tshirtstore.centracdn.net/client/dynamic/images/6802_150050cfbf-aw_21_studio_day_2_26_11_202014672-ded-large.jpg,Dedicated,"100% Cotton, Organic and Fairtrade-certified",0,0,0,0,0,0,0,0,1
15,T-shirt Mysen Mushroom Grey Melange,"Classic fitted women's crew neck T-shirt, made sustainably with care for people and planet.",Standard fit; Ribbed neckline,39,grey,women,https://tshirtstore.centracdn.net/client/dynamic/images/6808_5ed0319f18-aw_21_studio_day_2_26_11_202014841-ded-large.jpg,Dedicated,"100% Cotton, Organic and Fairtrade-certified",0,0,0,0,0,0,0,0,1
16,T-shirt Mysen Base White,"Classic fitted women's crew neck T-shirt, made sustainably with care for people and planet.",Standard fit; Ribbed neckline,35,white,women,https://tshirtstore.centracdn.net/client/dynamic/images/4540_a0ae178cac-dedicated0777-ded-large.jpg,Dedicated,"100% Cotton, Organic and Fairtrade-certified",0,0,0,0,0,0,0,0,1
17,T-shirt Mysen Base Silver Pink,"Classic fitted women's crew neck T-shirt, made sustainably with care for people and planet.",Standard fit; Ribbed neckline,35,pink,women,https://tshirtstore.centracdn.net/client/dynamic/images/6801_7b32c09ac8-aw_21_studio_day_2_26_11_202012261-ded-large.jpg,Dedicated,"100% Cotton, Organic and Fairtrade-certified",0,0,0,0,0,0,0,0,1
18,T-shirt Mysen Base Orange,"Classic fitted women's crew neck T-shirt, made sustainably with care for people and planet.",Standard fit; Ribbed neckline,35,orange,women,https://tshirtstore.centracdn.net/client/dynamic/images/6800_442d086b8e-aw_21_dec3_2020_17590-ded-large.jpg,Dedicated,"100% Cotton, Organic and Fairtrade-certified",0,0,0,0,0,0,0,0,1
19,T-shirt Mysen Base Off-White,"Classic fitted women's crew neck T-shirt, made sustainably with care for people and planet.",Standard fit; Ribbed neckline,35,off-white,women,https://tshirtstore.centracdn.net/client/dynamic/images/5671_b4b7f253ed-dedicated_cph-0540-ded-large.jpg,Dedicated,"100% Cotton, Organic and Fairtrade-certified",0,0,0,0,0,0,0,0,1
20,T-shirt Mysen Base Navy,"Classic fitted women's crew neck T-shirt, made sustainably with care for people and planet.",Standard fit; Ribbed neckline,35,navy,women,https://tshirtstore.centracdn.net/client/dynamic/images/4702_d40d8ec1de-dedicated2053-ded-large.jpg,Dedicated,"100% Cotton, Organic and Fairtrade-certified",0,0,0,0,0,0,0,0,1
21,T-shirt Mysen Base Grey Melange,"Classic fitted women's crew neck T-shirt, made sustainably with care for people and planet.",Standard fit; Ribbed neckline,35,grey,women,https://tshirtstore.centracdn.net/client/dynamic/images/4532_d48b9ba42b-dedicated0874-ded-large.jpg,Dedicated,"100% Cotton, Organic and Fairtrade-certified",0,0,0,0,0,0,0,0,1
22,T-shirt Mysen Base Dark Green,"Classic fitted women's crew neck T-shirt, made sustainably with care for people and planet.",Standard fit; Ribbed neckline,35,green,women,https://tshirtstore.centracdn.net/client/dynamic/images/6799_56da25ffc7-aw_21_studio_day_2_26_11_202015528-ded-large.jpg,Dedicated,"100% Cotton, Organic and Fairtrade-certified",0,0,0,0,0,0,0,0,1
23,T-shirt Mysen Base Charcoa,"Classic fitted women's crew neck T-shirt, made sustainably with care for people and planet.",Standard fit; Ribbed neckline,35,grey,women,https://tshirtstore.centracdn.net/client/dynamic/images/4703_be652ad2d3-dedicated1774-ded-large.jpg,Dedicated,"100% Cotton, Organic and Fairtrade-certified",0,0,0,0,0,0,0,0,1
24,T-shirt Mysen Base Burgundy,"Classic fitted women's crew neck T-shirt, made sustainably with care for people and planet.",Standard fit; Ribbed neckline,35,burgundy,women,https://tshirtstore.centracdn.net/client/dynamic/images/4958_c551c14f6f-dedicatedcatalog_aw_218338-ded-large.jpg,Dedicated,"100% Cotton, Organic and Fairtrade-certified",0,0,0,0,0,0,0,0,1
25,T-shirt Mysen Base Black,"Classic fitted women's crew neck T-shirt, made sustainably with care for people and planet.",Standard fit; Ribbed neckline,35,black,women,https://tshirtstore.centracdn.net/client/dynamic/images/4524_3760855101-aw_21_dedicated_dec9_22853-ded-large.jpg,Dedicated,"100% Cotton, Organic and Fairtrade-certified",0,0,0,0,0,0,0,0,1
26,T-shirt Mysen Lucy Beige,"Our limited Peanuts collection made in 100% organic cotton. The American comic strip was written and illustrated by Charles M. Schulz and ran in over 2,600 newspapers, with a readership of around 355 million in 75 countries. Making it one of the most popular and influential comic strips in history! Enjoy the range of fun patterns, and cute embroideries. Classic fitted women's crew neck T-shirt, made sustainably with care for people and planet.",Standard fit; Ribbed neckline,45,beige,women,https://tshirtstore.centracdn.net/client/dynamic/images/6807_b3b8407972-aw_21_studio_day_2_26_11_202015163-ded-large.jpg,Dedicated,"100% Cotton, Organic and Fairtrade-certified",0,0,0,0,0,0,0,0,1
27,T-shirt Mysen Charlie Brown Embroidery Navy,"Our limited Peanuts collection made in 100% organic cotton. The American comic strip was written and illustrated by Charles M. Schulz and ran in over 2,600 newspapers, with a readership of around 355 million in 75 countries. Making it one of the most popular and influential comic strips in history! Enjoy the range of fun patterns, and cute embroideries. Classic fitted women's crew neck T-shirt, made sustainably with care for people and planet.",Standard fit; Ribbed neckline,45,navy,women,https://tshirtstore.centracdn.net/client/dynamic/images/6803_86616ddfc6-aw_21_dec3_2020_18090-ded-large.jpg,Dedicated,"100% Cotton, Organic and Fairtrade-certified",0,0,0,0,0,0,0,0,1
28,T-shirt Mysen Snoopy Puffer White,"Our limited Peanuts collection made in 100% organic cotton. The American comic strip was written and illustrated by Charles M. Schulz and ran in over 2,600 newspapers, with a readership of around 355 million in 75 countries. Making it one of the most popular and influential comic strips in history! Enjoy the range of fun patterns, and cute embroideries. Classic fitted women's crew neck T-shirt, made sustainably with care for people and planet.",Standard fit; Ribbed neckline,45,white,women,https://tshirtstore.centracdn.net/client/dynamic/images/6815_60aa3da8fa-aw_21_studio_day_2_26_11_202014987-ded-large.jpg,Dedicated,"100% Cotton, Organic and Fairtrade-certified",0,0,0,0,0,0,0,0,1
29,T-shirt Mysen A Man's Feelings Silver Pink,"Liana is a New York-based cartoonist, illustrator and author. Her drawings are both contemporary, fun and relatable. Simple sharp lines of black ink that capture ironic situations from everyday life. In 2015 Liana began working for?The New Yorker?with a monthly comic called?Dear Pepper, which still runs. She also drew the cover of the Ariana Grande and Justin Bieber single Stuck With U. She's done a lot over the years and we're thrilled to have her on board for our AW21 collection. Classic fitted women's crew neck T-shirt, made sustainably with care for people and planet.",Standard fit; Ribbed neckline,45,pink,women,https://tshirtstore.centracdn.net/client/dynamic/images/6796_5e355b4173-aw_21_studio_day_2_26_11_202014730-ded-large.jpg,Dedicated,"100% Cotton, Organic and Fairtrade-certified",0,0,0,0,0,0,0,0,1
30,T-shirt Mysen A Man's Feelings White,"Liana is a New York-based cartoonist, illustrator and author. Her drawings are both contemporary, fun and relatable. Simple sharp lines of black ink that capture ironic situations from everyday life. In 2015 Liana began working for?The New Yorker?with a monthly comic called?Dear Pepper, which still runs. She also drew the cover of the Ariana Grande and Justin Bieber single Stuck With U. She's done a lot over the years and we're thrilled to have her on board for our AW21 collection. Classic fitted women's crew neck T-shirt, made sustainably with care for people and planet.",Standard fit; Ribbed neckline,45,white,women,https://tshirtstore.centracdn.net/client/dynamic/images/6797_d5191a8df1-dedicatedcatalog_aw_218668-ded-large.jpg,Dedicated,"100% Cotton, Organic and Fairtrade-certified",0,0,0,0,0,0,0,0,1
31,T-shirt Mysen Compromise Burgundy,"Liana is a New York-based cartoonist, illustrator and author. Her drawings are both contemporary, fun and relatable. Simple sharp lines of black ink that capture ironic situations from everyday life. In 2015 Liana began working for?The New Yorker?with a monthly comic called?Dear Pepper, which still runs. She also drew the cover of the Ariana Grande and Justin Bieber single Stuck With U. She's done a lot over the years and we're thrilled to have her on board for our AW21 collection. Classic fitted women's crew neck T-shirt, made sustainably with care for people and planet.",Standard fit; Ribbed neckline,45,burgundy,women,https://tshirtstore.centracdn.net/client/dynamic/images/6804_8039d94b24-dedicatedcatalog_aw_218318-ded-large.jpg,Dedicated,"100% Cotton, Organic and Fairtrade-certified",0,0,0,0,0,0,0,0,1
32,T-shirt Mysen New Tricks Grey Melange,"Liana is a New York-based cartoonist, illustrator and author. Her drawings are both contemporary, fun and relatable. Simple sharp lines of black ink that capture ironic situations from everyday life. In 2015 Liana began working for?The New Yorker?with a monthly comic called?Dear Pepper, which still runs. She also drew the cover of the Ariana Grande and Justin Bieber single Stuck With U. She's done a lot over the years and we're thrilled to have her on board for our AW21 collection. Classic fitted women's crew neck T-shirt, made sustainably with care for people and planet.",Standard fit; Ribbed neckline,45,grey,women,https://tshirtstore.centracdn.net/client/dynamic/images/6809_b337f7ca45-dedicatedcatalog_aw_218411-ded-large.jpg,Dedicated,"100% Cotton, Organic and Fairtrade-certified",0,0,0,0,0,0,0,0,1
33,T-shirt Mysen Pong Pong White,"Liana is a New York-based cartoonist, illustrator and author. Her drawings are both contemporary, fun and relatable. Simple sharp lines of black ink that capture ironic situations from everyday life. In 2015 Liana began working for?The New Yorker?with a monthly comic called?Dear Pepper, which still runs. She also drew the cover of the Ariana Grande and Justin Bieber single Stuck With U. She's done a lot over the years and we're thrilled to have her on board for our AW21 collection. Classic fitted women's crew neck T-shirt, made sustainably with care for people and planet.",Standard fit; Ribbed neckline,45,white,women,https://tshirtstore.centracdn.net/client/dynamic/images/6814_9b755a3a34-dedicatedcatalog_aw_218518-ded-large.jpg,Dedicated,"100% Cotton, Organic and Fairtrade-certified",0,0,0,0,0,0,0,0,1
34,T-shirt Visby Base White,"Women's crew neck T-shirt with short, folded sleeves, made sustainably with care for people and planet.",Short folded sleeves; Slightly boxy fit; Slight boat neck; Slits at side,35,white,women,https://tshirtstore.centracdn.net/client/dynamic/images/3600_a71c53827c-dedicated2272-ded-large.jpg,Dedicated,"100% Cotton, Organic and Fairtrade-certified",0,0,0,0,0,0,0,0,1
35,T-shirt Visby Base Silver Pink,"Women's crew neck T-shirt with short, folded sleeves, made sustainably with care for people and planet.",Short folded sleeves; Slightly boxy fit; Slight boat neck; Slits at side,35,pink,women,https://tshirtstore.centracdn.net/client/dynamic/images/6870_a41e3b0742-dedicatedcatalog_aw_217661-ded-large.jpg,Dedicated,"100% Cotton, Organic and Fairtrade-certified",0,0,0,0,0,0,0,0,1
36,T-shirt Visby Base Off-White,"Women's crew neck T-shirt with short, folded sleeves, made sustainably with care for people and planet.",Short folded sleeves; Slightly boxy fit; Slight boat neck; Slits at side,35,off-white,women,https://tshirtstore.centracdn.net/client/dynamic/images/5819_d0afb36a9b-dedicated0491-ded-large.jpg,Dedicated,"100% Cotton, Organic and Fairtrade-certified",0,0,0,0,0,0,0,0,1
37,T-shirt Visby Base Navy,"Women's crew neck T-shirt with short, folded sleeves, made sustainably with care for people and planet.",Short folded sleeves; Slightly boxy fit; Slight boat neck; Slits at side,35,navy,women,https://tshirtstore.centracdn.net/client/dynamic/images/3603_d26199aa96-dedicated0822-ded-large.jpg,Dedicated,"100% Cotton, Organic and Fairtrade-certified",0,0,0,0,0,0,0,0,1
38,T-shirt Visby Base Grey Melange,"Women's crew neck T-shirt with short, folded sleeves, made sustainably with care for people and planet.",Short folded sleeves; Slightly boxy fit; Slight boat neck; Slits at side,35,grey,women,https://tshirtstore.centracdn.net/client/dynamic/images/3602_494bb7e82a-dedicated2339-ded-large.jpg,Dedicated,"100% Cotton, Organic and Fairtrade-certified",0,0,0,0,0,0,0,0,1
39,T-shirt Mysen Favorite Season,"Classic fitted women's crew neck T-shirt, made sustainably with care for people and planet.",Standard fit; Ribbed neckline,39,white,women,https://tshirtstore.centracdn.net/client/dynamic/images/5684_041e2513c3-ssc-cwobelcom48659-ded-large.jpg,Dedicated,"100% Cotton, Organic and Fairtrade-certified",0,0,0,0,0,0,0,0,1
40,T-shirt Visby Rainbow Bicycle Grey Melange,"Women's crew neck T-shirt with short, folded sleeves, made sustainably with care for people and planet.",Short folded sleeves; Slightly boxy fit; Slight boat neck; Slits at side,39,grey,women,https://tshirtstore.centracdn.net/client/dynamic/images/6880_9325c241c6-dedicatedcatalog_aw_218216-ded-large.jpg,Dedicated,"100% Cotton, Organic and Fairtrade-certified",0,0,0,0,0,0,0,0,1
41,T-shirt Visby Rainbow Bicycle Black,"Women's crew neck T-shirt with short, folded sleeves, made sustainably with care for people and planet.",Short folded sleeves; Slightly boxy fit; Slight boat neck; Slits at side,39,black,women,https://tshirtstore.centracdn.net/client/dynamic/images/6879_f47657022f-aw_21_dec32020_ses_219024-ded-large.jpg,Dedicated,"100% Cotton, Organic and Fairtrade-certified",0,0,0,0,0,0,0,0,1
42,T-Shirt Visby Redbird White,"Stina is a Stockholm based illustrator who makes vibrant fashion paintings with a vintage touch. Her way of using watercolors and ink is both vivid and elegant. Stinas work has been seen in fashion magazines, galleries and global advertising campaigns. Our collaboration includes 6 illustrations printed on our Organic cotton T-shirts. Women's crew neck T-shirt with short, folded sleeves, made sustainably with care for people and planet.",Short folded sleeves; Slightly boxy fit; Slight boat neck; Slits at side,45,white,women,https://tshirtstore.centracdn.net/client/dynamic/images/6881_460b1fa3a5-aw_21_dec3_2020_18234-ded-large.jpg,Dedicated,"100% Cotton, Organic and Fairtrade-certified",0,0,0,0,0,0,0,0,1
43,T-shirt Mysen Stripes Charcoal,Classic fitted women's crew neck T-shirt with yarn dyed knitted stripes. Made sustainably with care for people and planet.,Standard fit; Ribbed neckline; Yarn dyed knitted stripes,45,grey,women,https://tshirtstore.centracdn.net/client/dynamic/images/6816_b955008365-aw_21_studio_day_2_26_11_202015413-ded-large.jpg,Dedicated,"100% Cotton, Organic and Fairtrade-certified",0,0,0,0,0,0,0,0,1
44,T-shirt Alta Lace Black,,,55,black,women,https://tshirtstore.centracdn.net/client/dynamic/images/4522_e21c832e42-dedicated-3325-ded-large.jpg,Dedicated,"100% Cotton, Organic and Fairtrade-certified",0,0,0,0,0,0,0,0,1
45,T-shirt Mysen Stripes Dark Green,Classic fitted women's crew neck T-shirt with yarn dyed knitted stripes. Made sustainably with care for people and planet.,Standard fit; Ribbed neckline; Yarn dyed knitted stripes,45,green,women,https://tshirtstore.centracdn.net/client/dynamic/images/6817_f67d56b163-dedicatedcatalog_aw_217542-ded-large.jpg,Dedicated,"100% Cotton, Organic and Fairtrade-certified",0,0,0,0,0,0,0,0,1
46,T-shirt Mysen Lettuce,"Classic fitted women's crew neck T-shirt, made sustainably with care for people and planet.",Standard fit; Ribbed neckline,39,off-white,women,https://tshirtstore.centracdn.net/client/dynamic/images/5690_e90239d50d-ssc-cwobelcom48319-ded-large.jpg,Dedicated,"100% Cotton, Organic and Fairtrade-certified",0,0,0,0,0,0,0,0,1
47,T-shirt Visby Bandana Square Grey Melange,"Women's crew neck T-shirt with short, folded sleeves, made sustainably with care for people and planet.",Short folded sleeves; Slightly boxy fit; Slight boat neck; Slits at side,39,grey,women,https://tshirtstore.centracdn.net/client/dynamic/images/6865_27d6c8e71e-aw_21_dec32020_ses_218786-ded-large.jpg,Dedicated,"100% Cotton, Organic and Fairtrade-certified",0,0,0,0,0,0,0,0,1
48,T-shirt Mysen Affordable Healthcare Golden Yellow,"Daren Thomas aka ＆＊Real Fun, Wow＊＊ is a California based illustrator, muralist and designer. Daren does timeless designs with a charming vintage feel. Illustrations that capture that place between imagination and reality, inspired by the natural and supernatural.
＆＊We all have the ability to create within us, its a matter of choosing to use it＊＊. Classic fitted women's crew neck T-shirt, made sustainably with care for people and planet.",Standard fit; Ribbed neckline,45,yellow,women,https://tshirtstore.centracdn.net/client/dynamic/images/5668_0720f6dbc2-aw_ss_21_carryovers_29114-ded-large.jpg,Dedicated,"100% Cotton, Organic and Fairtrade-certified",0,0,0,0,0,0,0,0,1
49,T-shirt Mysen Plant Power,"Classic fitted women's crew neck T-shirt, made sustainably with care for people and planet.",Standard fit; Ribbed neckline,39,white,women,https://tshirtstore.centracdn.net/client/dynamic/images/5697_e713b306bd-dedicated21082741691-ded-large.jpg,Dedicated,"100% Cotton, Organic and Fairtrade-certified",0,0,0,0,0,0,0,0,1
50,T-shirt Visby Cat Flip Grey Melange,"Women's crew neck T-shirt with short, folded sleeves, made sustainably with care for people and planet.",Short folded sleeves; Slightly boxy fit; Slight boat neck; Slits at side,39,grey,women,https://tshirtstore.centracdn.net/client/dynamic/images/6872_cc621b6128-aw_21_dedicated_dec9_22417-ded-large.jpg,Dedicated,"100% Cotton, Organic and Fairtrade-certified",0,0,0,0,0,0,0,0,1
51,T-shirt Visby Red Feather,"Women's crew neck T-shirt with short, folded sleeves, made sustainably with care for people and planet.",Short folded sleeves; Slightly boxy fit; Slight boat neck; Slits at side,39,grey,women,https://tshirtstore.centracdn.net/client/dynamic/images/5799_f5a52d2675-aw_ss_21_carryovers_30197-ded-large.jpg,Dedicated,"100% Cotton, Organic and Fairtrade-certified",0,0,0,0,0,0,0,0,1
52,T-shirt Mysen Bike Wheelie,"Classic fitted women's crew neck T-shirt, made sustainably with care for people and planet.",Standard fit; Ribbed neckline,39,white,women,https://tshirtstore.centracdn.net/client/dynamic/images/5678_7ad2557ae3-aw_21_studio_day_2_26_11_202014899-ded-large.jpg,Dedicated,"100% Cotton, Organic and Fairtrade-certified",0,0,0,0,0,0,0,0,1
53,T-shirt Visby Wild At Heart Charcoal,"Women's crew neck T-shirt with short, folded sleeves, made sustainably with care for people and planet.",Short folded sleeves; Slightly boxy fit; Slight boat neck; Slits at side,39,grey,women,https://tshirtstore.centracdn.net/client/dynamic/images/6885_800c4acf7b-dedicatedcatalog_aw_218468-ded-large.jpg,Dedicated,"100% Cotton, Organic and Fairtrade-certified",0,0,0,0,0,0,0,0,1
54,T-shirt Mysen Gratitude,"Daren Thomas aka ＆＊Real Fun, Wow＊＊ is a California based illustrator, muralist and designer. Daren does timeless designs with a charming vintage feel. Illustrations that capture that place between imagination and reality, inspired by the natural and supernatural.
＆＊We all have the ability to create within us, its a matter of choosing to use it＊＊. Classic fitted women's crew neck T-shirt, made sustainably with care for people and planet.",Standard fit; Ribbed neckline,45,white,women,https://tshirtstore.centracdn.net/client/dynamic/images/5689_45af29fae2-dedicated21082742131-ded-large.jpg,Dedicated,"100% Cotton, Organic and Fairtrade-certified",0,0,0,0,0,0,0,0,1
55,T-shirt Mysen Your Body,"Daren Thomas aka ＆＊Real Fun, Wow＊＊ is a California based illustrator, muralist and designer. Daren does timeless designs with a charming vintage feel. Illustrations that capture that place between imagination and reality, inspired by the natural and supernatural.
＆＊We all have the ability to create within us, its a matter of choosing to use it＊＊. Classic fitted women's crew neck T-shirt, made sustainably with care for people and planet.",Standard fit; Ribbed neckline,45,white,women,https://tshirtstore.centracdn.net/client/dynamic/images/5704_0ffd227589-dedicated21082742208-ded-large.jpg,Dedicated,"100% Cotton, Organic and Fairtrade-certified",0,0,0,0,0,0,0,0,1
56,T-shirt Visby Color Bird,"Women's crew neck T-shirt with short, folded sleeves, made sustainably with care for people and planet.",Short folded sleeves; Slightly boxy fit; Slight boat neck; Slits at side,39,white,women,https://tshirtstore.centracdn.net/client/dynamic/images/5791_5d8c05c97f-aw_ss_21_carryovers_30278-ded-large.jpg,Dedicated,"100% Cotton, Organic and Fairtrade-certified",0,0,0,0,0,0,0,0,1
57,T-shirt Mysen Affordable Healthcare Off-White,"Daren Thomas aka ＆＊Real Fun, Wow＊＊ is a California based illustrator, muralist and designer. Daren does timeless designs with a charming vintage feel. Illustrations that capture that place between imagination and reality, inspired by the natural and supernatural.
＆＊We all have the ability to create within us, its a matter of choosing to use it＊＊. Classic fitted women's crew neck T-shirt, made sustainably with care for people and planet.",Standard fit; Ribbed neckline,45,off-white,women,https://tshirtstore.centracdn.net/client/dynamic/images/5667_338ad5b9f8-dedicated21082742274-ded-large.jpg,Dedicated,"100% Cotton, Organic and Fairtrade-certified",0,0,0,0,0,0,0,0,1
58,T-shirt Visby Happiness Charcoal,"Women's crew neck T-shirt with short, folded sleeves, made sustainably with care for people and planet.",Short folded sleeves; Slightly boxy fit; Slight boat neck; Slits at side,39,grey,women,https://tshirtstore.centracdn.net/client/dynamic/images/6874_a354988195-aw_21_dec32020_ses_218698-ded-large.jpg,Dedicated,"100% Cotton, Organic and Fairtrade-certified",0,0,0,0,0,0,0,0,1
59,T-shirt Visby Bluebird White,"Stina is a Stockholm based illustrator who makes vibrant fashion paintings with a vintage touch. Her way of using watercolors and ink is both vivid and elegant. Stinas work has been seen in fashion magazines, galleries and global advertising campaigns. Our collaboration includes 6 illustrations printed on our Organic cotton T-shirts. Women's crew neck T-shirt with short, folded sleeves, made sustainably with care for people and planet.",Short folded sleeves; Slightly boxy fit; Slight boat neck; Slits at side,45,white,women,https://tshirtstore.centracdn.net/client/dynamic/images/6871_6739c1c261-aw_21_dec32020_ses_218364-ded-large.jpg,Dedicated,"100% Cotton, Organic and Fairtrade-certified",0,0,0,0,0,0,0,0,1
60,T-shirt Visby Dogue Pawetry,"Women's crew neck T-shirt with short, folded sleeves, made sustainably with care for people and planet.",Short folded sleeves; Slightly boxy fit; Slight boat neck; Slits at side,39,white,women,https://tshirtstore.centracdn.net/client/dynamic/images/5682_d4f209efdf-aw_21_dedicated_dec9_22507-ded-large.jpg,Dedicated,"100% Cotton, Organic and Fairtrade-certified",0,0,0,0,0,0,0,0,1
61,T-shirt Visby Catmopolitan,"Women's crew neck T-shirt with short, folded sleeves, made sustainably with care for people and planet.",Short folded sleeves; Slightly boxy fit; Slight boat neck; Slits at side,39,white,women,https://tshirtstore.centracdn.net/client/dynamic/images/5680_786b1ba32e-aw_21_dec32020_ses_218901-ded-large.jpg,Dedicated,"100% Cotton, Organic and Fairtrade-certified",0,0,0,0,0,0,0,0,1
62,T-shirt Visby Wild At Heart Pink,"Women's crew neck T-shirt with short, folded sleeves, made sustainably with care for people and planet.",Short folded sleeves; Slightly boxy fit; Slight boat neck; Slits at side,39,pink,women,https://tshirtstore.centracdn.net/client/dynamic/images/6886_33c5d9ecd6-aw_21_dec32020_ses_218446-ded-large.jpg,Dedicated,"100% Cotton, Organic and Fairtrade-certified",0,0,0,0,0,0,0,0,1
